,year,month,순,시점,품목명,품종명,거래단위,등급,평년 평균가격(원),평균가격(원),n_holiday,계절,평년 평균가격(원)_whole,거래단위_num,평년 평균가격(원)_local,fill_source
755,2018,01,상순,201801상순,무,무,20키로상자,상,9283.57142857143,9283.57142857143,2.0,겨울,0.0,20.0,0.0,average
756,2018,01,중순,201801중순,무,무,20키로상자,상,9259.88888888888,9259.88888888888,1.0,겨울,0.0,20.0,0.0,average
757,2018,01,하순,201801하순,무,무,20키로상자,상,10576.1111111111,10576.1111111111,2.0,겨울,0.0,20.0,0.0,average
758,2018,02,상순,201802상순,무,무,20키로상자,상,18371.4444444444,18371.4444444444,1.0,겨울,0.0,20.0,0.0,average
759,2018,02,중순,201802중순,무,무,20키로상자,상,19545.6666666666,19545.6666666666,5.0,겨울,0.0,20.0,0.0,average
760,2018,02,하순,201802하순,무,무,20키로상자,상,19226.0,19226.0,1.0,겨울,0.0,20.0,0.0,average
761,2018,03,상순,201803상순,무,무,20키로상자,상,23856.3333333333,23856.3333333333,2.0,봄,0.0,20.0,0.0,average
762,2018,03,중순,201803중순,무,무,20키로상자,상,19215.125,19215.125,2.0,봄,0.0,20.0,0.0,average
763,2018,03,하순,201803하순,무,무,20키로상자,상,19303.6,19303.6,1.0,봄,0.0,20.0,0.0,average
764,2018,04,상순,201804상순,무,무,20키로상자,상,18610.875,18610.875,2.0,봄,0.0,20.0,0.0,average
765,2018,04,중순,201804중순,무,무,20키로상자,상,20006.8888888888,20006.8888888888,1.0,봄,0.0,20.0,0.0,average
766,2018,04,하순,201804하순,무,무,20키로상자,상,23676.5,23676.5,2.0,봄,0.0,20.0,0.0,average
767,2018,05,상순,201805상순,무,무,20키로상자,상,25173.6666666666,25173.6666666666,3.0,봄,0.0,20.0,0.0,average
768,2018,05,중순,201805중순,무,무,20키로상자,상,22677.75,22677.75,2.0,봄,0.0,20.0,0.0,average
769,2018,05,하순,201805하순,무,무,20키로상자,상,13201.0,13201.0,2.0,봄,0.0,20.0,0.0,average
770,2018,06,상순,201806상순,무,무,20키로상자,상,13106.125,13106.125,3.0,여름,0.0,20.0,0.0,average
771,2018,06,중순,201806중순,무,무,20키로상자,상,10809.1111111111,10809.1111111111,2.0,여름,0.0,20.0,0.0,average
772,2018,06,하순,201806하순,무,무,20키로상자,상,11432.2222222222,11432.2222222222,1.0,여름,0.0,20.0,0.0,average
773,2018,07,상순,201807상순,무,무,20키로상자,상,11280.125,11280.125,2.0,여름,0.0,20.0,0.0,average
774,2018,07,중순,201807중순,무,무,20키로상자,상,14501.3333333333,14501.3333333333,1.0,여름,0.0,20.0,0.0,average
775,2018,07,하순,201807하순,무,무,20키로상자,상,20878.8888888888,20878.8888888888,2.0,여름,0.0,20.0,0.0,average
776,2018,08,상순,201808상순,무,무,20키로상자,상,23968.5,23968.5,1.0,여름,0.0,20.0,0.0,average
777,2018,08,중순,201808중순,무,무,20키로상자,상,20641.625,20641.625,3.0,여름,0.0,20.0,0.0,average
778,2018,08,하순,201808하순,무,무,20키로상자,상,27820.6,27820.6,1.0,여름,0.0,20.0,0.0,average
779,2018,09,상순,201809상순,무,무,20키로상자,상,22825.625,22825.625,2.0,가을,0.0,20.0,0.0,average
780,2018,09,중순,201809중순,무,무,20키로상자,상,21872.5555555555,21872.5555555555,1.0,가을,0.0,20.0,0.0,average
781,2018,09,하순,201809하순,무,무,20키로상자,상,21683.0,21683.0,5.0,가을,0.0,20.0,0.0,average
782,2018,10,상순,201810상순,무,무,20키로상자,상,15611.2222222222,15611.2222222222,3.0,가을,0.0,20.0,0.0,average
783,2018,10,중순,201810중순,무,무,20키로상자,상,12331.8888888888,12331.8888888888,1.0,가을,0.0,20.0,0.0,average
784,2018,10,하순,201810하순,무,무,20키로상자,상,8466.33333333333,8466.33333333333,2.0,가을,0.0,20.0,0.0,average
785,2018,11,상순,201811상순,무,무,20키로상자,상,6862.44444444444,6862.44444444444,1.0,가을,0.0,20.0,0.0,average
786,2018,11,중순,201811중순,무,무,20키로상자,상,5770.25,5770.25,2.0,가을,0.0,20.0,0.0,average
787,2018,11,하순,201811하순,무,무,20키로상자,상,5724.44444444444,5724.44444444444,1.0,가을,0.0,20.0,0.0,average
788,2018,12,상순,201812상순,무,무,20키로상자,상,7230.5,7230.5,2.0,겨울,0.0,20.0,0.0,average
789,2018,12,중순,201812중순,무,무,20키로상자,상,7808.55555555555,7808.55555555555,1.0,겨울,0.0,20.0,0.0,average
790,2018,12,하순,201812하순,무,무,20키로상자,상,7535.22222222222,7535.22222222222,3.0,겨울,0.0,20.0,0.0,average
