,year,month,순,시점,품목명,품종명,거래단위,등급,평년 평균가격(원),평균가격(원),계절,평년 평균가격(원)_whole,거래단위_num,평년 평균가격(원)_local,mean_평균가격(원)_multiplied,fill_source
576,2018,01,상순,201801상순,깐마늘(국산),깐마늘(국산),20 kg,상품,2613333.333333334,130666.66666666669,겨울,,20.0,0.0,2613333.333333334,average
577,2018,01,중순,201801중순,깐마늘(국산),깐마늘(국산),20 kg,상품,2612000.0,130600.0,겨울,,20.0,0.0,2612000.0,average
578,2018,01,하순,201801하순,깐마늘(국산),깐마늘(국산),20 kg,상품,2612000.0,130600.0,겨울,,20.0,0.0,2612000.0,average
579,2018,02,상순,201802상순,깐마늘(국산),깐마늘(국산),20 kg,상품,2692290.0,134614.5,겨울,,20.0,0.0,2692290.0,average
580,2018,02,중순,201802중순,깐마늘(국산),깐마늘(국산),20 kg,상품,2742000.0,137100.0,겨울,,20.0,0.0,2742000.0,average
581,2018,02,하순,201802하순,깐마늘(국산),깐마늘(국산),20 kg,상품,2742000.0,137100.0,겨울,,20.0,0.0,2742000.0,average
582,2018,03,상순,201803상순,깐마늘(국산),깐마늘(국산),20 kg,상품,2742000.0,137100.0,봄,,20.0,0.0,2742000.0,average
583,2018,03,중순,201803중순,깐마늘(국산),깐마늘(국산),20 kg,상품,2742000.0,137100.0,봄,,20.0,0.0,2742000.0,average
584,2018,03,하순,201803하순,깐마늘(국산),깐마늘(국산),20 kg,상품,2738250.0,136912.5,봄,,20.0,0.0,2738250.0,average
585,2018,04,상순,201804상순,깐마늘(국산),깐마늘(국산),20 kg,상품,2728570.0,136428.5,봄,,20.0,0.0,2728570.0,average
586,2018,04,중순,201804중순,깐마늘(국산),깐마늘(국산),20 kg,상품,2840000.0,142000.0,봄,,20.0,0.0,2840000.0,average
587,2018,04,하순,201804하순,깐마늘(국산),깐마늘(국산),20 kg,상품,2840000.0,142000.0,봄,,20.0,0.0,2840000.0,average
588,2018,05,상순,201805상순,깐마늘(국산),깐마늘(국산),20 kg,상품,2840000.0,142000.0,봄,,20.0,0.0,2840000.0,average
589,2018,05,중순,201805중순,깐마늘(국산),깐마늘(국산),20 kg,상품,2781660.0,139083.0,봄,,20.0,0.0,2781660.0,average
590,2018,05,하순,201805하순,깐마늘(국산),깐마늘(국산),20 kg,상품,2770000.0,138500.0,봄,,20.0,0.0,2770000.0,average
591,2018,06,상순,201806상순,깐마늘(국산),깐마늘(국산),20 kg,상품,2770000.0,138500.0,여름,,20.0,0.0,2770000.0,average
592,2018,06,중순,201806중순,깐마늘(국산),깐마늘(국산),20 kg,상품,2758570.0,137928.5,여름,,20.0,0.0,2758570.0,average
593,2018,06,하순,201806하순,깐마늘(국산),깐마늘(국산),20 kg,상품,2742000.0,137100.0,여름,,20.0,0.0,2742000.0,average
594,2018,07,상순,201807상순,깐마늘(국산),깐마늘(국산),20 kg,상품,2478290.0,123914.5,여름,,20.0,0.0,2478290.0,average
595,2018,07,중순,201807중순,깐마늘(국산),깐마늘(국산),20 kg,상품,2447000.0,122350.0,여름,,20.0,0.0,2447000.0,average
596,2018,07,하순,201807하순,깐마늘(국산),깐마늘(국산),20 kg,상품,2398570.0,119928.5,여름,,20.0,0.0,2398570.0,average
597,2018,08,상순,201808상순,깐마늘(국산),깐마늘(국산),20 kg,상품,2390000.0,119500.0,여름,,20.0,0.0,2390000.0,average
598,2018,08,중순,201808중순,깐마늘(국산),깐마늘(국산),20 kg,상품,2376000.0,118800.0,여름,,20.0,0.0,2376000.0,average
599,2018,08,하순,201808하순,깐마늘(국산),깐마늘(국산),20 kg,상품,2320000.0,116000.0,여름,,20.0,0.0,2320000.0,average
600,2018,09,상순,201809상순,깐마늘(국산),깐마늘(국산),20 kg,상품,2320000.0,116000.0,가을,,20.0,0.0,2320000.0,average
601,2018,09,중순,201809중순,깐마늘(국산),깐마늘(국산),20 kg,상품,2320000.0,116000.0,가을,,20.0,0.0,2320000.0,average
602,2018,09,하순,201809하순,깐마늘(국산),깐마늘(국산),20 kg,상품,2320000.0,116000.0,가을,,20.0,0.0,2320000.0,average
603,2018,10,상순,201810상순,깐마늘(국산),깐마늘(국산),20 kg,상품,2320000.0,116000.0,가을,,20.0,0.0,2320000.0,average
604,2018,10,중순,201810중순,깐마늘(국산),깐마늘(국산),20 kg,상품,2394280.0,119714.0,가을,,20.0,0.0,2394280.0,average
605,2018,10,하순,201810하순,깐마늘(국산),깐마늘(국산),20 kg,상품,2447500.0,122375.0,가을,,20.0,0.0,2447500.0,average
606,2018,11,상순,201811상순,깐마늘(국산),깐마늘(국산),20 kg,상품,2467140.0,123357.0,가을,,20.0,0.0,2467140.0,average
607,2018,11,중순,201811중순,깐마늘(국산),깐마늘(국산),20 kg,상품,2470000.0,123500.0,가을,,20.0,0.0,2470000.0,average
608,2018,11,하순,201811하순,깐마늘(국산),깐마늘(국산),20 kg,상품,2487500.0,124375.0,가을,,20.0,0.0,2487500.0,average
609,2018,12,상순,201812상순,깐마늘(국산),깐마늘(국산),20 kg,상품,2482000.0,124100.0,겨울,,20.0,0.0,2482000.0,average
610,2018,12,중순,201812중순,깐마늘(국산),깐마늘(국산),20 kg,상품,2463750.0,123187.5,겨울,,20.0,0.0,2463750.0,average
611,2018,12,하순,201812하순,깐마늘(국산),깐마늘(국산),20 kg,상품,2398340.0,119917.0,겨울,,20.0,0.0,2398340.0,average
612,2019,01,상순,201901상순,깐마늘(국산),깐마늘(국산),20 kg,상품,2350000.0,117500.0,겨울,,20.0,0.0,2350000.0,average
613,2019,01,중순,201901중순,깐마늘(국산),깐마늘(국산),20 kg,상품,2351000.0,117550.0,겨울,,20.0,0.0,2351000.0,average
614,2019,01,하순,201901하순,깐마늘(국산),깐마늘(국산),20 kg,상품,2352000.0,117600.0,겨울,,20.0,0.0,2352000.0,average
615,2019,02,상순,201902상순,깐마늘(국산),깐마늘(국산),20 kg,상품,2352000.0,117600.0,겨울,,20.0,0.0,2352000.0,average
616,2019,02,중순,201902중순,깐마늘(국산),깐마늘(국산),20 kg,상품,2352000.0,117600.0,겨울,,20.0,0.0,2352000.0,average
617,2019,02,하순,201902하순,깐마늘(국산),깐마늘(국산),20 kg,상품,2352000.0,117600.0,겨울,,20.0,0.0,2352000.0,average
618,2019,03,상순,201903상순,깐마늘(국산),깐마늘(국산),20 kg,상품,2352000.0,117600.0,봄,,20.0,0.0,2352000.0,average
619,2019,03,중순,201903중순,깐마늘(국산),깐마늘(국산),20 kg,상품,2417000.0,120850.0,봄,,20.0,0.0,2417000.0,average
620,2019,03,하순,201903하순,깐마늘(국산),깐마늘(국산),20 kg,상품,2462000.0,123100.0,봄,,20.0,0.0,2462000.0,average
621,2019,04,상순,201904상순,깐마늘(국산),깐마늘(국산),20 kg,상품,2453250.0,122662.5,봄,,20.0,0.0,2453250.0,average
622,2019,04,중순,201904중순,깐마늘(국산),깐마늘(국산),20 kg,상품,2444860.0,122243.0,봄,,20.0,0.0,2444860.0,average
623,2019,04,하순,201904하순,깐마늘(국산),깐마늘(국산),20 kg,상품,2442000.0,122100.0,봄,,20.0,0.0,2442000.0,average
624,2019,05,상순,201905상순,깐마늘(국산),깐마늘(국산),20 kg,상품,2442000.0,122100.0,봄,,20.0,0.0,2442000.0,average
625,2019,05,중순,201905중순,깐마늘(국산),깐마늘(국산),20 kg,상품,2442000.0,122100.0,봄,,20.0,0.0,2442000.0,average
626,2019,05,하순,201905하순,깐마늘(국산),깐마늘(국산),20 kg,상품,2370880.0,118544.0,봄,,20.0,0.0,2370880.0,average
627,2019,06,상순,201906상순,깐마늘(국산),깐마늘(국산),20 kg,상품,2305600.0,115280.0,여름,,20.0,0.0,2305600.0,average
628,2019,06,중순,201906중순,깐마늘(국산),깐마늘(국산),20 kg,상품,2070500.0,103525.0,여름,,20.0,0.0,2070500.0,average
629,2019,06,하순,201906하순,깐마늘(국산),깐마늘(국산),20 kg,상품,1895000.0,94750.0,여름,,20.0,0.0,1895000.0,average
630,2019,07,상순,201907상순,깐마늘(국산),깐마늘(국산),20 kg,상품,1845000.0,92250.0,여름,,20.0,0.0,1845000.0,average
631,2019,07,중순,201907중순,깐마늘(국산),깐마늘(국산),20 kg,상품,1725140.0,86257.0,여름,,20.0,0.0,1725140.0,average
632,2019,07,하순,201907하순,깐마늘(국산),깐마늘(국산),20 kg,상품,1708500.0,85425.0,여름,,20.0,0.0,1708500.0,average
633,2019,08,상순,201908상순,깐마늘(국산),깐마늘(국산),20 kg,상품,1687140.0,84357.0,여름,,20.0,0.0,1687140.0,average
634,2019,08,중순,201908중순,깐마늘(국산),깐마늘(국산),20 kg,상품,1674000.0,83700.0,여름,,20.0,0.0,1674000.0,average
635,2019,08,하순,201908하순,깐마늘(국산),깐마늘(국산),20 kg,상품,1673000.0,83650.0,여름,,20.0,0.0,1673000.0,average
636,2019,09,상순,201909상순,깐마늘(국산),깐마늘(국산),20 kg,상품,1672000.0,83600.0,가을,,20.0,0.0,1672000.0,average
637,2019,09,중순,201909중순,깐마늘(국산),깐마늘(국산),20 kg,상품,1672000.0,83600.0,가을,,20.0,0.0,1672000.0,average
638,2019,09,하순,201909하순,깐마늘(국산),깐마늘(국산),20 kg,상품,1665330.0,83266.5,가을,,20.0,0.0,1665330.0,average
639,2019,10,상순,201910상순,깐마늘(국산),깐마늘(국산),20 kg,상품,1662000.0,83100.0,가을,,20.0,0.0,1662000.0,average
640,2019,10,중순,201910중순,깐마늘(국산),깐마늘(국산),20 kg,상품,1662000.0,83100.0,가을,,20.0,0.0,1662000.0,average
641,2019,10,하순,201910하순,깐마늘(국산),깐마늘(국산),20 kg,상품,1689110.0,84455.5,가을,,20.0,0.0,1689110.0,average
642,2019,11,상순,201911상순,깐마늘(국산),깐마늘(국산),20 kg,상품,1704000.0,85200.0,가을,,20.0,0.0,1704000.0,average
643,2019,11,중순,201911중순,깐마늘(국산),깐마늘(국산),20 kg,상품,1708000.0,85400.0,가을,,20.0,0.0,1708000.0,average
644,2019,11,하순,201911하순,깐마늘(국산),깐마늘(국산),20 kg,상품,1703430.0,85171.5,가을,,20.0,0.0,1703430.0,average
645,2019,12,상순,201912상순,깐마늘(국산),깐마늘(국산),20 kg,상품,1700000.0,85000.0,겨울,,20.0,0.0,1700000.0,average
646,2019,12,중순,201912중순,깐마늘(국산),깐마늘(국산),20 kg,상품,1700000.0,85000.0,겨울,,20.0,0.0,1700000.0,average
647,2019,12,하순,201912하순,깐마늘(국산),깐마늘(국산),20 kg,상품,1691670.0,84583.5,겨울,,20.0,0.0,1691670.0,average
648,2020,01,상순,202001상순,깐마늘(국산),깐마늘(국산),20 kg,상품,1690000.0,84500.0,겨울,,20.0,0.0,1690000.0,average
649,2020,01,중순,202001중순,깐마늘(국산),깐마늘(국산),20 kg,상품,1673330.0,83666.5,겨울,,20.0,0.0,1673330.0,average
650,2020,01,하순,202001하순,깐마늘(국산),깐마늘(국산),20 kg,상품,1553930.0,77696.5,겨울,,20.0,0.0,1553930.0,average
651,2020,02,상순,202002상순,깐마늘(국산),깐마늘(국산),20 kg,상품,1542000.0,77100.0,겨울,,20.0,0.0,1542000.0,average
652,2020,02,중순,202002중순,깐마늘(국산),깐마늘(국산),20 kg,상품,1546000.0,77300.0,겨울,,20.0,0.0,1546000.0,average
653,2020,02,하순,202002하순,깐마늘(국산),깐마늘(국산),20 kg,상품,1537500.0,76875.0,겨울,,20.0,0.0,1537500.0,average
654,2020,03,상순,202003상순,깐마늘(국산),깐마늘(국산),20 kg,상품,1538210.0,76910.5,봄,,20.0,0.0,1538210.0,average
655,2020,03,중순,202003중순,깐마늘(국산),깐마늘(국산),20 kg,상품,1496250.0,74812.5,봄,,20.0,0.0,1496250.0,average
656,2020,03,하순,202003하순,깐마늘(국산),깐마늘(국산),20 kg,상품,1490000.0,74500.0,봄,,20.0,0.0,1490000.0,average
657,2020,04,상순,202004상순,깐마늘(국산),깐마늘(국산),20 kg,상품,1490000.0,74500.0,봄,,20.0,0.0,1490000.0,average
658,2020,04,중순,202004중순,깐마늘(국산),깐마늘(국산),20 kg,상품,1496000.0,74800.0,봄,,20.0,0.0,1496000.0,average
659,2020,04,하순,202004하순,깐마늘(국산),깐마늘(국산),20 kg,상품,1512860.0,75643.0,봄,,20.0,0.0,1512860.0,average
660,2020,05,상순,202005상순,깐마늘(국산),깐마늘(국산),20 kg,상품,1525000.0,76250.0,봄,,20.0,0.0,1525000.0,average
661,2020,05,중순,202005중순,깐마늘(국산),깐마늘(국산),20 kg,상품,1603750.0,80187.5,봄,,20.0,0.0,1603750.0,average
662,2020,05,하순,202005하순,깐마늘(국산),깐마늘(국산),20 kg,상품,1624000.0,81200.0,봄,,20.0,0.0,1624000.0,average
663,2020,06,상순,202006상순,깐마늘(국산),깐마늘(국산),20 kg,상품,1620500.0,81025.0,여름,,20.0,0.0,1620500.0,average
664,2020,06,중순,202006중순,깐마늘(국산),깐마늘(국산),20 kg,상품,1633430.0,81671.5,여름,,20.0,0.0,1633430.0,average
665,2020,06,하순,202006하순,깐마늘(국산),깐마늘(국산),20 kg,상품,1716660.0,85833.0,여름,,20.0,0.0,1716660.0,average
666,2020,07,상순,202007상순,깐마늘(국산),깐마늘(국산),20 kg,상품,1762793.3333333335,88139.66666666667,여름,,20.0,0.0,1762793.3333333335,average
667,2020,07,중순,202007중순,깐마늘(국산),깐마늘(국산),20 kg,상품,2128160.0,106408.0,여름,,20.0,0.0,2128160.0,average
668,2020,07,하순,202007하순,깐마늘(국산),깐마늘(국산),20 kg,상품,2552450.0,127622.5,여름,,20.0,0.0,2552450.0,average
669,2020,08,상순,202008상순,깐마늘(국산),깐마늘(국산),20 kg,상품,2712000.0,135600.0,여름,,20.0,0.0,2712000.0,average
670,2020,08,중순,202008중순,깐마늘(국산),깐마늘(국산),20 kg,상품,2712290.0,135614.5,여름,,20.0,0.0,2712290.0,average
671,2020,08,하순,202008하순,깐마늘(국산),깐마늘(국산),20 kg,상품,2729710.0,136485.5,여름,,20.0,0.0,2729710.0,average
672,2020,09,상순,202009상순,깐마늘(국산),깐마늘(국산),20 kg,상품,2736000.0,136800.0,가을,,20.0,0.0,2736000.0,average
673,2020,09,중순,202009중순,깐마늘(국산),깐마늘(국산),20 kg,상품,2736000.0,136800.0,가을,,20.0,0.0,2736000.0,average
674,2020,09,하순,202009하순,깐마늘(국산),깐마늘(국산),20 kg,상품,2733710.0,136685.5,가을,,20.0,0.0,2733710.0,average
675,2020,10,상순,202010상순,깐마늘(국산),깐마늘(국산),20 kg,상품,2732000.0,136600.0,가을,,20.0,0.0,2732000.0,average
676,2020,10,중순,202010중순,깐마늘(국산),깐마늘(국산),20 kg,상품,2732000.0,136600.0,가을,,20.0,0.0,2732000.0,average
677,2020,10,하순,202010하순,깐마늘(국산),깐마늘(국산),20 kg,상품,2732000.0,136600.0,가을,,20.0,0.0,2732000.0,average
678,2020,11,상순,202011상순,깐마늘(국산),깐마늘(국산),20 kg,상품,2732000.0,136600.0,가을,,20.0,0.0,2732000.0,average
679,2020,11,중순,202011중순,깐마늘(국산),깐마늘(국산),20 kg,상품,2732000.0,136600.0,가을,,20.0,0.0,2732000.0,average
680,2020,11,하순,202011하순,깐마늘(국산),깐마늘(국산),20 kg,상품,2732000.0,136600.0,가을,,20.0,0.0,2732000.0,average
681,2020,12,상순,202012상순,깐마늘(국산),깐마늘(국산),20 kg,상품,2732000.0,136600.0,겨울,,20.0,0.0,2732000.0,average
682,2020,12,중순,202012중순,깐마늘(국산),깐마늘(국산),20 kg,상품,2732000.0,136600.0,겨울,,20.0,0.0,2732000.0,average
683,2020,12,하순,202012하순,깐마늘(국산),깐마늘(국산),20 kg,상품,2732000.0,136600.0,겨울,,20.0,0.0,2732000.0,average
684,2021,01,상순,202101상순,깐마늘(국산),깐마늘(국산),20 kg,상품,2732000.0,136600.0,겨울,,20.0,2034.85062848925,2732000.0,average
685,2021,01,중순,202101중순,깐마늘(국산),깐마늘(국산),20 kg,상품,2732000.0,136600.0,겨울,,20.0,613.3165059677276,2732000.0,average
686,2021,01,하순,202101하순,깐마늘(국산),깐마늘(국산),20 kg,상품,2732000.0,136600.0,겨울,,20.0,1500.3123368902216,2732000.0,average
687,2021,02,상순,202102상순,깐마늘(국산),깐마늘(국산),20 kg,상품,2808750.0,140437.5,겨울,,20.0,1836.284920106601,2808750.0,average
688,2021,02,중순,202102중순,깐마늘(국산),깐마늘(국산),20 kg,상품,2866000.0,143300.0,겨울,,20.0,1884.2065966637072,2866000.0,average
689,2021,02,하순,202102하순,깐마늘(국산),깐마늘(국산),20 kg,상품,2876000.0,143800.0,겨울,,20.0,1760.7740228088996,2876000.0,average
