iter	RMSE
0	3390.673249
1	3287.706104
2	3195.335156
3	3111.73659
4	3021.649216
5	2932.781618
6	2845.586608
7	2777.034477
8	2697.535338
9	2620.374054
10	2542.071597
11	2466.061208
12	2402.232841
13	2343.227121
14	2275.974855
15	2215.706747
16	2159.03279
17	2111.222248
18	2060.027686
19	2019.651615
20	1969.711744
21	1929.212856
22	1885.270704
23	1839.854496
24	1803.006857
25	1763.397022
26	1726.711888
27	1690.653764
28	1657.413934
29	1621.385956
30	1589.061083
31	1556.320283
32	1528.345771
33	1500.484543
34	1468.185997
35	1446.254334
36	1420.47087
37	1396.144815
38	1376.82638
39	1352.179697
40	1332.210926
41	1314.738581
42	1299.236835
43	1283.610015
44	1267.699098
45	1246.362027
46	1231.820347
47	1216.286678
48	1201.785609
49	1187.837697
50	1171.8668
51	1160.084828
52	1148.862828
53	1132.31751
54	1120.070622
55	1106.93644
56	1093.922293
57	1079.22438
58	1067.316486
59	1056.352572
60	1041.959622
61	1032.916661
62	1020.708089
63	1010.394265
64	997.4416376
65	986.9140959
66	978.3578933
67	966.5349423
68	957.3463547
69	949.9529409
70	940.7974927
71	934.2781927
72	927.0870054
73	919.8437445
74	912.7765717
75	906.7165048
76	900.1200546
77	890.0344303
78	883.8128868
79	876.3240596
80	868.3916787
81	861.538572
82	853.5649678
83	845.6206477
84	839.4592618
85	830.2789821
86	823.3020991
87	816.8864813
88	810.060398
89	803.7448307
90	797.7848691
91	792.2134481
92	786.9296472
93	782.1748954
94	776.2713669
95	770.7710409
96	764.1223546
97	759.5135963
98	752.4127732
99	747.7002052
100	742.4563849
101	737.8913175
102	731.1513226
103	726.8067188
104	721.7641799
105	717.2527928
106	713.2916679
107	708.5441945
108	704.0540879
109	698.1998481
110	693.0638406
111	687.6833968
112	683.6025458
113	679.7225658
114	674.1522653
115	670.5874884
116	665.6429152
117	661.6320256
118	658.3460733
119	654.7882963
120	648.7061618
121	644.0383248
122	639.6895993
123	636.089349
124	633.2684097
125	630.1628154
126	626.1811546
127	622.1170689
128	618.9457508
129	616.8642427
130	614.2052171
131	609.658035
132	606.9192565
133	604.0110623
134	600.2359595
135	596.9047067
136	591.6112294
137	587.6221752
138	583.6780427
139	579.3313912
140	576.7983833
141	574.7226185
142	572.4164594
143	569.4842471
144	566.5606508
145	564.1921074
146	561.2128555
147	557.3772027
148	552.8404464
149	550.6909629
150	549.938536
151	546.934474
152	545.7972925
153	543.7044866
154	541.525708
155	539.1242541
156	536.3946939
157	534.1439024
158	531.2586726
159	528.405028
160	525.7804021
161	524.2923611
162	521.1333216
163	517.7952793
164	515.4985175
165	513.2774991
166	511.500965
167	510.5242398
168	507.3922146
169	505.2203198
170	503.2316754
171	500.0922903
172	497.7454664
173	495.4421622
174	493.2139568
175	490.8636343
176	488.2634559
177	485.9378792
178	483.7858038
179	482.0353402
180	480.0150758
181	477.1971094
182	473.8997205
183	472.319928
184	466.1342256
185	463.6797303
186	461.7311135
187	460.0105012
188	457.7591774
189	456.0590033
190	454.4420796
191	452.507657
192	449.1210571
193	447.42819
194	444.9066241
195	441.0030408
196	436.463428
197	434.3013671
198	432.4729839
199	430.6909421
200	428.3787665
201	426.1455842
202	425.1962448
203	422.416972
204	421.3493784
205	419.7220132
206	415.9515512
207	412.7390568
208	410.9034132
209	409.0713866
