iter	Passed	Remaining
0	0	117
1	0	103
2	1	94
3	1	91
4	2	89
5	2	87
6	2	85
7	3	83
8	3	81
9	4	80
10	4	79
11	4	78
12	5	78
13	5	77
14	5	76
15	6	76
16	6	75
17	7	74
18	7	74
19	7	73
20	8	72
21	8	72
22	8	71
23	9	70
24	9	69
25	9	69
26	10	68
27	10	67
28	10	66
29	10	65
30	11	65
31	11	64
32	11	64
33	12	63
34	12	62
35	12	62
36	13	61
37	13	61
38	13	60
39	14	60
40	14	59
41	14	59
42	15	59
43	15	59
44	15	58
45	16	58
46	16	57
47	17	57
48	17	57
49	17	56
50	17	56
51	18	55
52	18	54
53	18	54
54	19	53
55	19	53
56	19	52
57	19	52
58	20	51
59	20	51
60	20	50
61	21	50
62	21	49
63	21	49
64	21	48
65	22	48
66	22	48
67	22	47
68	23	47
69	23	46
70	23	46
71	23	45
72	24	45
73	24	45
74	24	44
75	25	44
76	25	43
77	25	43
78	25	43
79	26	42
80	26	42
81	26	41
82	27	41
83	27	41
84	27	40
85	27	40
86	28	39
87	28	39
88	28	39
89	29	38
90	29	38
91	29	37
92	29	37
93	30	37
94	30	36
95	30	36
96	31	36
97	31	35
98	31	35
99	31	35
100	32	34
101	32	34
102	32	34
103	33	33
104	33	33
105	33	33
106	33	32
107	34	32
108	34	31
109	34	31
110	35	31
111	35	30
112	35	30
113	35	30
114	36	29
115	36	29
116	36	29
117	37	28
118	37	28
119	37	28
120	37	27
121	38	27
122	38	27
123	38	26
124	38	26
125	39	26
126	39	25
127	39	25
128	40	25
129	40	24
130	40	24
131	40	24
132	41	23
133	41	23
134	41	23
135	42	22
136	42	22
137	42	22
138	42	21
139	43	21
140	43	21
141	43	20
142	44	20
143	44	20
144	44	19
145	44	19
146	44	19
147	45	18
148	45	18
149	45	18
150	46	18
151	46	17
152	46	17
153	46	17
154	47	16
155	47	16
156	47	16
157	47	15
158	48	15
159	48	15
160	48	14
161	48	14
162	49	14
163	49	13
164	49	13
165	50	13
166	50	12
167	50	12
168	50	12
169	51	12
170	51	11
171	51	11
172	51	11
173	52	10
174	52	10
175	52	10
176	52	9
177	53	9
178	53	9
179	53	8
180	54	8
181	54	8
182	54	8
183	54	7
184	55	7
185	55	7
186	55	6
187	56	6
188	56	6
189	56	5
190	56	5
191	57	5
192	57	5
193	57	4
194	57	4
195	58	4
196	58	3
197	58	3
198	58	3
199	59	2
200	59	2
201	59	2
202	59	2
203	60	1
204	60	1
205	60	1
206	61	0
207	61	0
208	61	0
209	61	0
