시점,품목명,품종명,등급,거래단위,평년 평균가격(원),평균가격(원),거래금액(도매),거래금액(산지)
201801상순,건고추,화건,상품,30 kg,381666.6666666663,590000.0000000001,1.0,1.0
201801중순,건고추,화건,상품,30 kg,380809.66666666575,590000.0000000001,1.0,1.0
201801하순,건고추,화건,상품,30 kg,380000.0000000003,590000.0000000001,1.0,1.0
201802상순,건고추,화건,상품,30 kg,380000.0000000003,590000.0000000001,1.0,1.0
201802중순,건고추,화건,상품,30 kg,376666.666666666,590000.0000000001,1.0,1.0
201802하순,건고추,화건,상품,30 kg,376666.666666666,580833.0000000001,1.0,1.0
201803상순,건고추,화건,상품,30 kg,376666.666666666,563333.0000000002,1.0,1.0
201803중순,건고추,화건,상품,30 kg,375208.3333333331,575000.0,1.0,1.0
201803하순,건고추,화건,상품,30 kg,372333.33333333285,575000.0,1.0,1.0
201804상순,건고추,화건,상품,30 kg,371000.0000000002,575000.0,1.0,1.0
201804중순,건고추,화건,상품,30 kg,368143.0000000001,575000.0,1.0,1.0
201804하순,건고추,화건,상품,30 kg,363761.99999999994,575000.0,1.0,1.0
201805상순,건고추,화건,상품,30 kg,361618.9999999997,575000.0,1.0,1.0
201805중순,건고추,화건,상품,30 kg,359333.333333333,575000.0,1.0,1.0
201805하순,건고추,화건,상품,30 kg,359333.333333333,575000.0,1.0,1.0
201806상순,건고추,화건,상품,30 kg,359666.6666666661,591319.9999999995,1.0,1.0
201806중순,건고추,화건,상품,30 kg,362458.3333333333,599513.9999999999,1.0,1.0
201806하순,건고추,화건,상품,30 kg,362666.66666666605,599999.9999999999,1.0,1.0
201807상순,건고추,화건,상품,30 kg,364333.33333333326,599999.9999999999,1.0,1.0
201807중순,건고추,화건,상품,30 kg,366166.6666666663,599375.0,1.0,1.0
201807하순,건고추,화건,상품,30 kg,359792.33333333285,590943.0000000005,1.0,1.0
201808상순,건고추,화건,상품,30 kg,357630.99999999994,601249.9999999998,1.0,1.0
201808중순,건고추,화건,상품,30 kg,349952.333333333,604999.9999999995,1.0,1.0
201808하순,건고추,화건,상품,30 kg,348927.6666666659,599999.9999999999,1.0,1.0
201809상순,건고추,화건,상품,30 kg,405678.66666666564,771633.0000000003,1.0,1.0
201809중순,건고추,화건,상품,30 kg,399555.6666666659,670800.0000000006,1.0,1.0
201809하순,건고추,화건,상품,30 kg,401381.0,651067.0000000006,1.0,1.0
201810상순,건고추,화건,상품,30 kg,398889.00000000023,628016.9999999998,1.0,1.0
201810중순,건고추,화건,상품,30 kg,396270.00000000023,616000.0000000002,1.0,1.0
201810하순,건고추,화건,상품,30 kg,394333.3333333332,608499.9999999995,1.0,1.0
201811상순,건고추,화건,상품,30 kg,392666.6666666657,593857.0000000003,1.0,1.0
201811중순,건고추,화건,상품,30 kg,391208.33333333285,585999.9999999997,1.0,1.0
201811하순,건고추,화건,상품,30 kg,391000.0000000003,588500.0000000001,1.0,1.0
