시점,감자,건고추,깐마늘(국산),대파,무,배추,사과,상추,양파,배
TEST_00+1순,29515.50588177709,703143.7142138873,38619.05842505065,1906.91230452783,84580.79884317868,1233.1087814779871,3787.9093041659753,8922.845748562198,4014.0529284380914,38244.54968875514
TEST_00+2순,29606.669525676873,689357.6414208922,36524.462892180796,1837.366691421258,86463.81348752129,1046.843472471368,3694.6168393165685,9154.732836338217,4758.171043360234,39734.24372833155
TEST_00+3순,30137.586671800316,678630.4250467324,35424.43505500405,1798.9462512009873,93285.43932158986,929.8220212462257,3546.575143757578,9045.147344191191,5497.877135249399,40979.05860388303
TEST_01+1순,29515.50588177709,636170.2671294588,38619.05842505065,1909.9340343272283,84580.79884317868,1233.1087814779871,3787.9093041659753,8922.845748562198,4014.0529284380914,29876.258233286582
TEST_01+2순,29606.669525676873,644916.1809925572,36524.462892180796,1892.9264871986982,86463.81348752129,1046.843472471368,3694.6168393165685,9154.732836338217,4758.171043360234,30765.298805196082
TEST_01+3순,30137.586671800316,650706.9599456727,35424.43505500405,1734.197669388253,93285.43932158986,929.8220212462257,3546.575143757578,9045.147344191191,5497.877135249399,31988.991436206506
TEST_02+1순,29515.50588177709,477898.88948318746,38619.05842505065,1586.6016635079254,84580.79884317868,1233.1087814779871,3787.9093041659753,8922.845748562198,4014.0529284380914,41884.93206398892
TEST_02+2순,29606.669525676873,470704.7743879488,36524.462892180796,1595.740240286786,86463.81348752129,1046.843472471368,3694.6168393165685,9154.732836338217,4758.171043360234,43014.3537820037
TEST_02+3순,30137.586671800316,473008.7963469187,35424.43505500405,1622.6520364281387,93285.43932158986,929.8220212462257,3546.575143757578,9045.147344191191,5497.877135249399,44054.80460593295
TEST_03+1순,29515.50588177709,484277.4181114721,38619.05842505065,1481.3313146030287,84580.79884317868,1233.1087814779871,3787.9093041659753,8922.845748562198,4014.0529284380914,40685.518993592545
TEST_03+2순,29606.669525676873,477637.08328225766,36524.462892180796,1596.5759970070835,86463.81348752129,1046.843472471368,3694.6168393165685,9154.732836338217,4758.171043360234,42625.64707922079
TEST_03+3순,30137.586671800316,483886.6038963651,35424.43505500405,1685.4405885158335,93285.43932158986,929.8220212462257,3546.575143757578,9045.147344191191,5497.877135249399,44274.76836535778
TEST_04+1순,29515.50588177709,479151.5500720824,38619.05842505065,1490.5916036483227,84580.79884317868,1233.1087814779871,3787.9093041659753,8922.845748562198,4014.0529284380914,40917.93801208812
TEST_04+2순,29606.669525676873,472653.6688662717,36524.462892180796,1537.2586569017315,86463.81348752129,1046.843472471368,3694.6168393165685,9154.732836338217,4758.171043360234,42902.8661358646
TEST_04+3순,30137.586671800316,475990.79054508434,35424.43505500405,1579.2463720963256,93285.43932158986,929.8220212462257,3546.575143757578,9045.147344191191,5497.877135249399,44398.361085995726
TEST_05+1순,29515.50588177709,484277.4181114721,38619.05842505065,1632.3464420298874,84580.79884317868,1233.1087814779871,3787.9093041659753,8922.845748562198,4014.0529284380914,40818.097823397795
TEST_05+2순,29606.669525676873,477637.08328225766,36524.462892180796,1691.6857992942384,86463.81348752129,1046.843472471368,3694.6168393165685,9154.732836338217,4758.171043360234,42629.77674069144
TEST_05+3순,30137.586671800316,483886.6038963651,35424.43505500405,1703.2512596315646,93285.43932158986,929.8220212462257,3546.575143757578,9045.147344191191,5497.877135249399,43847.98438027795
TEST_06+1순,29600.347410776547,543642.4173695076,38619.05842505065,1860.1503294425218,84580.79884317868,1233.1087814779871,3787.9093041659753,8922.845748562198,4014.0529284380914,41712.39264249269
TEST_06+2순,29697.44031299186,546323.6759217931,36524.462892180796,1937.154103277115,86463.81348752129,1046.843472471368,3694.6168393165685,9154.732836338217,4758.171043360234,43345.37824870658
TEST_06+3순,30230.803772022537,549469.4598170535,35424.43505500405,1668.3643980703303,93285.43932158986,929.8220212462257,3546.575143757578,9045.147344191191,5497.877135249399,44757.14539594305
TEST_07+1순,29515.50588177709,704100.387815669,38619.05842505065,1884.8900698897703,84580.79884317868,1233.1087814779871,3787.9093041659753,8922.845748562198,4014.0529284380914,32600.943557104416
TEST_07+2순,29606.669525676873,696431.549496343,36524.462892180796,1900.6197834203992,86463.81348752129,1046.843472471368,3694.6168393165685,9154.732836338217,4758.171043360234,33934.491973936594
TEST_07+3순,30137.586671800316,693888.1381757085,35424.43505500405,1738.1822348225528,93285.43932158986,929.8220212462257,3546.575143757578,9045.147344191191,5497.877135249399,35213.82984302428
TEST_08+1순,29719.452968565154,523122.4268886556,38619.05842505065,1911.5643436281218,84580.79884317868,1233.1087814779871,3787.9093041659753,8922.845748562198,4014.0529284380914,43243.06936027441
TEST_08+2순,29802.947758743256,527099.6851304611,36524.462892180796,1854.623831101968,86463.81348752129,1046.843472471368,3694.6168393165685,9154.732836338217,4758.171043360234,45184.536161519776
TEST_08+3순,30316.77420590554,532481.1453602198,35424.43505500405,1784.012981822716,93285.43932158986,929.8220212462257,3546.575143757578,9045.147344191191,5497.877135249399,47044.30245773613
TEST_09+1순,29515.50588177709,477736.04572167806,38619.05842505065,1505.8587640789324,84580.79884317868,1233.1087814779871,3787.9093041659753,8922.845748562198,4014.0529284380914,41337.304304820434
TEST_09+2순,29606.669525676873,470595.751386697,36524.462892180796,1506.5620845015253,86463.81348752129,1046.843472471368,3694.6168393165685,9154.732836338217,4758.171043360234,42519.879615821075
TEST_09+3순,30137.586671800316,473064.7396341653,35424.43505500405,1512.639996508871,93285.43932158986,929.8220212462257,3546.575143757578,9045.147344191191,5497.877135249399,43549.856781513074
TEST_10+1순,29515.50588177709,477738.6243442638,38619.05842505065,1630.0385988583498,84580.79884317868,1233.1087814779871,3787.9093041659753,8922.845748562198,4014.0529284380914,41478.748941748374
TEST_10+2순,29606.669525676873,471174.91467573424,36524.462892180796,1816.053134001367,86463.81348752129,1046.843472471368,3694.6168393165685,9154.732836338217,4758.171043360234,42600.94977957062
