iter	RMSE
0	6469.827064
1	6276.784445
2	6082.235064
3	5906.469018
4	5715.348595
5	5543.999789
6	5388.516853
7	5216.778792
8	5059.548358
9	4901.022248
10	4755.802393
11	4632.004387
12	4496.07204
13	4364.871659
14	4233.326734
15	4105.776381
16	4004.706606
17	3892.508687
18	3791.313595
19	3673.110452
20	3585.503334
21	3504.129818
22	3418.717126
23	3341.893028
24	3265.967796
25	3189.843631
26	3110.103382
27	3044.468754
28	2986.088806
29	2912.692168
30	2852.530918
31	2796.303981
32	2737.654643
33	2683.091067
34	2629.83563
35	2577.561165
36	2528.160842
37	2479.65382
38	2436.8958
39	2390.829363
40	2345.930154
41	2314.710294
42	2268.86223
43	2229.049042
44	2187.44239
45	2148.883924
46	2114.67727
47	2086.09078
48	2051.30599
49	2021.000935
50	1990.695506
51	1961.78764
52	1928.796889
53	1906.652501
54	1877.568571
55	1852.763493
56	1828.009978
57	1798.001716
58	1777.753319
59	1755.722888
60	1732.629183
61	1712.20084
62	1693.67793
63	1671.761235
64	1654.671803
65	1634.041906
66	1619.155558
67	1602.147597
68	1590.762018
69	1573.588309
70	1560.058594
71	1539.601714
72	1526.984716
73	1507.348445
74	1495.746189
75	1480.523506
76	1468.023355
77	1449.152485
78	1433.010939
79	1418.869578
80	1406.502854
81	1392.063477
82	1383.15018
83	1368.913038
84	1358.028414
85	1340.441748
86	1326.658838
87	1317.055609
88	1305.920723
89	1293.752641
90	1281.371926
91	1270.092662
92	1259.15527
93	1248.360457
94	1238.943885
95	1232.906242
96	1222.695307
97	1212.985162
98	1204.716561
99	1195.633131
100	1186.341878
101	1176.510328
102	1171.669448
103	1158.067669
104	1147.362885
105	1142.889575
106	1136.976159
107	1127.286627
108	1118.769524
109	1115.862085
110	1112.620964
111	1103.948156
112	1094.949037
113	1087.917513
114	1082.747598
115	1080.692091
116	1068.66606
117	1064.825569
118	1058.184012
119	1052.677288
120	1050.417278
121	1045.648125
122	1043.2149
123	1034.729752
124	1032.113935
125	1024.385061
126	1018.664793
127	1011.638644
128	1006.896548
129	999.6795379
130	996.9405031
131	994.1696775
132	990.8238989
133	984.9652516
134	982.0268786
135	979.7228087
136	976.78591
137	973.4285615
138	969.3539461
139	966.9802886
140	965.0939599
141	962.3230717
142	960.2207265
143	954.1178333
144	952.5509212
145	950.9769851
146	946.5081703
147	939.0387821
148	931.0905316
149	923.668467
150	922.1254559
151	915.8756709
152	913.5880827
153	910.2987801
154	908.4859691
155	906.4629764
156	896.2894874
157	894.7358714
158	891.6254507
159	890.4156123
160	887.8665699
161	886.7029737
162	876.8244752
163	875.33071
164	873.6797901
165	867.7745465
166	858.9823066
167	857.8851892
168	851.487873
169	845.8755691
170	838.0045669
171	836.4728943
172	830.907538
173	829.4838165
174	821.2519922
175	818.2357663
176	813.1017767
177	810.7903414
178	809.8272288
179	808.4116435
180	806.1473704
181	804.1728744
182	803.0544043
183	798.2315094
184	797.0400341
185	788.8301705
186	787.7098853
187	781.5562428
188	773.4384863
189	769.9470586
190	765.4873503
191	761.1851678
192	759.3263546
193	758.1233
194	754.1256555
195	752.0553929
