iter	Passed	Remaining
0	7	7589
1	14	7246
2	21	7101
3	28	7009
4	35	6990
5	41	6923
6	47	6785
7	53	6610
8	58	6400
9	62	6198
10	66	6011
11	71	5873
12	75	5717
13	79	5583
14	83	5468
15	88	5464
16	93	5426
17	98	5376
18	103	5319
19	107	5273
20	112	5241
21	116	5197
22	122	5187
23	127	5185
24	132	5160
25	136	5119
26	141	5089
27	145	5060
28	150	5038
29	154	4989
30	158	4963
31	163	4950
32	168	4951
33	173	4942
34	178	4916
35	182	4891
36	186	4865
37	191	4840
38	195	4816
39	199	4787
40	203	4760
41	204	4667
42	208	4637
43	212	4608
44	217	4614
45	221	4585
46	224	4557
47	228	4528
48	232	4504
49	235	4480
50	239	4454
51	243	4432
52	247	4414
53	251	4403
54	255	4386
55	259	4368
56	262	4350
57	267	4344
58	271	4334
59	276	4324
60	280	4313
61	284	4300
62	288	4287
63	294	4300
64	298	4289
65	303	4290
66	308	4289
67	313	4291
68	314	4243
69	318	4233
70	322	4223
71	327	4221
72	331	4210
73	336	4204
74	341	4210
75	346	4217
76	351	4215
77	356	4217
78	361	4218
79	366	4219
80	372	4224
81	377	4224
82	382	4228
83	389	4245
84	395	4260
85	401	4266
86	406	4267
87	413	4284
88	420	4304
89	426	4308
90	432	4324
91	438	4331
92	444	4337
93	450	4343
94	452	4312
95	458	4320
96	464	4324
97	470	4332
98	476	4337
99	482	4342
100	488	4345
101	494	4356
102	500	4361
103	507	4372
104	513	4380
105	520	4393
106	526	4396
107	533	4408
108	539	4410
109	541	4380
110	548	4391
111	554	4399
112	561	4404
113	567	4408
114	573	4414
115	574	4375
116	580	4381
117	581	4343
118	586	4344
119	592	4343
120	594	4318
121	599	4317
122	605	4316
123	611	4320
124	615	4306
125	621	4310
126	627	4310
127	633	4317
128	640	4323
129	646	4323
130	648	4298
131	654	4305
132	661	4312
133	666	4308
134	672	4310
135	679	4316
136	685	4319
137	691	4319
138	697	4321
139	703	4321
140	709	4322
141	716	4327
142	723	4333
143	729	4337
144	731	4312
145	732	4283
146	738	4283
147	743	4282
148	749	4283
149	756	4286
150	761	4283
151	768	4288
152	774	4288
153	780	4290
154	784	4276
155	790	4277
156	797	4281
157	798	4255
158	803	4252
159	805	4226
160	811	4229
161	814	4215
162	821	4217
163	826	4212
164	833	4215
165	839	4217
166	845	4215
167	848	4200
168	853	4194
169	858	4190
170	863	4185
171	868	4181
172	873	4174
173	879	4172
174	883	4164
175	887	4157
176	892	4149
177	897	4144
178	901	4134
179	905	4125
180	907	4107
181	912	4099
182	913	4077
183	917	4069
184	921	4060
185	925	4051
186	929	4042
187	934	4034
188	938	4027
189	942	4018
190	946	4009
191	950	4000
192	954	3992
193	958	3983
194	962	3974
195	966	3965
196	970	3955
197	974	3946
198	978	3936
199	982	3929
200	986	3919
201	989	3910
202	993	3901
203	997	3891
204	1001	3882
205	1005	3874
206	1009	3865
207	1012	3856
208	1016	3848
209	1020	3839
210	1024	3829
211	1027	3820
212	1032	3815
213	1037	3811
214	1041	3802
215	1045	3794
216	1049	3788
217	1050	3768
218	1054	3758
219	1055	3742
220	1059	3736
221	1064	3728
222	1068	3723
223	1073	3717
224	1077	3711
225	1082	3707
226	1086	3700
227	1091	3695
228	1096	3691
229	1101	3687
230	1106	3682
231	1112	3684
232	1118	3682
233	1123	3678
234	1129	3677
235	1135	3677
236	1142	3676
237	1148	3675
238	1154	3674
239	1159	3671
240	1165	3671
241	1172	3671
242	1178	3671
243	1185	3672
244	1192	3673
245	1198	3674
246	1205	3675
247	1212	3676
248	1219	3676
249	1225	3675
250	1231	3673
251	1237	3673
252	1244	3674
253	1251	3675
254	1257	3674
255	1264	3675
256	1271	3676
257	1277	3675
258	1288	3685
259	1294	3684
260	1299	3678
261	1303	3673
262	1309	3669
263	1315	3666
264	1320	3661
265	1322	3649
266	1327	3643
267	1331	3637
268	1336	3632
269	1342	3629
270	1347	3624
271	1354	3624
272	1359	3620
273	1364	3615
274	1371	3614
275	1372	3601
276	1378	3599
277	1384	3596
278	1391	3595
279	1397	3594
280	1403	3590
281	1409	3589
282	1415	3587
283	1422	3585
284	1428	3584
285	1434	3582
286	1441	3580
287	1446	3577
288	1448	3564
289	1450	3552
290	1456	3547
291	1459	3538
292	1464	3533
293	1471	3533
294	1477	3530
295	1494	3555
296	1500	3550
297	1504	3545
298	1509	3538
299	1513	3531
300	1517	3524
301	1521	3517
302	1526	3512
303	1533	3509
304	1537	3503
305	1542	3497
306	1546	3491
307	1550	3484
308	1554	3477
309	1559	3470
310	1563	3464
311	1567	3457
312	1571	3450
313	1575	3442
314	1579	3435
315	1583	3428
316	1587	3421
317	1592	3414
318	1596	3407
319	1600	3400
320	1604	3393
321	1608	3387
322	1612	3380
323	1616	3373
324	1620	3366
325	1624	3359
326	1628	3351
327	1632	3344
328	1636	3336
329	1639	3329
330	1644	3323
331	1648	3316
332	1652	3309
333	1656	3302
334	1660	3295
335	1661	3283
336	1665	3277
337	1670	3271
338	1674	3265
339	1678	3258
340	1682	3252
341	1686	3245
342	1687	3233
343	1691	3226
344	1695	3219
345	1699	3213
346	1703	3205
347	1707	3198
348	1711	3192
349	1715	3186
350	1719	3180
351	1724	3174
352	1728	3168
353	1732	3162
354	1737	3156
355	1741	3150
356	1745	3144
357	1749	3137
358	1751	3127
359	1755	3121
360	1760	3115
361	1763	3108
362	1767	3101
363	1771	3094
364	1775	3088
365	1779	3082
366	1783	3076
367	1785	3065
368	1785	3053
369	1786	3042
370	1790	3035
371	1794	3028
372	1797	3021
373	1801	3015
374	1805	3009
375	1805	2997
376	1809	2990
377	1813	2984
378	1817	2977
379	1821	2971
380	1825	2965
381	1829	2959
382	1833	2953
383	1837	2947
384	1840	2940
385	1841	2929
386	1845	2922
387	1848	2916
388	1852	2909
389	1853	2899
390	1856	2892
391	1860	2885
392	1864	2879
393	1867	2873
394	1871	2867
395	1875	2861
396	1879	2855
397	1883	2849
398	1888	2843
399	1892	2838
400	1895	2832
401	1900	2827
402	1904	2821
403	1908	2816
404	1911	2807
405	1912	2797
406	1916	2792
407	1920	2786
408	1924	2781
409	1928	2775
410	1933	2770
411	1937	2765
412	1942	2760
413	1945	2754
414	1949	2748
415	1953	2742
416	1958	2737
417	1963	2733
418	1967	2728
419	1971	2722
420	1976	2717
421	1980	2713
422	1985	2707
423	1989	2702
424	1993	2697
425	1997	2691
426	2002	2687
427	2007	2682
428	2011	2677
429	2016	2672
430	2020	2667
431	2024	2661
432	2028	2656
433	2032	2651
434	2036	2645
435	2038	2637
436	2042	2631
437	2045	2625
438	2049	2619
439	2053	2614
440	2057	2608
441	2061	2602
442	2062	2593
443	2066	2587
444	2070	2582
445	2074	2577
446	2078	2571
447	2082	2565
448	2085	2559
449	2089	2554
450	2091	2545
451	2094	2539
452	2098	2534
453	2102	2528
454	2106	2523
455	2111	2518
456	2115	2513
457	2120	2509
458	2124	2504
459	2129	2499
460	2133	2494
461	2137	2488
462	2141	2484
463	2146	2479
464	2150	2473
465	2155	2469
466	2159	2464
467	2163	2459
468	2167	2453
469	2171	2448
470	2175	2443
471	2177	2435
472	2181	2430
473	2183	2423
474	2187	2417
475	2191	2412
476	2196	2408
477	2199	2402
478	2203	2396
479	2207	2391
480	2211	2386
481	2215	2381
482	2219	2376
483	2224	2371
484	2228	2366
485	2232	2361
486	2236	2356
487	2240	2350
488	2244	2345
489	2248	2340
490	2252	2334
491	2256	2329
492	2258	2322
493	2262	2317
494	2266	2312
495	2270	2307
496	2274	2302
497	2279	2297
498	2283	2292
499	2287	2287
500	2291	2281
501	2292	2273
502	2296	2268
503	2299	2263
504	2303	2257
505	2307	2252
506	2311	2247
507	2315	2242
508	2319	2237
509	2320	2229
510	2324	2224
511	2328	2218
512	2330	2212
513	2334	2206
514	2337	2201
515	2341	2196
516	2345	2190
517	2348	2185
518	2352	2180
519	2356	2174
520	2359	2169
521	2363	2164
522	2367	2159
523	2370	2153
524	2374	2148
525	2378	2142
526	2381	2137
527	2385	2132
528	2388	2127
529	2392	2121
530	2395	2116
531	2399	2110
532	2403	2105
533	2407	2100
534	2411	2095
535	2414	2090
536	2418	2085
537	2422	2080
538	2426	2075
539	2430	2070
540	2434	2065
541	2438	2060
542	2442	2055
543	2446	2051
544	2450	2045
545	2452	2039
546	2456	2034
547	2460	2029
548	2465	2025
549	2469	2020
550	2474	2016
551	2478	2011
552	2483	2007
553	2487	2002
554	2491	1998
555	2496	1993
556	2500	1989
557	2505	1984
558	2509	1980
559	2514	1975
560	2515	1968
561	2519	1963
562	2524	1959
563	2529	1955
564	2533	1950
565	2539	1946
566	2543	1942
567	2548	1938
568	2554	1934
569	2559	1930
570	2564	1926
571	2569	1922
572	2574	1918
573	2579	1914
574	2584	1909
575	2588	1905
576	2593	1901
577	2594	1893
578	2598	1889
579	2604	1885
580	2609	1881
581	2614	1877
582	2619	1873
583	2624	1869
584	2631	1866
585	2636	1862
586	2642	1859
587	2649	1856
588	2655	1852
589	2661	1849
590	2667	1846
591	2673	1842
592	2678	1838
593	2684	1834
594	2691	1831
595	2696	1827
596	2702	1824
597	2702	1816
598	2706	1812
599	2712	1808
600	2717	1804
601	2722	1800
602	2727	1795
603	2731	1791
604	2737	1786
605	2742	1782
606	2747	1778
607	2752	1774
608	2759	1771
609	2765	1768
610	2771	1764
611	2778	1761
612	2785	1758
613	2791	1755
614	2797	1751
615	2804	1748
616	2810	1744
617	2817	1741
618	2824	1738
619	2831	1735
620	2837	1731
621	2844	1728
622	2850	1725
623	2857	1721
624	2864	1718
625	2871	1715
626	2877	1711
627	2884	1708
628	2891	1705
629	2897	1701
630	2904	1698
631	2905	1692
632	2912	1688
633	2919	1685
634	2925	1681
635	2932	1678
636	2938	1674
637	2944	1670
638	2951	1667
639	2956	1662
640	2961	1658
641	2966	1654
642	2972	1650
643	2977	1645
644	2983	1642
645	2984	1635
646	2989	1631
647	2996	1627
648	3002	1623
649	3008	1620
650	3010	1613
