,YYYYMMSOON,가락시장 품목코드(5자리),품목(품종)명,거래단위,등급(특 5% 상 35% 중 40% 하 20%),평균가격(원),전순 평균가격(원) PreVious SOON,전달 평균가격(원) PreVious MMonth,전년 평균가격(원) PreVious YeaR,평년 평균가격(원) Common Year SOON
0,201701상순,21100,배추,10키로망대,상,9213.42857142857,0.0,0.0,0.0,0.0
1,201701중순,21100,배추,10키로망대,상,9083.77777777777,0.0,0.0,0.0,0.0
2,201701하순,21100,배추,10키로망대,상,8292.16666666666,0.0,0.0,0.0,0.0
3,201702상순,21100,배추,10키로망대,상,9323.0,0.0,0.0,0.0,0.0
4,201702중순,21100,배추,10키로망대,상,9243.25,0.0,0.0,0.0,0.0
5,201702하순,21100,배추,10키로망대,상,8866.57142857143,0.0,0.0,0.0,0.0
6,201703상순,21100,배추,10키로망대,상,8641.0,0.0,0.0,0.0,0.0
7,201703중순,21100,배추,10키로망대,상,8090.375,0.0,0.0,0.0,0.0
8,201703하순,21100,배추,10키로망대,상,6777.9,0.0,0.0,0.0,0.0
9,201704상순,21100,배추,10키로망대,상,6241.25,0.0,0.0,0.0,0.0
10,201704중순,21100,배추,10키로망대,상,5653.55555555555,0.0,0.0,0.0,0.0
11,201704하순,21100,배추,10키로망대,상,6812.75,0.0,0.0,0.0,0.0
12,201705상순,21100,배추,10키로망대,상,4340.44444444444,0.0,0.0,0.0,0.0
13,201705중순,21100,배추,10키로망대,상,3352.88888888888,0.0,0.0,0.0,0.0
14,201705하순,21100,배추,10키로망대,상,3292.44444444444,0.0,0.0,0.0,0.0
15,201706상순,21100,배추,10키로망대,상,3719.0,0.0,0.0,0.0,0.0
16,201706중순,21100,배추,10키로망대,상,3223.125,0.0,0.0,0.0,0.0
17,201706하순,21100,배추,10키로망대,상,3405.88888888888,0.0,0.0,0.0,0.0
18,201707상순,21100,배추,10키로망대,상,4036.125,0.0,0.0,0.0,0.0
19,201707중순,21100,배추,10키로망대,상,8333.0,0.0,0.0,0.0,0.0
20,201707하순,21100,배추,10키로망대,상,12592.3333333333,0.0,0.0,0.0,0.0
21,201708상순,21100,배추,10키로망대,상,11745.375,0.0,0.0,0.0,0.0
22,201708중순,21100,배추,10키로망대,상,14710.25,0.0,0.0,0.0,0.0
23,201708하순,21100,배추,10키로망대,상,15073.2,0.0,0.0,0.0,0.0
24,201709상순,21100,배추,10키로망대,상,16348.25,0.0,0.0,0.0,0.0
25,201709중순,21100,배추,10키로망대,상,14384.5555555555,0.0,0.0,0.0,0.0
26,201709하순,21100,배추,10키로망대,상,12888.4444444444,0.0,0.0,0.0,0.0
27,201710상순,21100,배추,10키로망대,상,14563.4,0.0,0.0,0.0,0.0
28,201710중순,21100,배추,10키로망대,상,4193.44444444444,0.0,0.0,0.0,0.0
29,201710하순,21100,배추,10키로망대,상,3432.55555555555,0.0,0.0,0.0,0.0
30,201711상순,21100,배추,10키로망대,상,4279.55555555555,0.0,0.0,0.0,0.0
31,201711중순,21100,배추,10키로망대,상,5084.75,0.0,0.0,0.0,0.0
32,201711하순,21100,배추,10키로망대,상,5434.0,0.0,0.0,0.0,0.0
33,201712상순,21100,배추,10키로망대,상,5242.125,0.0,0.0,0.0,0.0
34,201712중순,21100,배추,10키로망대,상,5553.22222222222,0.0,0.0,0.0,0.0
35,201712하순,21100,배추,10키로망대,상,5293.33333333333,0.0,0.0,0.0,0.0
36,201801상순,21100,배추,10키로망대,상,5419.85714285714,5293.33333333333,5242.125,9213.42857142857,6071.72619047619
37,201801중순,21100,배추,10키로망대,상,5319.33333333333,5419.85714285714,5553.22222222222,9083.77777777777,5938.14351851851
38,201801하순,21100,배추,10키로망대,상,6734.77777777777,5319.33333333333,5293.33333333333,8292.16666666666,6245.35185185184
39,201802상순,21100,배추,10키로망대,상,8942.22222222222,6734.77777777777,5419.85714285714,9323.0,6413.72023809523
40,201802중순,21100,배추,10키로망대,상,7247.16666666666,8942.22222222222,5319.33333333333,9243.25,7099.14682539682
41,201802하순,21100,배추,10키로망대,상,7890.71428571428,7247.16666666666,6734.77777777777,8866.57142857143,7303.74603174603
42,201803상순,21100,배추,10키로망대,상,8168.22222222222,7890.71428571428,8942.22222222222,8641.0,7526.08333333333
43,201803중순,21100,배추,10키로망대,상,7796.625,8168.22222222222,7247.16666666666,8090.375,7194.05092592592
44,201803하순,21100,배추,10키로망대,상,7996.1,7796.625,7890.71428571428,6777.9,6674.0037037037
45,201804상순,21100,배추,10키로망대,상,7503.375,7996.1,8168.22222222222,6241.25,6520.00925925926
46,201804중순,21100,배추,10키로망대,상,7082.22222222222,7503.375,7796.625,5653.55555555555,6365.14814814814
47,201804하순,21100,배추,10키로망대,상,6637.25,7082.22222222222,7996.1,6812.75,6845.54629629629
48,201805상순,21100,배추,10키로망대,상,5589.44444444444,6637.25,7503.375,4340.44444444444,5822.19444444444
49,201805중순,21100,배추,10키로망대,상,4656.75,5589.44444444444,7082.22222222222,3352.88888888888,6993.99074074074
50,201805하순,21100,배추,10키로망대,상,3770.7,4656.75,6637.25,3292.44444444444,5554.24074074074
51,201806상순,21100,배추,10키로망대,상,3345.125,3770.7,5589.44444444444,3719.0,4441.91203703703
52,201806중순,21100,배추,10키로망대,상,4073.44444444444,3345.125,4656.75,3223.125,4604.60185185185
53,201806하순,21100,배추,10키로망대,상,4684.0,4073.44444444444,3770.7,3405.88888888888,4714.04629629629
54,201807상순,21100,배추,10키로망대,상,5479.25,4684.0,3345.125,4036.125,5034.54166666666
55,201807중순,21100,배추,10키로망대,상,7957.0,5479.25,4073.44444444444,8333.0,6220.87962962963
56,201807하순,21100,배추,10키로망대,상,11236.3333333333,7957.0,4684.0,12592.3333333333,6986.08148148148
57,201808상순,21100,배추,10키로망대,상,10779.125,11236.3333333333,5479.25,11745.375,8457.11309523809
58,201808중순,21100,배추,10키로망대,상,16234.625,10779.125,7957.0,14710.25,10555.0324074074
59,201808하순,21100,배추,10키로망대,상,17582.9,16234.625,11236.3333333333,15073.2,11641.4629629629
60,201809상순,21100,배추,10키로망대,상,10922.25,17582.9,10779.125,16348.25,11337.4583333333
61,201809중순,21100,배추,10키로망대,상,9809.88888888888,10922.25,16234.625,14384.5555555555,10195.5343915343
62,201809하순,21100,배추,10키로망대,상,7212.4,9809.88888888888,17582.9,12888.4444444444,8667.19576719576
63,201810상순,21100,배추,10키로망대,상,6274.66666666666,7212.4,10922.25,14563.4,7084.73611111111
64,201810중순,21100,배추,10키로망대,상,5449.11111111111,6274.66666666666,9809.88888888888,4193.44444444444,3897.27314814814
65,201810하순,21100,배추,10키로망대,상,5499.88888888888,5449.11111111111,7212.4,3432.55555555555,3537.95185185185
66,201811상순,21100,배추,10키로망대,상,5468.77777777777,5499.88888888888,6274.66666666666,4279.55555555555,3962.22685185185
67,201811중순,21100,배추,10키로망대,상,4930.875,5468.77777777777,5449.11111111111,5084.75,4969.13888888889
68,201811하순,21100,배추,10키로망대,상,4795.0,4930.875,5499.88888888888,5434.0,5794.5787037037
69,201812상순,21100,배추,10키로망대,상,4314.5,4795.0,5468.77777777777,5242.125,4583.59259259259
70,201812중순,21100,배추,10키로망대,상,3552.77777777777,4314.5,4930.875,5553.22222222222,4408.24537037037
71,201812하순,21100,배추,10키로망대,상,3268.11111111111,3552.77777777777,4795.0,5293.33333333333,4594.45555555555
72,201901상순,21100,배추,10키로망대,상,2927.0,3268.11111111111,4314.5,5419.85714285714,4807.20238095238
73,201901중순,21100,배추,10키로망대,상,2823.0,2927.0,3552.77777777777,5319.33333333333,4683.3287037037
74,201901하순,21100,배추,10키로망대,상,2783.4,2823.0,3268.11111111111,6734.77777777777,5726.22222222222
75,201902상순,21100,배추,10키로망대,상,3234.8,2783.4,2927.0,8942.22222222222,6319.66931216931
76,201902중순,21100,배추,10키로망대,상,2775.11111111111,3234.8,2823.0,7247.16666666666,6433.78571428571
77,201902하순,21100,배추,10키로망대,상,2484.14285714285,2775.11111111111,2783.4,7890.71428571428,6945.98412698412
78,201903상순,21100,배추,10키로망대,상,2480.375,2484.14285714285,3234.8,8168.22222222222,7111.61574074074
79,201903중순,21100,배추,10키로망대,상,2494.77777777777,2480.375,2775.11111111111,7796.625,6897.11111111111
80,201903하순,21100,배추,10키로망대,상,2483.11111111111,2494.77777777777,2484.14285714285,7996.1,6548.48148148148
