iter	RMSE
0	5610.032349
1	5605.252117
2	5600.542991
3	5595.77603
4	5591.08032
5	5586.32627
6	5581.863287
7	5577.123688
8	5572.390577
9	5567.723057
10	5563.003452
11	5558.348924
12	5553.9214
13	5549.501121
14	5544.806781
15	5540.174322
16	5535.492603
17	5530.872889
18	5526.26057
19	5521.597602
20	5517.21669
21	5512.621806
22	5508.034166
23	5503.395098
24	5498.819992
25	5494.252181
26	5489.6919
27	5485.34766
28	5480.917476
29	5476.315072
30	5471.777227
31	5467.246993
32	5462.723733
33	5458.324278
34	5453.813797
35	5449.246677
36	5444.686711
37	5440.31335
38	5435.767457
39	5431.228552
40	5426.752644
41	5422.22627
42	5417.902122
43	5413.444586
44	5408.993991
45	5404.747792
46	5400.251486
47	5395.762297
48	5391.280243
49	5386.857527
50	5382.441401
51	5377.97694
52	5373.5199
53	5369.070077
54	5364.676994
55	5360.291023
56	5356.105602
57	5351.6793
58	5347.259849
59	5343.093773
60	5338.686933
61	5334.332293
62	5329.938184
63	5325.595933
64	5321.213494
65	5316.883241
66	5312.513881
67	5308.391523
68	5304.077641
69	5299.725939
70	5295.381278
71	5291.04345
72	5286.899372
73	5282.747515
74	5278.42922
75	5274.154113
76	5269.848071
77	5265.721163
78	5261.463696
79	5257.175931
80	5252.93044
81	5248.691999
82	5244.421164
83	5240.157349
84	5235.900801
85	5231.684005
86	5227.474106
87	5223.234018
88	5219.036557
89	5215.03047
90	5210.807805
91	5206.592055
92	5202.415657
93	5198.211741
94	5194.047261
95	5189.855237
96	5185.701809
97	5181.555672
98	5177.415918
99	5173.245797
100	5169.082494
101	5164.95961
102	5160.842936
103	5156.908093
104	5152.767111
105	5148.666711
106	5144.748132
107	5140.624348
108	5136.53964
109	5132.42814
110	5128.355099
111	5124.255008
112	5120.161446
113	5116.358752
114	5112.277353
115	5108.201827
116	5104.133359
117	5100.095891
118	5096.064613
119	5092.215029
120	5088.168574
121	5084.331364
122	5080.297232
123	5076.269791
124	5072.248822
125	5068.252279
126	5064.24266
127	5060.257287
128	5056.278473
129	5052.305997
130	5048.317836
131	5044.33577
132	5040.379514
133	5036.429651
134	5032.486433
135	5028.549639
136	5024.593572
137	5020.667983
138	5016.749098
139	5012.974866
140	5009.067397
141	5005.166437
142	5001.241864
143	4997.352032
144	4993.438805
145	4989.559912
146	4985.657605
147	4981.761847
148	4978.055049
149	4974.170893
150	4970.29357
151	4966.422372
152	4962.738105
153	4958.897918
154	4955.043408
155	4951.214166
156	4947.370596
157	4943.533475
158	4939.702575
159	4936.039564
160	4932.396146
161	4928.596638
162	4924.9499
163	4921.382619
164	4917.584819
165	4913.80502
166	4910.031083
167	4906.248878
168	4902.485717
169	4898.885717
170	4895.133024
171	4891.371338
172	4887.786893
173	4884.049186
174	4880.46549
175	4876.738607
176	4873.017956
177	4869.456605
178	4865.731861
179	4862.181165
