iter	Passed	Remaining
0	1	1949
1	9	4782
2	17	5698
3	24	6166
4	31	6295
5	39	6495
6	47	6739
7	54	6796
8	61	6797
9	68	6782
10	75	6792
11	81	6749
12	87	6674
13	88	6251
14	95	6300
15	101	6247
16	107	6244
17	113	6217
18	120	6221
19	127	6241
20	134	6275
21	140	6254
22	147	6278
23	155	6306
24	161	6308
25	168	6317
26	175	6335
27	183	6353
28	190	6363
29	196	6353
30	203	6363
31	209	6352
32	216	6333
33	222	6328
34	228	6312
35	236	6322
36	243	6332
37	249	6319
38	256	6328
39	264	6338
40	271	6341
41	278	6349
42	285	6355
43	292	6355
44	299	6358
45	306	6363
46	314	6367
47	320	6363
48	328	6366
49	334	6360
50	341	6358
51	348	6357
52	355	6358
53	363	6360
54	370	6361
55	371	6268
56	379	6273
57	385	6267
58	392	6260
59	399	6260
60	406	6254
61	413	6257
62	420	6251
63	426	6244
64	433	6229
65	439	6218
66	445	6207
67	460	6316
68	466	6292
69	470	6250
70	474	6207
71	478	6164
72	482	6122
73	485	6079
74	489	6040
75	493	6001
76	497	5963
77	501	5923
78	505	5887
79	508	5847
80	512	5813
81	515	5774
82	519	5741
83	523	5710
84	528	5686
85	533	5666
86	537	5644
87	543	5631
88	547	5607
89	552	5583
90	556	5557
91	560	5534
92	566	5521
93	571	5512
94	577	5505
95	583	5496
96	588	5477
97	593	5460
98	599	5452
99	604	5443
100	610	5435
101	616	5426
102	622	5420
103	628	5415
104	634	5408
105	641	5407
106	647	5407
107	654	5405
108	660	5398
109	666	5395
110	673	5391
111	680	5393
112	687	5396
113	694	5398
114	700	5391
115	707	5388
116	713	5385
117	719	5375
118	724	5363
119	731	5364
120	737	5358
121	744	5359
122	745	5315
123	751	5309
124	758	5307
125	764	5302
126	770	5298
127	777	5296
128	784	5295
129	791	5297
130	798	5298
131	805	5296
132	811	5292
133	818	5290
134	821	5264
135	828	5262
136	830	5230
137	837	5229
138	844	5228
139	846	5197
140	852	5194
141	859	5195
142	867	5196
143	874	5196
144	880	5193
145	888	5194
146	895	5194
147	902	5194
148	909	5192
149	916	5192
150	923	5192
151	929	5187
152	936	5184
153	943	5184
154	950	5182
155	958	5183
156	965	5183
157	972	5183
158	979	5182
159	987	5181
160	994	5180
161	1000	5177
162	1007	5174
163	1014	5173
164	1021	5168
165	1028	5166
166	1035	5166
167	1042	5163
168	1049	5161
169	1057	5160
170	1063	5157
171	1070	5155
172	1078	5153
173	1085	5150
174	1092	5148
175	1099	5146
176	1105	5140
177	1112	5137
178	1119	5135
179	1125	5127
180	1131	5120
181	1138	5118
182	1146	5116
183	1149	5098
184	1156	5093
185	1162	5087
186	1169	5084
187	1176	5081
188	1183	5078
189	1190	5073
190	1197	5070
191	1203	5063
192	1209	5057
193	1216	5052
194	1222	5048
195	1230	5046
196	1237	5043
197	1244	5040
198	1251	5037
199	1257	5031
200	1265	5028
201	1271	5024
202	1278	5020
203	1284	5012
204	1291	5007
205	1297	5000
206	1303	4994
207	1310	4988
208	1317	4985
209	1318	4961
210	1324	4953
211	1330	4946
212	1336	4936
213	1340	4922
214	1345	4914
215	1351	4904
216	1356	4893
217	1361	4884
218	1367	4875
219	1372	4865
220	1377	4854
221	1382	4846
222	1388	4837
223	1393	4826
224	1398	4816
225	1409	4828
226	1413	4814
227	1417	4800
228	1422	4787
229	1425	4773
230	1431	4764
231	1435	4751
232	1440	4740
233	1444	4729
234	1449	4718
235	1455	4710
236	1460	4701
237	1461	4678
238	1466	4668
239	1471	4660
240	1477	4652
241	1484	4649
242	1491	4644
243	1497	4640
244	1501	4627
245	1508	4623
246	1516	4623
247	1523	4620
248	1530	4617
249	1537	4612
250	1544	4608
251	1551	4605
252	1557	4599
253	1564	4596
254	1570	4589
255	1576	4582
256	1577	4560
257	1584	4557
258	1591	4554
259	1598	4549
260	1603	4541
261	1609	4534
262	1616	4530
263	1623	4526
264	1630	4521
265	1637	4518
266	1638	4498
267	1645	4493
268	1652	4489
269	1659	4486
270	1666	4482
271	1673	4479
272	1681	4476
273	1688	4473
274	1695	4469
275	1702	4466
276	1709	4462
277	1716	4459
278	1717	4439
279	1724	4434
280	1732	4431
281	1738	4427
282	1739	4406
283	1746	4403
284	1753	4399
285	1760	4395
286	1767	4392
287	1774	4387
288	1780	4381
289	1788	4377
290	1794	4372
291	1801	4369
292	1807	4362
293	1815	4358
294	1822	4354
295	1828	4348
296	1835	4345
297	1836	4325
298	1843	4321
299	1850	4317
300	1857	4313
301	1864	4308
302	1871	4304
303	1878	4300
304	1885	4296
305	1892	4291
306	1898	4284
307	1903	4277
308	1911	4273
309	1917	4267
310	1923	4262
311	1931	4258
312	1938	4254
313	1944	4249
314	1952	4245
315	1959	4241
316	1966	4237
317	1970	4225
318	1977	4221
319	1984	4217
320	1990	4210
321	1997	4206
322	2001	4195
323	2008	4191
324	2015	4185
325	2022	4180
326	2029	4176
327	2036	4172
328	2043	4167
329	2050	4162
330	2051	4145
331	2057	4140
332	2064	4135
333	2070	4129
334	2077	4124
335	2084	4118
336	2091	4114
337	2098	4110
338	2105	4105
339	2112	4100
340	2119	4096
341	2126	4092
342	2134	4087
343	2141	4083
344	2148	4078
345	2155	4074
346	2161	4068
347	2169	4064
348	2175	4058
349	2176	4042
350	2178	4027
351	2184	4022
352	2191	4017
353	2198	4012
354	2206	4008
355	2213	4003
356	2219	3997
357	2221	3983
358	2227	3976
359	2233	3970
360	2239	3964
361	2247	3960
362	2254	3955
363	2261	3951
364	2267	3945
365	2275	3941
366	2282	3936
367	2283	3921
368	2289	3915
369	2296	3910
370	2303	3904
371	2309	3898
372	2316	3893
373	2323	3888
374	2330	3884
375	2337	3879
376	2344	3874
377	2350	3867
378	2357	3862
379	2363	3856
380	2370	3851
381	2376	3845
382	2383	3839
383	2390	3835
384	2397	3829
385	2404	3824
386	2411	3820
387	2448	3862
388	2451	3850
389	2455	3840
390	2458	3829
391	2461	3818
392	2464	3807
393	2468	3796
394	2471	3785
395	2474	3774
396	2475	3759
397	2478	3748
398	2481	3738
399	2482	3723
400	2485	3713
401	2487	3700
402	2491	3691
403	2495	3681
404	2499	3672
405	2503	3662
406	2507	3653
407	2510	3642
408	2514	3633
409	2518	3624
410	2522	3615
411	2526	3605
412	2529	3595
413	2533	3586
414	2536	3576
415	2540	3566
416	2544	3557
417	2549	3549
418	2552	3540
419	2557	3531
420	2561	3522
421	2565	3513
422	2570	3505
423	2574	3497
424	2577	3486
425	2581	3478
426	2585	3469
427	2589	3461
428	2594	3452
429	2598	3444
430	2602	3436
431	2608	3429
432	2613	3422
433	2613	3409
434	2614	3396
435	2619	3388
436	2625	3382
437	2630	3375
438	2636	3368
439	2642	3362
440	2647	3356
441	2652	3349
442	2659	3344
443	2664	3337
444	2671	3331
445	2677	3325
446	2683	3319
447	2690	3314
448	2697	3309
449	2704	3304
450	2711	3300
451	2718	3295
452	2725	3290
453	2731	3285
454	2739	3280
455	2746	3276
456	2753	3271
457	2759	3266
458	2766	3260
459	2772	3254
460	2778	3248
461	2784	3242
462	2790	3236
463	2795	3229
464	2801	3223
465	2806	3216
466	2812	3209
467	2818	3203
468	2823	3197
