시점,품목명,품종명,거래단위,등급,평년 평균가격(원),평균가격(원)
201801상순,감자,감자,20키로상자,상,44511.92152900908,44511.92152900908
201801중순,감자,감자,20키로상자,상,48657.22946576845,48657.22946576845
201801하순,감자,감자,20키로상자,상,50631.60532508612,50631.60532508612
201802상순,감자,감자,20키로상자,상,55809.00936064359,55809.00936064359
201802중순,감자,감자,20키로상자,상,59590.36517899643,59590.36517899643
201802하순,감자,감자,20키로상자,상,60954.54979052863,60954.54979052863
201803상순,감자,감자,20키로상자,상,64565.32654718894,64565.32654718894
201803중순,감자,감자,20키로상자,상,71369.2700780325,71369.2700780325
201803하순,감자,감자,20키로상자,상,92907.78145144034,92907.78145144034
201804상순,감자,감자,20키로상자,상,116018.20751080118,116018.20751080118
201804중순,감자,감자,20키로상자,상,109879.90062089618,109879.90062089618
201804하순,감자,감자,20키로상자,상,99195.59135542976,99195.59135542976
201805상순,감자,감자,20키로상자,상,75134.22221786255,75134.22221786255
201805중순,감자,감자,20키로상자,상,51334.122250075685,51334.122250075685
201805하순,감자,감자,20키로상자,상,41818.96697610461,41818.96697610461
201806상순,감자,감자,20키로상자,상,25256.094392425603,25256.094392425603
201806중순,감자,감자,20키로상자,상,23948.474879065605,23948.474879065605
201806하순,감자,감자,20키로상자,상,24054.62291483004,24054.62291483004
201807상순,감자,감자,20키로상자,상,24932.86354617794,24932.86354617794
201807중순,감자,감자,20키로상자,상,24338.69207805168,24338.69207805168
201807하순,감자,감자,20키로상자,상,28473.650741282025,28473.650741282025
201808상순,감자,감자,20키로상자,상,37782.48636926122,37782.48636926122
201808중순,감자,감자,20키로상자,상,37763.84328070134,37763.84328070134
201808하순,감자,감자,20키로상자,상,42883.03385234127,42883.03385234127
201809상순,감자,감자,20키로상자,상,40858.59598164156,40858.59598164156
201809중순,감자,감자,20키로상자,상,41204.58483239247,41204.58483239247
201809하순,감자,감자,20키로상자,상,44132.92697346668,44132.92697346668
201810상순,감자,감자,20키로상자,상,40058.23083433801,40058.23083433801
201810중순,감자,감자,20키로상자,상,38908.18180972219,38908.18180972219
201810하순,감자,감자,20키로상자,상,38796.32327836291,38796.32327836291
201811상순,감자,감자,20키로상자,상,43920.31738453271,43920.31738453271
201811중순,감자,감자,20키로상자,상,43660.5,43660.5
201811하순,감자,감자,20키로상자,상,40590.3333333333,40590.3333333333
201812상순,감자,감자,20키로상자,상,40179.0,40179.0
201812중순,감자,감자,20키로상자,상,46948.7777777777,46948.7777777777
201812하순,감자,감자,20키로상자,상,47341.0,47341.0
201901상순,감자,감자,20키로상자,상,45757.4285714285,45757.4285714285
201901중순,감자,감자,20키로상자,상,43657.25,43657.25
201901하순,감자,감자,20키로상자,상,43306.8,43306.8
201902상순,감자,감자,20키로상자,상,44771.2,44771.2
201902중순,감자,감자,20키로상자,상,42744.4444444444,42744.4444444444
201902하순,감자,감자,20키로상자,상,41338.5714285714,41338.5714285714
201903상순,감자,감자,20키로상자,상,49821.125,49821.125
201903중순,감자,감자,20키로상자,상,57137.0,57137.0
201903하순,감자,감자,20키로상자,상,64428.1111111111,64428.1111111111
201904상순,감자,감자,20키로상자,상,60385.2222222222,60385.2222222222
201904중순,감자,감자,20키로상자,상,51712.6666666666,51712.6666666666
201904하순,감자,감자,20키로상자,상,41813.5,41813.5
201905상순,감자,감자,20키로상자,상,43066.6666666666,43066.6666666666
201905중순,감자,감자,20키로상자,상,42695.75,42695.75
201905하순,감자,감자,20키로상자,상,29817.5,29817.5
201906상순,감자,감자,20키로상자,상,21109.0,21109.0
201906중순,감자,감자,20키로상자,상,18325.7777777777,18325.7777777777
201906하순,감자,감자,20키로상자,상,19063.125,19063.125
201907상순,감자,감자,20키로상자,상,16423.0,16423.0
201907중순,감자,감자,20키로상자,상,19685.5555555555,19685.5555555555
201907하순,감자,감자,20키로상자,상,19707.7777777777,19707.7777777777
201908상순,감자,감자,20키로상자,상,18469.5,18469.5
201908중순,감자,감자,20키로상자,상,18589.375,18589.375
201908하순,감자,감자,20키로상자,상,16749.9,16749.9
201909상순,감자,감자,20키로상자,상,17471.875,17471.875
201909중순,감자,감자,20키로상자,상,17827.0,17827.0
201909하순,감자,감자,20키로상자,상,16790.875,16790.875
201910상순,감자,감자,20키로상자,상,16971.6666666666,16971.6666666666
201910중순,감자,감자,20키로상자,상,18043.125,18043.125
201910하순,감자,감자,20키로상자,상,16342.5,16342.5
201911상순,감자,감자,20키로상자,상,19044.75,19044.75
201911중순,감자,감자,20키로상자,상,19554.6666666666,19554.6666666666
