,year,month,순,시점,품목명,품종명,거래단위,등급,평년 평균가격(원),평균가격(원),n_holiday,계절,평년 평균가격(원)_whole,거래단위_num,평년 평균가격(원)_local,fill_source,순_num,plot_date
0,2018,01,상순,201801상순,건고추,화건,30 kg,상품,381666.666666666,590000.0,2.0,겨울,,30.0,,original,1,2018-01-01
604,2018,01,상순,201801상순,깐마늘(국산),깐마늘(국산),20 kg,상품,130666.66666666669,130666.66666666669,2.0,겨울,,20.0,0.0,average,1,2018-01-01
302,2018,01,상순,201801상순,감자,감자 수미,20키로상자,상,24660.0317460317,44170.2857142857,2.0,겨울,12070.176214907293,20.0,0.0,original,1,2018-01-01
755,2018,01,상순,201801상순,무,무,20키로상자,상,9283.57142857143,9283.57142857143,2.0,겨울,0.0,20.0,0.0,average,1,2018-01-01
906,2018,01,상순,201801상순,상추,청,100 g,상품,1034.66666666666,940.0,2.0,겨울,15053.9789137508,0.1,0.0,original,1,2018-01-01
1057,2018,01,상순,201801상순,배추,배추,10키로망대,상,6071.72619047619,5419.85714285714,2.0,겨울,0.0,10.0,0.0,original,1,2018-01-01
151,2018,01,상순,201801상순,사과,후지,10 개,상품,21461.6666666666,20361.0,2.0,겨울,25330.884726452954,3.0,0.0,original,1,2018-01-01
1208,2018,01,상순,201801상순,양파,양파,1키로,상,1149.125,1144.42857142857,2.0,겨울,0.0,1.0,,original,1,2018-01-01
1359,2018,01,상순,201801상순,대파,대파(일반),1키로단,상,1620.0291005291,1685.28571428571,2.0,겨울,14551.643923404594,1.0,0.0,original,1,2018-01-01
453,2018,01,상순,201801상순,배,신고,10 개,상품,30268.0,28312.0,2.0,겨울,23188.422580547573,5.0,0.0,original,1,2018-01-01
152,2018,01,중순,201801중순,사과,후지,10 개,상품,22179.6666666666,20359.0,1.0,겨울,23137.8124236234,3.0,0.0,original,2,2018-01-02
1209,2018,01,중순,201801중순,양파,양파,1키로,상,1125.01388888888,1041.22222222222,1.0,겨울,0.0,1.0,0.0,original,2,2018-01-02
907,2018,01,중순,201801중순,상추,청,100 g,상품,921.666666666666,981.0,1.0,겨울,9302.677810860783,0.1,0.0,original,2,2018-01-02
1360,2018,01,중순,201801중순,대파,대파(일반),1키로단,상,1422.50925925925,1624.88888888888,1.0,겨울,15878.055876100023,1.0,0.0,original,2,2018-01-02
605,2018,01,중순,201801중순,깐마늘(국산),깐마늘(국산),20 kg,상품,130600.0,130600.0,1.0,겨울,,20.0,0.0,average,2,2018-01-02
1,2018,01,중순,201801중순,건고추,화건,30 kg,상품,380809.666666666,590000.0,1.0,겨울,,30.0,,original,2,2018-01-02
756,2018,01,중순,201801중순,무,무,20키로상자,상,9259.88888888888,9259.88888888888,1.0,겨울,0.0,20.0,0.0,average,2,2018-01-02
454,2018,01,중순,201801중순,배,신고,10 개,상품,30860.6666666666,28290.0,1.0,겨울,20684.284442283195,5.0,0.0,original,2,2018-01-02
303,2018,01,중순,201801중순,감자,감자 수미,20키로상자,상,23299.4444444444,48283.7777777777,1.0,겨울,11030.729217437676,20.0,0.0,original,2,2018-01-02
1058,2018,01,중순,201801중순,배추,배추,10키로망대,상,5938.14351851851,5319.33333333333,1.0,겨울,0.0,10.0,0.0,original,2,2018-01-02
1210,2018,01,하순,201801하순,양파,양파,1키로,상,1180.73333333333,1036.44444444444,2.0,겨울,0.0,1.0,0.0,original,3,2018-01-03
1361,2018,01,하순,201801하순,대파,대파(일반),1키로단,상,1520.26666666666,1834.33333333333,2.0,겨울,11139.440145586874,1.0,0.0,original,3,2018-01-03
455,2018,01,하순,201801하순,배,신고,10 개,상품,31317.0,28324.0,2.0,겨울,19465.933989547757,5.0,0.0,original,3,2018-01-03
2,2018,01,하순,201801하순,건고추,화건,30 kg,상품,380000.0,590000.0,2.0,겨울,,30.0,,original,3,2018-01-03
304,2018,01,하순,201801하순,감자,감자 수미,20키로상자,상,25218.0074074074,50243.0,2.0,겨울,10913.357610664214,20.0,0.0,original,3,2018-01-03
606,2018,01,하순,201801하순,깐마늘(국산),깐마늘(국산),20 kg,상품,130600.0,130600.0,2.0,겨울,,20.0,0.0,average,3,2018-01-03
153,2018,01,하순,201801하순,사과,후지,10 개,상품,22917.6666666666,20653.0,2.0,겨울,22633.137992974625,3.0,0.0,original,3,2018-01-03
757,2018,01,하순,201801하순,무,무,20키로상자,상,10576.1111111111,10576.1111111111,2.0,겨울,0.0,20.0,0.0,average,3,2018-01-03
908,2018,01,하순,201801하순,상추,청,100 g,상품,850.0,983.0,2.0,겨울,9521.140833064435,0.1,0.0,original,3,2018-01-03
1059,2018,01,하순,201801하순,배추,배추,10키로망대,상,6245.35185185184,6734.77777777777,2.0,겨울,0.0,10.0,0.0,original,3,2018-01-03
305,2018,02,상순,201802상순,감자,감자 수미,20키로상자,상,28703.875,55380.6666666666,1.0,겨울,12326.727327740768,20.0,0.0,original,1,2018-02-01
909,2018,02,상순,201802상순,상추,청,100 g,상품,850.0,1009.0,1.0,겨울,9443.433674673523,0.1,0.0,original,1,2018-02-01
456,2018,02,상순,201802상순,배,신고,10 개,상품,31357.6666666666,28113.0,1.0,겨울,16903.027169397665,5.0,0.0,original,1,2018-02-01
758,2018,02,상순,201802상순,무,무,20키로상자,상,18371.4444444444,18371.4444444444,1.0,겨울,0.0,20.0,0.0,average,1,2018-02-01
1060,2018,02,상순,201802상순,배추,배추,10키로망대,상,6413.72023809523,8942.22222222222,1.0,겨울,0.0,10.0,0.0,original,1,2018-02-01
154,2018,02,상순,201802상순,사과,후지,10 개,상품,23424.6666666666,20563.0,1.0,겨울,21838.61084971038,3.0,0.0,original,1,2018-02-01
1211,2018,02,상순,201802상순,양파,양파,1키로,상,1192.2037037037,1045.77777777777,1.0,겨울,0.0,1.0,0.0,original,1,2018-02-01
1362,2018,02,상순,201802상순,대파,대파(일반),1키로단,상,1793.42129629629,2530.11111111111,1.0,겨울,17704.427270986915,1.0,0.0,original,1,2018-02-01
3,2018,02,상순,201802상순,건고추,화건,30 kg,상품,380000.0,590000.0,1.0,겨울,,30.0,,original,1,2018-02-01
607,2018,02,상순,201802상순,깐마늘(국산),깐마늘(국산),20 kg,상품,134614.5,134614.5,1.0,겨울,,20.0,0.0,average,1,2018-02-01
155,2018,02,중순,201802중순,사과,후지,10 개,상품,23201.6666666666,21779.0,5.0,겨울,20753.96393433286,3.0,0.0,original,2,2018-02-02
306,2018,02,중순,201802중순,감자,감자 수미,20키로상자,상,27419.8822751322,59133.0,5.0,겨울,12832.699595319855,20.0,0.0,original,2,2018-02-02
759,2018,02,중순,201802중순,무,무,20키로상자,상,19545.6666666666,19545.6666666666,5.0,겨울,0.0,20.0,0.0,average,2,2018-02-02
608,2018,02,중순,201802중순,깐마늘(국산),깐마늘(국산),20 kg,상품,137100.0,137100.0,5.0,겨울,,20.0,0.0,average,2,2018-02-02
1363,2018,02,중순,201802중순,대파,대파(일반),1키로단,상,1977.73214285714,1537.83333333333,5.0,겨울,17152.96946725015,1.0,0.0,original,2,2018-02-02
1212,2018,02,중순,201802중순,양파,양파,1키로,상,1133.85648148148,1098.16666666666,5.0,겨울,0.0,1.0,0.0,original,2,2018-02-02
4,2018,02,중순,201802중순,건고추,화건,30 kg,상품,376666.666666666,590000.0,5.0,겨울,,30.0,,original,2,2018-02-02
910,2018,02,중순,201802중순,상추,청,100 g,상품,844.666666666666,1022.0,5.0,겨울,7588.576634544902,0.1,0.0,original,2,2018-02-02
457,2018,02,중순,201802중순,배,신고,10 개,상품,31211.6666666666,28294.0,5.0,겨울,15817.517762227439,5.0,0.0,original,2,2018-02-02
1061,2018,02,중순,201802중순,배추,배추,10키로망대,상,7099.14682539682,7247.16666666666,5.0,겨울,0.0,10.0,0.0,original,2,2018-02-02
1364,2018,02,하순,201802하순,대파,대파(일반),1키로단,상,1889.74603174603,1444.28571428571,1.0,겨울,16018.851121763688,1.0,0.0,original,3,2018-02-03
911,2018,02,하순,201802하순,상추,청,100 g,상품,727.0,918.0,1.0,겨울,6407.093731942364,0.1,0.0,original,3,2018-02-03
458,2018,02,하순,201802하순,배,신고,10 개,상품,31967.3333333333,28129.0,1.0,겨울,19017.08096978932,5.0,0.0,original,3,2018-02-03
156,2018,02,하순,201802하순,사과,후지,10 개,상품,22792.3333333333,21465.0,1.0,겨울,23144.372518945624,3.0,0.0,original,3,2018-02-03
5,2018,02,하순,201802하순,건고추,화건,30 kg,상품,376666.666666666,580833.0,1.0,겨울,,30.0,,original,3,2018-02-03
760,2018,02,하순,201802하순,무,무,20키로상자,상,19226.0,19226.0,1.0,겨울,0.0,20.0,0.0,average,3,2018-02-03
1213,2018,02,하순,201802하순,양파,양파,1키로,상,1227.75396825396,922.142857142857,1.0,겨울,0.0,1.0,0.0,original,3,2018-02-03
609,2018,02,하순,201802하순,깐마늘(국산),깐마늘(국산),20 kg,상품,137100.0,137100.0,1.0,겨울,,20.0,0.0,average,3,2018-02-03
307,2018,02,하순,201802하순,감자,감자 수미,20키로상자,상,29378.6666666666,60486.7142857142,1.0,겨울,37815.403625926134,20.0,0.0,original,3,2018-02-03
1062,2018,02,하순,201802하순,배추,배추,10키로망대,상,7303.74603174603,7890.71428571428,1.0,겨울,0.0,10.0,0.0,original,3,2018-02-03
912,2018,03,상순,201803상순,상추,청,100 g,상품,629.666666666666,670.0,2.0,봄,6970.855322726005,0.1,0.0,original,1,2018-03-01
1214,2018,03,상순,201803상순,양파,양파,1키로,상,1242.89814814814,879.0,2.0,봄,0.0,1.0,0.0,original,1,2018-03-01
157,2018,03,상순,201803상순,사과,후지,10 개,상품,22616.3333333333,21384.0,2.0,봄,24245.247207285393,3.0,0.0,original,1,2018-03-01
1365,2018,03,상순,201803상순,대파,대파(일반),1키로단,상,1913.81018518518,1426.0,2.0,봄,15129.823069706374,1.0,0.0,original,1,2018-03-01
6,2018,03,상순,201803상순,건고추,화건,30 kg,상품,376666.666666666,563333.0,2.0,봄,,30.0,,original,1,2018-03-01
459,2018,03,상순,201803상순,배,신고,10 개,상품,32321.3333333333,27435.0,2.0,봄,21954.95745561356,5.0,0.0,original,1,2018-03-01
308,2018,03,상순,201803상순,감자,감자 수미,20키로상자,상,29317.5277777777,64069.7777777777,2.0,봄,12591.314994694505,20.0,0.0,original,1,2018-03-01
761,2018,03,상순,201803상순,무,무,20키로상자,상,23856.3333333333,23856.3333333333,2.0,봄,0.0,20.0,0.0,average,1,2018-03-01
610,2018,03,상순,201803상순,깐마늘(국산),깐마늘(국산),20 kg,상품,137100.0,137100.0,2.0,봄,,20.0,0.0,average,1,2018-03-01
1063,2018,03,상순,201803상순,배추,배추,10키로망대,상,7526.08333333333,8168.22222222222,2.0,봄,0.0,10.0,0.0,original,1,2018-03-01
7,2018,03,중순,201803중순,건고추,화건,30 kg,상품,375208.333333333,575000.0,2.0,봄,,30.0,,original,2,2018-03-02
1215,2018,03,중순,201803중순,양파,양파,1키로,상,1173.18518518518,675.125,2.0,봄,0.0,1.0,,original,2,2018-03-02
762,2018,03,중순,201803중순,무,무,20키로상자,상,19215.125,19215.125,2.0,봄,0.0,20.0,0.0,average,2,2018-03-02
611,2018,03,중순,201803중순,깐마늘(국산),깐마늘(국산),20 kg,상품,137100.0,137100.0,2.0,봄,,20.0,0.0,average,2,2018-03-02
158,2018,03,중순,201803중순,사과,후지,10 개,상품,22322.0,20695.0,2.0,봄,23478.200066086618,3.0,0.0,original,2,2018-03-02
913,2018,03,중순,201803중순,상추,청,100 g,상품,606.333333333333,627.0,2.0,봄,6104.039341271857,0.1,0.0,original,2,2018-03-02
1064,2018,03,중순,201803중순,배추,배추,10키로망대,상,7194.05092592592,7796.625,2.0,봄,0.0,10.0,0.0,original,2,2018-03-02
460,2018,03,중순,201803중순,배,신고,10 개,상품,32322.3333333333,27543.0,2.0,봄,21735.512519122964,5.0,0.0,original,2,2018-03-02
1366,2018,03,중순,201803중순,대파,대파(일반),1키로단,상,1816.84722222222,1309.125,2.0,봄,12486.788231631657,1.0,0.0,original,2,2018-03-02
