시점,품목명,품종명,거래단위,등급,평년 평균가격(원),평균가격(원),year
201801상순,건고추,화건,30 kg,상품,381666.666666666,590000.0,2018
201801중순,건고추,화건,30 kg,상품,380809.666666666,590000.0,2018
201801하순,건고추,화건,30 kg,상품,380000.0,590000.0,2018
201802상순,건고추,화건,30 kg,상품,380000.0,590000.0,2018
201802중순,건고추,화건,30 kg,상품,376666.666666666,590000.0,2018
201802하순,건고추,화건,30 kg,상품,376666.666666666,580833.0,2018
201803상순,건고추,화건,30 kg,상품,376666.666666666,563333.0,2018
201803중순,건고추,화건,30 kg,상품,375208.333333333,575000.0,2018
201803하순,건고추,화건,30 kg,상품,372333.333333333,575000.0,2018
201804상순,건고추,화건,30 kg,상품,371000.0,575000.0,2018
201804중순,건고추,화건,30 kg,상품,368143.0,575000.0,2018
201804하순,건고추,화건,30 kg,상품,363762.0,575000.0,2018
201805상순,건고추,화건,30 kg,상품,361619.0,575000.0,2018
201805중순,건고추,화건,30 kg,상품,359333.333333333,575000.0,2018
201805하순,건고추,화건,30 kg,상품,359333.333333333,575000.0,2018
201806상순,건고추,화건,30 kg,상품,359666.666666666,591320.0,2018
201806중순,건고추,화건,30 kg,상품,362458.333333333,599514.0,2018
201806하순,건고추,화건,30 kg,상품,362666.666666666,600000.0,2018
201807상순,건고추,화건,30 kg,상품,364333.333333333,600000.0,2018
201807중순,건고추,화건,30 kg,상품,366166.666666666,599375.0,2018
201807하순,건고추,화건,30 kg,상품,359792.333333333,590943.0,2018
201808상순,건고추,화건,30 kg,상품,357631.0,601250.0,2018
201808중순,건고추,화건,30 kg,상품,349952.333333333,605000.0,2018
201808하순,건고추,화건,30 kg,상품,348927.666666666,600000.0,2018
201809상순,건고추,화건,30 kg,상품,405678.666666666,771633.0,2018
201809중순,건고추,화건,30 kg,상품,399555.666666666,670800.0,2018
201809하순,건고추,화건,30 kg,상품,401381.0,651067.0,2018
201810상순,건고추,화건,30 kg,상품,398889.0,628017.0,2018
201810중순,건고추,화건,30 kg,상품,396270.0,616000.0,2018
201810하순,건고추,화건,30 kg,상품,394333.333333333,608500.0,2018
201811상순,건고추,화건,30 kg,상품,392666.666666666,593857.0,2018
201811중순,건고추,화건,30 kg,상품,391208.333333333,586000.0,2018
201811하순,건고추,화건,30 kg,상품,391000.0,588500.0,2018
201812상순,건고추,화건,30 kg,상품,390285.666666666,599000.0,2018
201812중순,건고추,화건,30 kg,상품,386254.0,601000.0,2018
201812하순,건고추,화건,30 kg,상품,383750.0,601000.0,2018
201901상순,건고추,화건,30 kg,상품,381666.666666666,598357.0,2019
201901중순,건고추,화건,30 kg,상품,380809.666666666,593950.0,2019
201901하순,건고추,화건,30 kg,상품,380000.0,581378.0,2019
201902상순,건고추,화건,30 kg,상품,380000.0,578600.0,2019
201902중순,건고추,화건,30 kg,상품,376666.666666666,581725.0,2019
201902하순,건고추,화건,30 kg,상품,376666.666666666,588600.0,2019
201903상순,건고추,화건,30 kg,상품,376666.666666666,588600.0,2019
201903중순,건고추,화건,30 kg,상품,375208.333333333,588600.0,2019
201903하순,건고추,화건,30 kg,상품,372333.333333333,585743.0,2019
201904상순,건고추,화건,30 kg,상품,371000.0,578600.0,2019
201904중순,건고추,화건,30 kg,상품,368143.0,577171.0,2019
201904하순,건고추,화건,30 kg,상품,363762.0,573600.0,2019
201905상순,건고추,화건,30 kg,상품,363000.0,573600.0,2019
201905중순,건고추,화건,30 kg,상품,361666.666666666,573600.0,2019
201905하순,건고추,화건,30 kg,상품,361666.666666666,573044.0,2019
201906상순,건고추,화건,30 kg,상품,362000.0,568600.0,2019
201906중순,건고추,화건,30 kg,상품,364791.666666666,567975.0,2019
201906하순,건고추,화건,30 kg,상품,365000.0,563600.0,2019
201907상순,건고추,화건,30 kg,상품,366666.666666666,561350.0,2019
201907중순,건고추,화건,30 kg,상품,368500.0,560600.0,2019
201907하순,건고추,화건,30 kg,상품,363375.666666666,559350.0,2019
201908상순,건고추,화건,30 kg,상품,365916.666666666,538743.0,2019
201908중순,건고추,화건,30 kg,상품,366476.0,516733.0,2019
201908하순,건고추,화건,30 kg,상품,418140.833333333,493366.5,2019
201909상순,건고추,화건,30 kg,상품,469805.666666666,470000.0,2019
201909중순,건고추,화건,30 kg,상품,500805.666666666,470000.0,2019
201909하순,건고추,화건,30 kg,상품,503403.333333333,460000.0,2019
201910상순,건고추,화건,30 kg,상품,493228.0,430000.0,2019
201910중순,건고추,화건,30 kg,상품,486603.333333333,430000.0,2019
201910하순,건고추,화건,30 kg,상품,482537.0,431111.0,2019
201911상순,건고추,화건,30 kg,상품,477285.666666666,432000.0,2019
201911중순,건고추,화건,30 kg,상품,473208.333333333,432000.0,2019
201911하순,건고추,화건,30 kg,상품,473833.333333333,433714.0,2019
201912상순,건고추,화건,30 kg,상품,476619.0,435000.0,2019
201912중순,건고추,화건,30 kg,상품,473254.0,435000.0,2019
201912하순,건고추,화건,30 kg,상품,467361.0,429833.0,2019
202001상순,건고추,화건,30 kg,상품,465000.0,401429.0,2020
202001중순,건고추,화건,30 kg,상품,464143.0,400000.0,2020
202001하순,건고추,화건,30 kg,상품,460459.333333333,398857.0,2020
202002상순,건고추,화건,30 kg,상품,459533.333333333,396000.0,2020
202002중순,건고추,화건,30 kg,상품,460575.0,396000.0,2020
202002하순,건고추,화건,30 kg,상품,460277.666666666,401250.0,2020
202003상순,건고추,화건,30 kg,상품,454444.333333333,399750.0,2020
202003중순,건고추,화건,30 kg,상품,458333.333333333,399125.0,2020
202003하순,건고추,화건,30 kg,상품,455666.666666666,403857.0,2020
202004상순,건고추,화건,30 kg,상품,454333.333333333,406000.0,2020
202004중순,건고추,화건,30 kg,상품,451476.333333333,406000.0,2020
202004하순,건고추,화건,30 kg,상품,448295.333333333,406000.0,2020
202005상순,건고추,화건,30 kg,상품,447533.333333333,406000.0,2020
202005중순,건고추,화건,30 kg,상품,446200.0,406375.0,2020
202005하순,건고추,화건,30 kg,상품,446014.666666666,409000.0,2020
202006상순,건고추,화건,30 kg,상품,444533.333333333,428125.0,2020
202006중순,건고추,화건,30 kg,상품,444325.0,446714.0,2020
202006하순,건고추,화건,30 kg,상품,442866.666666666,453457.0,2020
202007상순,건고추,화건,30 kg,상품,442116.666666666,451600.0,2020
202007중순,건고추,화건,30 kg,상품,439366.666666666,451933.0,2020
202007하순,건고추,화건,30 kg,상품,435973.666666666,453933.0,2020
202008상순,건고추,화건,30 kg,상품,430831.0,472233.0,2020
202008중순,건고추,화건,30 kg,상품,422768.0,656571.0,2020
202008하순,건고추,화건,30 kg,상품,425342.333333333,703571.0,2020
202009상순,건고추,화건,30 kg,상품,476805.666666666,905650.0,2020
202009중순,건고추,화건,30 kg,상품,511250.0,890800.0,2020
202009하순,건고추,화건,30 kg,상품,508689.0,815114.0,2020
202010상순,건고추,화건,30 kg,상품,490894.666666666,806000.0,2020
202010중순,건고추,화건,30 kg,상품,485381.0,807057.0,2020
202010하순,건고추,화건,30 kg,상품,482537.0,819750.0,2020
202011상순,건고추,화건,30 kg,상품,477952.333333333,830629.0,2020
202011중순,건고추,화건,30 kg,상품,473875.0,825750.0,2020
202011하순,건고추,화건,30 kg,상품,475071.333333333,816467.0,2020
202012상순,건고추,화건,30 kg,상품,479000.0,810371.0,2020
202012중순,건고추,화건,30 kg,상품,479111.0,797800.0,2020
202012하순,건고추,화건,30 kg,상품,472305.333333333,778150.0,2020
202101상순,건고추,화건,30 kg,상품,460476.333333333,770400.0,2021
202101중순,건고추,화건,30 kg,상품,460333.333333333,770400.0,2021
202101하순,건고추,화건,30 kg,상품,456745.0,770400.0,2021
202102상순,건고추,화건,30 kg,상품,454866.666666666,770400.0,2021
202102중순,건고추,화건,30 kg,상품,455908.333333333,770400.0,2021
202102하순,건고추,화건,30 kg,상품,457361.0,770400.0,2021
202103상순,건고추,화건,30 kg,상품,451027.666666666,769686.0,2021
202103중순,건고추,화건,30 kg,상품,454708.333333333,764029.0,2021
202103하순,건고추,화건,30 kg,상품,453619.0,764000.0,2021
202104상순,건고추,화건,30 kg,상품,453000.0,767800.0,2021
202104중순,건고추,화건,30 kg,상품,450143.0,767800.0,2021
202104하순,건고추,화건,30 kg,상품,446962.0,767800.0,2021
202105상순,건고추,화건,30 kg,상품,446200.0,767800.0,2021
202105중순,건고추,화건,30 kg,상품,444991.666666666,767800.0,2021
202105하순,건고추,화건,30 kg,상품,445681.333333333,767800.0,2021
202106상순,건고추,화건,30 kg,상품,450575.0,767800.0,2021
