Optimizing CatBoost...
[32m[I 2024-10-13 00:41:25,716][0m Trial 0 finished with value: 53241.34355952835 and parameters: {'depth': 12, 'learning_rate': 0.07112121834836048, 'iterations': 2162, 'l2_leaf_reg': 0.05132270199415328, 'border_count': 201, 'bagging_temperature': 0.8552058856544712, 'random_strength': 1.037624809130483, 'grow_policy': 'Depthwise', 'min_data_in_leaf': 67}. Best is trial 0 with value: 53241.34355952835.[0m
[32m[I 2024-10-13 00:41:26,675][0m Trial 1 finished with value: 52946.78018674582 and parameters: {'depth': 4, 'learning_rate': 0.1617745151584071, 'iterations': 443, 'l2_leaf_reg': 0.030105691933127496, 'border_count': 103, 'bagging_temperature': 0.7889315937037683, 'random_strength': 7.802190407639892, 'grow_policy': 'Depthwise', 'min_data_in_leaf': 758}. Best is trial 1 with value: 52946.78018674582.[0m
[32m[I 2024-10-13 00:41:27,997][0m Trial 2 finished with value: 51977.343711397465 and parameters: {'depth': 3, 'learning_rate': 0.031314227406009275, 'iterations': 982, 'l2_leaf_reg': 7.382242883637518e-06, 'border_count': 146, 'bagging_temperature': 0.7100726289074697, 'random_strength': 0.30829282027273086, 'grow_policy': 'Depthwise', 'min_data_in_leaf': 956}. Best is trial 2 with value: 51977.343711397465.[0m
[32m[I 2024-10-13 00:41:31,470][0m Trial 3 finished with value: 67377.21197117754 and parameters: {'depth': 4, 'learning_rate': 0.0013868841420439277, 'iterations': 845, 'l2_leaf_reg': 1.3923100746022644e-08, 'border_count': 29, 'bagging_temperature': 0.7909509127528116, 'random_strength': 9.828959396894444, 'grow_policy': 'SymmetricTree', 'min_data_in_leaf': 266}. Best is trial 2 with value: 51977.343711397465.[0m
[32m[I 2024-10-13 00:41:33,867][0m Trial 4 finished with value: 61887.97986277272 and parameters: {'depth': 12, 'learning_rate': 0.0010350111335767792, 'iterations': 2526, 'l2_leaf_reg': 3.566827609234152, 'border_count': 239, 'bagging_temperature': 0.2974549623985986, 'random_strength': 6.421034506868076, 'grow_policy': 'Lossguide', 'min_data_in_leaf': 582, 'max_leaves': 209}. Best is trial 2 with value: 51977.343711397465.[0m
[32m[I 2024-10-13 00:41:35,949][0m Trial 5 finished with value: 52593.20726532627 and parameters: {'depth': 12, 'learning_rate': 0.015165153151833862, 'iterations': 1865, 'l2_leaf_reg': 0.01115004924566351, 'border_count': 219, 'bagging_temperature': 0.4056851200632944, 'random_strength': 1.376698489582493, 'grow_policy': 'Depthwise', 'min_data_in_leaf': 163}. Best is trial 2 with value: 51977.343711397465.[0m
[32m[I 2024-10-13 00:41:37,892][0m Trial 6 finished with value: 52291.35805561462 and parameters: {'depth': 8, 'learning_rate': 0.030324574305209576, 'iterations': 1772, 'l2_leaf_reg': 0.00821684500379651, 'border_count': 126, 'bagging_temperature': 0.8374500803325835, 'random_strength': 9.965515541774328, 'grow_policy': 'Lossguide', 'min_data_in_leaf': 134, 'max_leaves': 154}. Best is trial 2 with value: 51977.343711397465.[0m
[32m[I 2024-10-13 00:41:40,542][0m Trial 7 finished with value: 52362.905657551906 and parameters: {'depth': 12, 'learning_rate': 0.00624954149328349, 'iterations': 2547, 'l2_leaf_reg': 0.7314392047020304, 'border_count': 133, 'bagging_temperature': 0.6556405557583095, 'random_strength': 2.7711600112843993, 'grow_policy': 'Depthwise', 'min_data_in_leaf': 532}. Best is trial 2 with value: 51977.343711397465.[0m
[32m[I 2024-10-13 00:41:55,870][0m Trial 8 finished with value: 50822.771643582 and parameters: {'depth': 7, 'learning_rate': 0.03471175664333624, 'iterations': 2487, 'l2_leaf_reg': 2.4535670202266117e-07, 'border_count': 245, 'bagging_temperature': 0.549489344299477, 'random_strength': 3.087970822238021, 'grow_policy': 'SymmetricTree', 'min_data_in_leaf': 613}. Best is trial 8 with value: 50822.771643582.[0m
[32m[I 2024-10-13 00:42:01,339][0m Trial 9 finished with value: 57216.10744405881 and parameters: {'depth': 8, 'learning_rate': 0.18556745568491043, 'iterations': 732, 'l2_leaf_reg': 2.089775039080276e-05, 'border_count': 20, 'bagging_temperature': 0.6947184739615326, 'random_strength': 3.055250130131343, 'grow_policy': 'SymmetricTree', 'min_data_in_leaf': 457}. Best is trial 8 with value: 50822.771643582.[0m
[32m[I 2024-10-13 00:44:57,234][0m Trial 10 finished with value: 52973.679446317416 and parameters: {'depth': 15, 'learning_rate': 0.003443660367350198, 'iterations': 2976, 'l2_leaf_reg': 1.201420764755155e-08, 'border_count': 185, 'bagging_temperature': 0.032424985862473, 'random_strength': 4.400363678366181, 'grow_policy': 'SymmetricTree', 'min_data_in_leaf': 777}. Best is trial 8 with value: 50822.771643582.[0m
[32m[I 2024-10-13 00:45:03,582][0m Trial 11 finished with value: 113642.05340936578 and parameters: {'depth': 6, 'learning_rate': 0.00019596843259052875, 'iterations': 1230, 'l2_leaf_reg': 3.260197629958076e-06, 'border_count': 163, 'bagging_temperature': 0.5225430033671441, 'random_strength': 0.3718575355230249, 'grow_policy': 'SymmetricTree', 'min_data_in_leaf': 981}. Best is trial 8 with value: 50822.771643582.[0m
[32m[I 2024-10-13 00:45:04,222][0m Trial 12 finished with value: 57573.15094350167 and parameters: {'depth': 3, 'learning_rate': 0.02906076896608308, 'iterations': 107, 'l2_leaf_reg': 7.96937349702523e-07, 'border_count': 254, 'bagging_temperature': 0.5603038077151392, 'random_strength': 2.804896491451228, 'grow_policy': 'Depthwise', 'min_data_in_leaf': 984}. Best is trial 8 with value: 50822.771643582.[0m
[32m[I 2024-10-13 00:45:11,561][0m Trial 13 finished with value: 49093.007633345864 and parameters: {'depth': 6, 'learning_rate': 0.00985137799604382, 'iterations': 1370, 'l2_leaf_reg': 0.00017692092386676158, 'border_count': 72, 'bagging_temperature': 0.9849562817922005, 'random_strength': 4.8458067063868615, 'grow_policy': 'SymmetricTree', 'min_data_in_leaf': 761}. Best is trial 13 with value: 49093.007633345864.[0m
[32m[I 2024-10-13 00:45:19,518][0m Trial 14 finished with value: 49383.58917692966 and parameters: {'depth': 6, 'learning_rate': 0.006399893398838068, 'iterations': 1451, 'l2_leaf_reg': 0.00023526401181234917, 'border_count': 79, 'bagging_temperature': 0.9940799483396988, 'random_strength': 5.194444417474677, 'grow_policy': 'SymmetricTree', 'min_data_in_leaf': 713}. Best is trial 13 with value: 49093.007633345864.[0m
[32m[I 2024-10-13 00:45:27,635][0m Trial 15 finished with value: 51191.91911577549 and parameters: {'depth': 6, 'learning_rate': 0.004549350764689463, 'iterations': 1387, 'l2_leaf_reg': 0.00028524937757451956, 'border_count': 68, 'bagging_temperature': 0.9876142329694971, 'random_strength': 5.6856645668330605, 'grow_policy': 'SymmetricTree', 'min_data_in_leaf': 750}. Best is trial 13 with value: 49093.007633345864.[0m
[32m[I 2024-10-13 00:45:56,568][0m Trial 16 finished with value: 85158.54525568313 and parameters: {'depth': 10, 'learning_rate': 0.0003999525064226627, 'iterations': 1646, 'l2_leaf_reg': 0.0003182488044030006, 'border_count': 69, 'bagging_temperature': 0.942228590863174, 'random_strength': 7.410300492824274, 'grow_policy': 'SymmetricTree', 'min_data_in_leaf': 397}. Best is trial 13 with value: 49093.007633345864.[0m
[32m[I 2024-10-13 00:46:02,378][0m Trial 17 finished with value: 50232.96851538847 and parameters: {'depth': 5, 'learning_rate': 0.010099438653434167, 'iterations': 1254, 'l2_leaf_reg': 0.00024696059722133755, 'border_count': 66, 'bagging_temperature': 0.9754503346209865, 'random_strength': 5.2078689833867395, 'grow_policy': 'SymmetricTree', 'min_data_in_leaf': 839}. Best is trial 13 with value: 49093.007633345864.[0m
[32m[I 2024-10-13 00:46:04,569][0m Trial 18 finished with value: 59155.398934090386 and parameters: {'depth': 9, 'learning_rate': 0.001398614233431161, 'iterations': 1994, 'l2_leaf_reg': 0.001070503856099538, 'border_count': 95, 'bagging_temperature': 0.2723390984472705, 'random_strength': 4.196951219443781, 'grow_policy': 'Lossguide', 'min_data_in_leaf': 666, 'max_leaves': 62}. Best is trial 13 with value: 49093.007633345864.[0m
[32m[I 2024-10-13 00:46:12,808][0m Trial 19 finished with value: 51953.86413099503 and parameters: {'depth': 6, 'learning_rate': 0.010262157302536419, 'iterations': 1523, 'l2_leaf_reg': 3.5130192309630044e-05, 'border_count': 42, 'bagging_temperature': 0.874778697413993, 'random_strength': 6.72314620729671, 'grow_policy': 'SymmetricTree', 'min_data_in_leaf': 865}. Best is trial 13 with value: 49093.007633345864.[0m
[32m[I 2024-10-13 00:46:24,885][0m Trial 20 finished with value: 59144.68700035266 and parameters: {'depth': 10, 'learning_rate': 0.0024999764964132786, 'iterations': 1071, 'l2_leaf_reg': 0.0017062555162215705, 'border_count': 8, 'bagging_temperature': 0.027304339761493934, 'random_strength': 8.793778745480223, 'grow_policy': 'SymmetricTree', 'min_data_in_leaf': 666}. Best is trial 13 with value: 49093.007633345864.[0m
[32m[I 2024-10-13 00:46:30,928][0m Trial 21 finished with value: 50471.86043362201 and parameters: {'depth': 5, 'learning_rate': 0.01061107577170467, 'iterations': 1362, 'l2_leaf_reg': 0.00011917897367662135, 'border_count': 61, 'bagging_temperature': 0.9972649118382799, 'random_strength': 5.114816038384778, 'grow_policy': 'SymmetricTree', 'min_data_in_leaf': 882}. Best is trial 13 with value: 49093.007633345864.[0m
[32m[I 2024-10-13 00:46:34,121][0m Trial 22 finished with value: 51873.80019904581 and parameters: {'depth': 5, 'learning_rate': 0.007893906351274458, 'iterations': 624, 'l2_leaf_reg': 0.0017167717904207807, 'border_count': 99, 'bagging_temperature': 0.9057717155166468, 'random_strength': 5.705451918286284, 'grow_policy': 'SymmetricTree', 'min_data_in_leaf': 842}. Best is trial 13 with value: 49093.007633345864.[0m
[32m[I 2024-10-13 00:46:42,493][0m Trial 23 finished with value: 49302.987880370536 and parameters: {'depth': 7, 'learning_rate': 0.015397745053615328, 'iterations': 1155, 'l2_leaf_reg': 7.394535734380884e-05, 'border_count': 83, 'bagging_temperature': 0.9910163648946587, 'random_strength': 4.171256765775692, 'grow_policy': 'SymmetricTree', 'min_data_in_leaf': 720}. Best is trial 13 with value: 49093.007633345864.[0m
[32m[I 2024-10-13 00:46:49,681][0m Trial 24 finished with value: 49678.86449016703 and parameters: {'depth': 7, 'learning_rate': 0.06709890051435762, 'iterations': 1089, 'l2_leaf_reg': 2.5501070780320985e-05, 'border_count': 86, 'bagging_temperature': 0.7674659993767509, 'random_strength': 3.8574574096152534, 'grow_policy': 'SymmetricTree', 'min_data_in_leaf': 688}. Best is trial 13 with value: 49093.007633345864.[0m
[32m[I 2024-10-13 00:46:51,439][0m Trial 25 finished with value: 53646.160775678276 and parameters: {'depth': 8, 'learning_rate': 0.01793083748841684, 'iterations': 1530, 'l2_leaf_reg': 1.4428324277725766e-06, 'border_count': 48, 'bagging_temperature': 0.9231261976613214, 'random_strength': 1.9258715607550867, 'grow_policy': 'Lossguide', 'min_data_in_leaf': 438, 'max_leaves': 33}. Best is trial 13 with value: 49093.007633345864.[0m
[32m[I 2024-10-13 00:46:52,740][0m Trial 26 finished with value: 46418.5230534429 and parameters: {'depth': 7, 'learning_rate': 0.07148906386808959, 'iterations': 477, 'l2_leaf_reg': 2.0605244666542064e-07, 'border_count': 118, 'bagging_temperature': 0.606667558079804, 'random_strength': 3.836533682470603, 'grow_policy': 'SymmetricTree', 'min_data_in_leaf': 538}. Best is trial 26 with value: 46418.5230534429.[0m
[32m[I 2024-10-13 00:46:54,754][0m Trial 27 finished with value: 49824.27219501134 and parameters: {'depth': 10, 'learning_rate': 0.08321825093641151, 'iterations': 360, 'l2_leaf_reg': 8.630153921842866e-08, 'border_count': 116, 'bagging_temperature': 0.3901741666670424, 'random_strength': 3.8174936066837004, 'grow_policy': 'SymmetricTree', 'min_data_in_leaf': 337}. Best is trial 26 with value: 46418.5230534429.[0m
[32m[I 2024-10-13 00:46:55,492][0m Trial 28 finished with value: 48313.129735230556 and parameters: {'depth': 7, 'learning_rate': 0.12276167649638084, 'iterations': 103, 'l2_leaf_reg': 1.708128233229328e-07, 'border_count': 170, 'bagging_temperature': 0.6262529693728379, 'random_strength': 2.091822399808608, 'grow_policy': 'SymmetricTree', 'min_data_in_leaf': 546}. Best is trial 26 with value: 46418.5230534429.[0m
[32m[I 2024-10-13 00:46:56,195][0m Trial 29 finished with value: 56301.44709709904 and parameters: {'depth': 8, 'learning_rate': 0.27574403591180263, 'iterations': 205, 'l2_leaf_reg': 2.135956588411089e-07, 'border_count': 175, 'bagging_temperature': 0.6101316644106615, 'random_strength': 2.0096225205134686, 'grow_policy': 'Lossguide', 'min_data_in_leaf': 553, 'max_leaves': 255}. Best is trial 26 with value: 46418.5230534429.[0m
[32m[I 2024-10-13 00:46:58,188][0m Trial 30 finished with value: 52816.035990241064 and parameters: {'depth': 9, 'learning_rate': 0.06855043141659938, 'iterations': 495, 'l2_leaf_reg': 6.55242408273157e-08, 'border_count': 153, 'bagging_temperature': 0.4456177627180429, 'random_strength': 2.0691616614040313, 'grow_policy': 'SymmetricTree', 'min_data_in_leaf': 508}. Best is trial 26 with value: 46418.5230534429.[0m
[32m[I 2024-10-13 00:46:59,218][0m Trial 31 finished with value: 50509.13103930991 and parameters: {'depth': 7, 'learning_rate': 0.11771231510710009, 'iterations': 281, 'l2_leaf_reg': 7.741079721502115e-07, 'border_count': 199, 'bagging_temperature': 0.8453884131139078, 'random_strength': 4.560298094837948, 'grow_policy': 'SymmetricTree', 'min_data_in_leaf': 613}. Best is trial 26 with value: 46418.5230534429.[0m
[32m[I 2024-10-13 00:47:03,367][0m Trial 32 finished with value: 47194.97981733731 and parameters: {'depth': 7, 'learning_rate': 0.05548968684147178, 'iterations': 529, 'l2_leaf_reg': 0.0911909900104181, 'border_count': 113, 'bagging_temperature': 0.7353398833687782, 'random_strength': 3.501360243545724, 'grow_policy': 'SymmetricTree', 'min_data_in_leaf': 784}. Best is trial 26 with value: 46418.5230534429.[0m
[32m[I 2024-10-13 00:47:06,021][0m Trial 33 finished with value: 53202.62364316495 and parameters: {'depth': 4, 'learning_rate': 0.04924695769110235, 'iterations': 549, 'l2_leaf_reg': 0.19978023137478923, 'border_count': 109, 'bagging_temperature': 0.6107918676296763, 'random_strength': 1.1978242928833902, 'grow_policy': 'SymmetricTree', 'min_data_in_leaf': 789}. Best is trial 26 with value: 46418.5230534429.[0m
[32m[I 2024-10-13 00:47:10,267][0m Trial 34 finished with value: 53474.81404806588 and parameters: {'depth': 5, 'learning_rate': 0.14572958259464866, 'iterations': 873, 'l2_leaf_reg': 0.11749116596612698, 'border_count': 139, 'bagging_temperature': 0.734204124691574, 'random_strength': 3.3605916528633464, 'grow_policy': 'SymmetricTree', 'min_data_in_leaf': 919}. Best is trial 26 with value: 46418.5230534429.[0m
[32m[I 2024-10-13 00:47:12,503][0m Trial 35 finished with value: 51616.75061549826 and parameters: {'depth': 9, 'learning_rate': 0.2664069956963896, 'iterations': 700, 'l2_leaf_reg': 5.952184275975494, 'border_count': 157, 'bagging_temperature': 0.6467181141500613, 'random_strength': 2.4396612362559074, 'grow_policy': 'Depthwise', 'min_data_in_leaf': 18}. Best is trial 26 with value: 46418.5230534429.[0m
[32m[I 2024-10-13 00:47:13,492][0m Trial 36 finished with value: 49373.43098122489 and parameters: {'depth': 4, 'learning_rate': 0.1094546567959879, 'iterations': 381, 'l2_leaf_reg': 4.5017654784573285e-06, 'border_count': 116, 'bagging_temperature': 0.8036975847591681, 'random_strength': 3.5523981123632162, 'grow_policy': 'SymmetricTree', 'min_data_in_leaf': 324}. Best is trial 26 with value: 46418.5230534429.[0m
[32m[I 2024-10-13 00:47:19,611][0m Trial 37 finished with value: 55083.883340195694 and parameters: {'depth': 7, 'learning_rate': 0.05936172638563733, 'iterations': 897, 'l2_leaf_reg': 1.5345694090472448, 'border_count': 121, 'bagging_temperature': 0.46886452119236577, 'random_strength': 0.5991151060009514, 'grow_policy': 'SymmetricTree', 'min_data_in_leaf': 613}. Best is trial 26 with value: 46418.5230534429.[0m
[32m[I 2024-10-13 00:47:20,313][0m Trial 38 finished with value: 54562.0030185038 and parameters: {'depth': 6, 'learning_rate': 0.0256864748670181, 'iterations': 186, 'l2_leaf_reg': 0.01983756778596474, 'border_count': 212, 'bagging_temperature': 0.7169882622315331, 'random_strength': 6.139049196946905, 'grow_policy': 'Depthwise', 'min_data_in_leaf': 238}. Best is trial 26 with value: 46418.5230534429.[0m
[32m[I 2024-10-13 00:47:21,255][0m Trial 39 finished with value: 51815.92155172285 and parameters: {'depth': 11, 'learning_rate': 0.0413816901001933, 'iterations': 464, 'l2_leaf_reg': 3.3632403524411616e-08, 'border_count': 171, 'bagging_temperature': 0.6061951592288702, 'random_strength': 1.5865651282053994, 'grow_policy': 'Lossguide', 'min_data_in_leaf': 451, 'max_leaves': 113}. Best is trial 26 with value: 46418.5230534429.[0m
[32m[I 2024-10-13 00:47:29,058][0m Trial 40 finished with value: 54660.625593224366 and parameters: {'depth': 8, 'learning_rate': 0.1852950618572198, 'iterations': 793, 'l2_leaf_reg': 0.004808777235309681, 'border_count': 143, 'bagging_temperature': 0.33702974806522246, 'random_strength': 2.51960058221484, 'grow_policy': 'SymmetricTree', 'min_data_in_leaf': 567}. Best is trial 26 with value: 46418.5230534429.[0m
[32m[I 2024-10-13 00:47:36,625][0m Trial 41 finished with value: 48897.94833857199 and parameters: {'depth': 7, 'learning_rate': 0.017324034872987622, 'iterations': 1004, 'l2_leaf_reg': 8.969822421188309e-06, 'border_count': 85, 'bagging_temperature': 0.8040250392128097, 'random_strength': 4.656771315665185, 'grow_policy': 'SymmetricTree', 'min_data_in_leaf': 730}. Best is trial 26 with value: 46418.5230534429.[0m
[32m[I 2024-10-13 00:47:43,716][0m Trial 42 finished with value: 49141.251722054534 and parameters: {'depth': 7, 'learning_rate': 0.02353078018176563, 'iterations': 943, 'l2_leaf_reg': 7.436002921232076e-06, 'border_count': 99, 'bagging_temperature': 0.7739217428001463, 'random_strength': 3.646127727415917, 'grow_policy': 'SymmetricTree', 'min_data_in_leaf': 800}. Best is trial 26 with value: 46418.5230534429.[0m
[32m[I 2024-10-13 00:49:01,167][0m Trial 43 finished with value: 56874.755923947356 and parameters: {'depth': 15, 'learning_rate': 0.09542172783157657, 'iterations': 641, 'l2_leaf_reg': 3.076281476536419e-07, 'border_count': 43, 'bagging_temperature': 0.6885412052714553, 'random_strength': 4.6637422075451, 'grow_policy': 'SymmetricTree', 'min_data_in_leaf': 642}. Best is trial 26 with value: 46418.5230534429.[0m
[32m[I 2024-10-13 00:49:02,285][0m Trial 44 finished with value: 50349.56886399578 and parameters: {'depth': 8, 'learning_rate': 0.04745136538198898, 'iterations': 312, 'l2_leaf_reg': 1.461726650555599e-05, 'border_count': 127, 'bagging_temperature': 0.8288052668240686, 'random_strength': 3.0856070166414926, 'grow_policy': 'SymmetricTree', 'min_data_in_leaf': 920}. Best is trial 26 with value: 46418.5230534429.[0m
