시점,감자,건고추,깐마늘(국산),대파,무,배추,사과,상추,양파,배
TEST_00+1순,27384.443730654897,721644.2518812746,37881.53513820101,1911.2312446226479,85398.39248754887,1265.0464465911523,3836.054176574555,8290.623369997951,3748.6609363915595,40167.71948406706
TEST_00+2순,27650.126980380424,706412.5682760878,35875.972626549636,1863.5717369383349,86799.54083956359,1039.9003240776963,3679.635999674396,8346.885419989423,4759.107931261647,42769.47849556532
TEST_00+3순,28136.619613559975,696350.0244644594,35280.62346727386,1775.260664491746,93003.99195742214,908.436369225081,3509.5905218384632,8339.54156746682,5539.914060202751,42940.02953298379
TEST_01+1순,27384.443730654897,621389.3791071613,37881.53513820101,1920.9873638972597,85398.39248754887,1265.0464465911523,3836.054176574555,8290.623369997951,3748.6609363915595,26971.072549307886
TEST_01+2순,27650.126980380424,638090.8923156592,35875.972626549636,1952.8442408747005,86799.54083956359,1039.9003240776963,3679.635999674396,8346.885419989423,4759.107931261647,27871.195538579406
TEST_01+3순,28136.619613559975,644546.4239335451,35280.62346727386,1765.927534283253,93003.99195742214,908.436369225081,3509.5905218384632,8339.54156746682,5539.914060202751,26705.283076611195
TEST_02+1순,27384.443730654897,463978.25255224045,37881.53513820101,1857.105243858991,85398.39248754887,1265.0464465911523,3836.054176574555,8290.623369997951,3748.6609363915595,40859.400855081665
TEST_02+2순,27650.126980380424,456603.95945205155,35875.972626549636,1886.2747122572764,86799.54083956359,1039.9003240776963,3679.635999674396,8346.885419989423,4759.107931261647,42513.203502913726
TEST_02+3순,28136.619613559975,449313.3518617189,35280.62346727386,1841.2036042150758,93003.99195742214,908.436369225081,3509.5905218384632,8339.54156746682,5539.914060202751,43186.26744099073
TEST_03+1순,27384.443730654897,476690.10109979,37881.53513820101,1759.9250163596016,85398.39248754887,1265.0464465911523,3836.054176574555,8290.623369997951,3748.6609363915595,39519.030096248156
TEST_03+2순,27650.126980380424,473009.42834266135,35875.972626549636,1847.9120802612365,86799.54083956359,1039.9003240776963,3679.635999674396,8346.885419989423,4759.107931261647,43019.733022969405
