시점,감자,건고추,깐마늘(국산),대파,무,배추,사과,상추,양파,배
TEST_00+1순,40498.80419729769,737226.1217824863,168241.65658233984,1862.0268770007044,17584.33562477057,10185.34327005663,24186.762708530747,1501.0984042966681,1444.2717430147459,33759.64907492243
TEST_00+2순,40749.26009823497,752656.4962837852,168241.65658233984,1963.2784179055634,11258.185330444434,6074.713631304414,24418.399084092616,1468.1252129202644,1434.0137904666572,33295.444229516506
TEST_00+3순,43065.013335640186,710769.2630837746,168241.65658233984,1961.5660549359845,9740.924100208205,5647.027462323492,24908.439074332004,1196.0577686084216,1390.0032447052577,32770.12797141221
TEST_01+1순,40984.907886359935,625240.1597295258,168241.65658233984,1919.4682681974828,9093.456817477449,6027.988827186906,22358.93576757719,922.5983816056469,1413.3177817847654,34794.351572989384
TEST_01+2순,43494.41882193704,587764.2391254631,168241.65658233984,2011.5481360444633,5432.829740454166,5434.457434983386,22888.330282163974,890.9667864500458,1394.7901790990657,35592.921452167444
TEST_01+3순,42492.84816000395,628445.0465848189,168241.65658233984,2023.2812963979627,5154.217725176258,4449.160824149041,22933.404428634243,935.8324410315653,1320.926253908661,33420.3756555041
TEST_02+1순,56125.771226281795,464117.32909044507,168241.65658233984,1285.8225456614853,10331.04529206354,8898.977431493602,28461.706576881596,1014.3284963999047,472.6081923918021,39273.28542270291
TEST_02+2순,52512.295995198045,445791.4918173583,168241.65658233984,1207.2012278737143,9289.771787300422,8755.537527447606,30028.375189152794,1012.7444728732198,453.8980461556122,40166.05759792852
TEST_02+3순,53913.1137862616,428654.9304753997,168241.65658233984,1391.296211745063,11064.279648868565,7907.497260504524,30277.66911053346,1044.174630261191,461.66931758377353,40894.33473230508
TEST_03+1순,36744.09693826636,459433.40538017306,168241.65658233984,1353.8998117652932,15084.345588039563,7544.135293724804,29628.676542362897,1093.6400981246443,684.1218803723168,38621.2773458115
TEST_03+2순,27338.161069632013,444361.33265712624,168241.65658233984,1548.5017886278915,15913.738401188753,6423.263978817859,29166.50217491808,1187.4109144614245,718.7264269318342,39354.67557206419
TEST_03+3순,17910.574325404697,428806.21817182086,168241.65658233984,1889.8915013793692,17469.909591985503,5998.128334718606,29234.3598456146,1081.124902223924,675.4277822608844,39652.08453653513
TEST_04+1순,64013.26123775628,459383.68059746793,168241.65658233984,1539.3839131571895,16204.249146372844,7877.2506703188155,30295.21793865846,1016.5200627994542,659.4475625249218,39296.16631230377
TEST_04+2순,57170.287608363484,444361.33265712624,168241.65658233984,1392.3764761185766,15308.096592420794,7790.391819461738,30231.627196094138,1143.242115849439,684.0004400731457,40077.465584313126
TEST_04+3순,51067.6658584945,428806.21817182086,168241.65658233984,1552.5264165609751,16183.622383382935,8351.837893262371,29574.953066863232,1186.7026398713633,760.9245613219431,40728.24570136764
TEST_05+1순,27269.985944753043,459433.40538017306,168241.65658233984,1731.441967342819,13558.877500054692,9205.701778614852,29257.976811051776,1124.3807966827744,1151.5886867702116,40359.516038566246
TEST_05+2순,17910.574325404697,444361.33265712624,168241.65658233984,1994.365636697968,16843.149666206533,8604.002778060696,29238.34339417093,1057.1216747853182,1212.6044009869884,41313.38494304202
TEST_05+3순,23012.72385472396,428806.21817182086,168241.65658233984,1871.7688400013913,16489.626621629457,8097.832308586827,28959.163809736947,1062.1031053792726,1280.2219497544224,41862.08325726889
TEST_06+1순,41130.0255110251,516156.84009019827,168241.65658233984,1968.9268635233293,22166.41187712861,12901.385874074114,30471.926708100407,2130.673947212283,1366.1777421470345,38298.05556013099
TEST_06+2순,42746.465014466645,470766.268749747,168241.65658233984,2055.2604463135876,20890.106311381584,10802.917988652607,29510.785569182757,1465.6052544987335,1393.7119038385422,38080.12507777367
TEST_06+3순,42937.86648218917,463520.1107490913,168241.65658233984,2140.705386873367,18040.751437868024,11814.47667335316,29346.344798708473,1682.212479177725,1281.9041701226315,37812.32378262326
TEST_07+1순,40443.676158452334,713903.0142826287,168241.65658233984,1916.0219335331844,16648.75688386057,6067.796897976432,26463.61810426962,1050.0728008232495,1461.5279556893565,32721.820314434943
TEST_07+2순,41736.81949415534,717280.3949898335,168241.65658233984,2039.9109090647044,10076.363454728322,5328.975124991677,26583.608386766115,914.2804622363353,1496.1046769485051,32399.055306124472
TEST_07+3순,43970.751397035674,713453.8141962753,168241.65658233984,2178.40646673521,7995.901882820886,4365.5268866100805,26588.95095372641,906.0568477334754,1457.824078479017,32311.51505890127
TEST_08+1순,39020.352995820285,507337.93025648897,168241.65658233984,1933.118937946977,23784.952507219554,10244.706831401425,29647.401824873694,2017.576737172499,1424.654692640808,42176.14243990801
TEST_08+2순,41035.131905996954,470178.7675575003,168241.65658233984,2216.4608669699837,22529.203419075748,9041.318381677407,29314.782017804653,1746.0504447589092,1476.9053698886341,41536.52640819084
TEST_08+3순,43727.185594755196,458024.4774790343,168241.65658233984,2149.079959143475,21944.601308683712,8766.175136972475,29006.532890452116,1402.8253433870127,1477.0148868335098,40999.12387488829
TEST_09+1순,58134.920995198045,460965.12745412113,168241.65658233984,1059.3832481271122,9227.904654342068,8785.635559923536,28805.67177743118,1022.4803041743713,583.2320316365142,39134.546885856296
TEST_09+2순,59831.760051552774,445791.4918173583,168241.65658233984,1164.4737470437442,10407.442682732568,7775.134662505156,30198.58372411213,1038.867578535997,590.7365082960215,39819.291045926395
TEST_09+3순,54975.65812563187,428806.21817182086,168241.65658233984,1006.8157641726643,9131.943019984974,8189.243624750799,30099.7566038564,1138.028555955765,664.1907100134431,40397.02395570571
TEST_10+1순,55306.158162192936,466189.82496356935,165633.37328954702,1473.4787707238243,10513.383985470653,9179.44234980506,27618.115215013426,900.9591970229785,463.5766719629104,40136.88504361041
TEST_10+2순,50785.814683528406,450226.24170433846,167833.97246856167,1587.135922082587,10421.822442131663,8868.879399017675,28514.42642383882,915.4567931161691,464.5455201671853,40409.788474478395
TEST_10+3순,50468.41466152853,430236.3773320529,166163.18783233984,1625.4259831519282,10772.147204237473,7743.815654438442,29877.263905048425,948.0260886274286,463.64275771889186,42230.42360937495
TEST_11+1순,26430.279950927303,459433.40538017306,168241.65658233984,1587.875246605292,15035.915980234331,7955.155769311379,29166.50217491808,1122.7362755662084,1190.7868937249127,39569.36520175636
TEST_11+2순,20253.55824840216,444361.33265712624,168241.65658233984,1813.525811139737,15401.374612793506,9179.97774486952,29257.976811051776,1180.010734893207,1137.4058403106105,40180.913517129185
TEST_11+3순,18443.87122266185,428806.21817182086,168241.65658233984,1813.3782031051219,17200.282249010488,10090.781059957812,29090.990915891613,1079.3045083341576,1203.813821564072,40541.38796510233
TEST_12+1순,22966.261751026166,463188.8351828801,168241.65658233984,2085.5893510485926,17180.785965900875,9957.077620317783,29518.54631975995,1807.575216446895,1297.1064706045754,41155.61857148296
TEST_12+2순,24807.7021818512,444361.33265712624,168241.65658233984,1877.2438764602764,16392.596523126474,8102.225332396049,29449.362742013465,1803.570787460014,1304.5980000272702,41862.08325726889
TEST_12+3순,27880.359406657117,428806.21817182086,168241.65658233984,2225.576221689904,16891.166581825295,7799.751697578559,29046.370165225668,2064.9308546341476,1358.4838555463052,41961.67421362983
TEST_13+1순,31974.951808608424,463188.8351828801,168241.65658233984,1877.2438764602764,16845.328540412724,10842.19384689227,29449.362742013465,2244.0479761108677,1304.5980000272702,40953.60543940399
TEST_13+2순,34920.16740125172,444361.33265712624,168241.65658233984,1841.6045543954126,18563.167311159756,9759.624730862804,29614.406118585946,2005.736523969411,1268.301889462524,41819.50974300891
TEST_13+3순,33056.36449343634,430878.7140449453,168241.65658233984,1951.1578879126569,17383.97520142374,8010.599294548636,29036.431688663168,1658.827535531141,1345.3633549495603,41865.91783053301
TEST_14+1순,38813.28123224016,655723.8907220452,168241.65658233984,1930.2575883824807,19203.10692443608,18766.333145199846,23874.240529375566,1631.1385358254022,1341.231684771069,35845.922108033505
TEST_14+2순,40403.91059226954,670078.9832907674,168241.65658233984,1862.0268770007044,15718.666638377708,16105.92625380392,24228.91096234505,1845.3594654206447,1364.4238014393632,35884.38140030361
TEST_14+3순,42347.90137827345,679649.229461956,168241.65658233984,2045.8907169405397,12504.450720195733,9573.052229516039,24455.011063229198,1586.1496254536262,1389.3340313692051,34420.577292131544
TEST_15+1순,41303.76531499188,670671.468390103,168241.65658233984,1831.187276543565,15093.17271480725,7486.007937859473,23991.703738999036,935.7234229700282,1488.7279069289739,33613.28384639958
TEST_15+2순,42516.33813165531,664378.3412936181,168241.65658233984,1887.7693024447212,9844.76168216955,7127.2564438308455,24340.66083059147,839.3899224231972,1413.3177817847654,34147.24280452852
TEST_15+3순,44750.54723533358,676680.3558255485,168241.65658233984,1905.5652817824148,7975.671239500841,4949.297344907346,24387.64511647579,863.1381650671517,1329.666297556953,32923.754653997756
TEST_16+1순,41374.337408328916,520965.75586250995,168241.65658233984,1766.6465458202947,21745.801612194737,20797.298121521748,28650.983879849424,1250.1981900839237,1392.006624539226,38795.869563132765
TEST_16+2순,43628.92271065117,486367.94757615763,168241.65658233984,2122.6038577632485,19090.693296652287,18766.333145199846,29082.579694956417,1575.0046243005338,1281.9041701226315,35924.05064433519
TEST_16+3순,43994.18002832048,464435.0247657847,168241.65658233984,1977.3446813002483,14366.800877002974,15884.592372892112,28813.402301699178,1534.4895578376654,1309.328591181948,36283.33678572839
TEST_17+1순,43494.41882193704,597920.3942079027,168241.65658233984,2011.5481360444633,7662.201574196688,5416.677132456896,22894.822469663974,890.9667864500458,1454.117632712347,35668.40566593119
TEST_17+2순,42862.93041506307,631029.0114631786,168241.65658233984,1910.269689260464,5463.50028298659,3928.093439269219,22819.955941220174,918.1267141212181,1376.6008917612735,35547.02506334722
TEST_17+3순,42106.17707231618,610079.8825027794,168241.65658233984,2076.263889438599,6942.070999854333,3298.671954012783,23109.090535691153,976.9132310836854,1278.6581113824877,32191.559979495003
TEST_18+1순,41004.70066528348,474764.0583246715,168241.65658233984,2055.2604463135876,20456.75112073215,19793.351610438905,29512.622483245257,1888.4613305028734,1478.6492929650617,36646.01911720704
TEST_18+2순,43116.10175751209,458984.6536667502,168241.65658233984,2011.209167599247,21517.805599023548,20768.689765131363,28650.983879849424,1259.5236501994636,1487.7462897474213,35780.111810776114
TEST_18+3순,42897.71777627135,457533.78563333256,168241.65658233984,1989.7111855006963,18948.466048749193,17844.86693379694,28831.75909152241,1605.3244803199145,1469.7831937323003,36093.67503033497
TEST_19+1순,60830.12870368116,460965.12745412113,168241.65658233984,1245.0663468097393,11471.61508144025,8660.498633276224,30198.58372411213,1025.3792049852464,632.2136748942303,38950.801712200824
TEST_19+2순,63014.89258562788,444210.04496070516,168241.65658233984,1341.0964353385389,12890.188708153999,7879.631519696621,30295.21793865846,1030.0084363502049,702.1054888349498,39686.167364779336
TEST_19+3순,52517.40295126512,428806.21817182086,168241.65658233984,1281.1934770329651,13381.184079058894,7889.860014899306,30187.23232319214,1130.1874507271166,730.0843515406436,40125.77808202096
TEST_20+1순,39484.61423547116,467910.0022086752,168241.65658233984,2218.666508845157,23564.80628645511,10719.371195433992,29214.821123807826,1758.78899087474,1417.551760105696,41721.79186160684
TEST_20+2순,39348.36527772926,450029.14151528565,168241.65658233984,1933.118937946977,24244.151342579495,7917.042128515989,29480.16099084966,1954.359002992886,1395.478886522575,42176.14243990801
TEST_20+3순,41990.639995572026,434248.2539977798,168241.65658233984,2059.000412480286,18744.24041073543,8421.242184218281,28715.408767515044,1787.7088046251529,1409.277234643843,41033.673787540356
TEST_21+1순,23555.11199809357,459433.40538017306,168241.65658233984,1915.5860097718355,17504.665107868124,8580.820990631502,29238.34339417093,1099.7081203878572,1307.4333040334536,41313.38494304202
TEST_21+2순,18644.85250124059,444361.33265712624,168241.65658233984,2113.018472001464,17180.785965900875,9895.217144467872,29518.54631975995,1019.5310445842289,1245.982508744274,42264.5593634091
TEST_21+3순,23932.893142530866,428806.21817182086,168241.65658233984,2003.4302114769196,18550.07441117154,9217.986910583048,28898.99094459304,1023.6642527143352,1254.119043002923,42032.013188781886
TEST_22+1순,35542.66648445679,463188.8351828801,168241.65658233984,1618.6124892570851,24501.141400768105,12553.715288692538,29614.406118585946,1581.6714771556844,1268.301889462524,40919.95182903242
TEST_22+2순,34596.18570721138,444361.33265712624,168241.65658233984,1978.0348491485015,22191.965214462376,10512.755849842133,29214.821123807826,1621.3655015910406,1347.9377573760923,41721.79186160684
TEST_22+3순,34787.976003778225,434030.91568126925,168241.65658233984,2086.2295974809217,23519.22034587276,10941.67256789981,28984.845476754097,1688.9613453512015,1394.6782867390255,41536.52640819084
TEST_23+1순,43483.14863777208,633404.467518469,168241.65658233984,1662.7359909895904,7896.751551372211,3928.093439269219,22818.659066220174,948.1677099985733,1376.6008917612735,34866.24347792422
TEST_23+2순,41725.53663175178,631854.2753136063,168241.65658233984,1783.4415988247338,5898.012682376164,3155.118416170243,22969.281381759243,988.9765360028205,1294.056242474948,34213.26593931837
