iter	Passed	Remaining
0	6	6759
1	13	6806
2	19	6617
3	26	6487
4	32	6406
5	35	5892
6	41	5900
7	47	5921
8	53	5911
9	59	5922
10	66	5946
11	72	5973
12	78	5965
13	84	5957
14	85	5606
15	91	5614
16	97	5627
17	103	5636
18	109	5648
19	115	5648
20	121	5656
21	127	5660
22	133	5662
23	139	5666
24	145	5665
25	147	5512
26	153	5518
27	159	5523
28	165	5528
29	170	5528
30	176	5531
31	182	5524
32	187	5492
33	193	5493
34	199	5495
35	204	5487
36	211	5509
37	217	5501
38	223	5500
39	228	5494
40	234	5495
41	240	5486
42	246	5486
43	252	5484
44	258	5483
45	264	5486
46	270	5487
47	276	5486
48	282	5484
49	288	5482
50	294	5480
51	300	5478
52	306	5474
53	312	5473
54	318	5469
55	324	5467
56	330	5463
57	336	5459
58	342	5455
59	347	5440
60	353	5438
61	359	5434
62	367	5470
63	373	5466
64	379	5464
65	385	5456
66	391	5453
67	397	5447
68	402	5437
69	408	5423
70	414	5419
71	420	5416
72	426	5414
73	432	5410
74	437	5392
75	443	5386
76	448	5376
77	465	5504
78	470	5482
79	474	5457
80	478	5428
81	482	5401
82	486	5376
83	490	5350
84	496	5340
85	501	5328
86	506	5315
87	511	5296
88	516	5283
89	521	5270
90	526	5261
91	531	5249
92	537	5246
93	545	5253
94	551	5249
95	556	5242
96	562	5232
97	568	5228
98	574	5225
99	580	5220
100	585	5215
101	592	5212
102	598	5208
103	606	5221
104	612	5216
105	617	5211
106	624	5208
107	630	5204
108	636	5199
109	642	5194
110	648	5190
111	654	5185
112	660	5180
113	664	5167
114	670	5162
115	676	5158
116	682	5154
117	688	5149
118	694	5142
119	700	5133
120	706	5128
121	711	5122
122	717	5117
123	723	5112
124	729	5109
125	736	5105
126	741	5099
127	747	5092
128	753	5087
129	759	5082
130	765	5077
131	771	5072
132	777	5067
133	783	5062
134	789	5055
135	794	5050
136	800	5041
137	806	5036
138	812	5031
139	818	5026
140	824	5021
141	830	5016
142	836	5011
143	842	5007
144	848	5001
145	854	4996
146	860	4991
147	866	4985
148	872	4980
149	877	4975
150	883	4970
151	889	4964
152	895	4960
153	901	4954
154	907	4949
155	913	4943
156	919	4938
157	925	4932
158	931	4927
159	937	4921
160	945	4926
161	951	4921
162	956	4913
163	962	4906
164	968	4901
165	974	4894
166	980	4888
167	986	4883
168	991	4876
169	997	4870
170	1003	4865
171	1005	4839
172	1011	4833
173	1016	4826
174	1018	4801
175	1024	4794
176	1029	4786
177	1035	4781
178	1040	4773
179	1046	4768
180	1052	4760
181	1058	4755
182	1063	4750
183	1070	4745
184	1076	4740
185	1079	4722
186	1085	4717
187	1091	4712
188	1096	4705
189	1102	4700
190	1107	4692
191	1113	4685
192	1119	4680
193	1124	4672
194	1130	4667
195	1136	4663
196	1142	4656
197	1148	4651
198	1154	4646
199	1155	4622
200	1161	4616
201	1167	4610
202	1173	4605
203	1178	4600
204	1184	4595
205	1190	4590
206	1196	4585
207	1203	4584
208	1205	4560
209	1210	4554
210	1216	4549
211	1222	4544
212	1228	4539
213	1236	4539
214	1241	4534
215	1248	4529
216	1249	4507
217	1255	4502
218	1261	4498
219	1267	4493
220	1273	4487
221	1277	4478
222	1283	4472
223	1289	4467
224	1295	4461
225	1301	4456
226	1307	4452
227	1313	4446
228	1319	4441
229	1325	4436
230	1329	4426
231	1335	4421
232	1340	4414
233	1346	4408
234	1352	4401
235	1357	4393
236	1362	4387
237	1368	4380
238	1373	4373
239	1379	4367
240	1385	4362
241	1391	4357
242	1397	4352
243	1402	4345
244	1408	4340
245	1410	4323
246	1414	4313
247	1420	4307
248	1424	4297
249	1428	4286
250	1433	4276
251	1437	4268
252	1442	4259
253	1447	4252
254	1453	4245
255	1459	4240
256	1464	4233
257	1470	4227
258	1475	4221
259	1481	4215
260	1486	4209
261	1492	4203
262	1497	4197
263	1503	4192
264	1509	4185
265	1514	4179
266	1520	4173
267	1526	4168
268	1532	4163
269	1537	4158
270	1543	4153
271	1550	4148
272	1556	4143
273	1562	4139
274	1568	4133
275	1573	4128
276	1579	4122
277	1585	4118
278	1591	4112
279	1596	4104
280	1602	4100
281	1608	4094
282	1613	4088
283	1619	4083
284	1625	4078
285	1631	4073
286	1637	4068
287	1643	4063
288	1649	4058
289	1655	4053
290	1661	4048
291	1667	4043
292	1673	4039
293	1679	4034
294	1685	4028
295	1691	4023
296	1697	4018
297	1703	4013
298	1709	4008
299	1715	4001
300	1723	4001
301	1729	3996
302	1735	3991
303	1741	3986
304	1747	3981
305	1752	3974
306	1758	3968
307	1764	3963
308	1770	3958
309	1776	3953
310	1782	3948
311	1788	3943
312	1794	3938
313	1800	3933
314	1806	3927
315	1811	3922
316	1817	3916
317	1823	3911
318	1829	3906
319	1835	3901
320	1839	3889
321	1844	3884
322	1850	3879
323	1856	3874
324	1862	3869
325	1868	3863
326	1874	3858
327	1880	3853
328	1886	3848
329	1893	3843
330	1898	3838
331	1900	3824
332	1906	3818
333	1908	3805
334	1914	3800
335	1919	3794
336	1925	3788
337	1930	3781
338	1938	3779
339	1939	3765
340	1945	3760
341	1951	3754
342	1957	3748
343	1963	3743
344	1968	3738
345	1970	3725
346	1976	3719
347	1982	3714
348	1988	3709
349	1994	3704
350	2000	3699
351	2006	3693
352	2012	3688
353	2018	3683
354	2024	3678
355	2030	3672
356	2035	3667
357	2042	3662
358	2048	3656
359	2054	3651
360	2059	3646
361	2065	3640
362	2071	3635
363	2076	3629
364	2082	3623
365	2085	3613
366	2090	3605
367	2095	3598
368	2100	3592
369	2106	3586
370	2111	3580
371	2117	3574
372	2122	3567
373	2128	3561
374	2134	3556
375	2139	3550
376	2145	3545
377	2151	3539
378	2156	3533
379	2162	3527
380	2168	3522
381	2174	3517
382	2180	3512
383	2186	3506
384	2192	3501
385	2198	3496
386	2204	3491
387	2210	3486
388	2216	3480
389	2222	3475
390	2227	3469
391	2233	3464
392	2239	3459
393	2245	3454
394	2251	3449
395	2257	3443
396	2261	3434
397	2266	3428
398	2272	3423
399	2278	3418
400	2284	3412
401	2290	3407
402	2296	3401
403	2302	3396
404	2308	3390
405	2314	3385
406	2316	3374
407	2321	3368
408	2327	3362
409	2332	3356
410	2338	3351
411	2344	3345
412	2349	3339
413	2355	3334
414	2361	3328
415	2367	3323
416	2373	3317
417	2378	3312
418	2384	3306
419	2390	3300
420	2395	3294
421	2401	3288
422	2407	3283
423	2413	3278
424	2419	3272
425	2424	3267
426	2430	3261
427	2448	3271
428	2453	3265
429	2456	3256
430	2457	3244
431	2460	3235
432	2464	3227
433	2467	3218
434	2471	3209
435	2475	3201
436	2478	3192
437	2481	3183
438	2484	3175
439	2488	3166
440	2491	3158
441	2495	3150
442	2498	3141
443	2502	3133
444	2506	3125
445	2508	3115
446	2511	3107
447	2515	3099
448	2520	3092
449	2523	3084
450	2528	3077
451	2532	3070
452	2536	3063
453	2541	3056
454	2546	3049
455	2551	3043
456	2556	3037
457	2561	3031
458	2567	3025
459	2573	3020
460	2578	3014
461	2584	3009
462	2589	3003
463	2600	3004
464	2605	2997
465	2610	2991
466	2615	2984
467	2620	2978
468	2625	2972
469	2630	2966
470	2635	2960
471	2638	2951
472	2644	2945
473	2649	2940
474	2655	2935
475	2661	2930
476	2668	2925
477	2674	2920
478	2675	2909
479	2681	2904
480	2687	2899
481	2693	2894
482	2699	2889
483	2705	2884
484	2711	2878
485	2717	2874
486	2723	2869
487	2729	2863
488	2732	2855
489	2738	2849
490	2744	2844
491	2750	2839
492	2756	2834
493	2762	2829
494	2767	2823
495	2773	2818
496	2779	2813
497	2785	2808
498	2791	2802
499	2797	2797
500	2803	2792
501	2804	2782
502	2810	2776
503	2816	2771
504	2823	2767
505	2829	2762
506	2834	2756
507	2840	2751
508	2846	2745
509	2852	2740
510	2858	2735
511	2863	2729
512	2869	2724
513	2875	2719
514	2881	2713
515	2887	2708
516	2893	2703
517	2899	2698
518	2905	2692
519	2911	2687
520	2917	2682
521	2924	2678
522	2930	2672
523	2936	2667
524	2941	2661
525	2947	2656
526	2953	2650
527	2959	2645
528	2961	2636
529	2966	2630
530	2972	2625
531	2978	2620
532	2984	2614
533	2990	2609
534	2996	2604
535	3002	2598
536	3008	2593
537	3013	2587
538	3016	2580
539	3022	2574
540	3028	2569
541	3033	2563
542	3039	2557
543	3045	2552
544	3051	2547
545	3056	2541
546	3062	2535
547	3067	2530
548	3073	2524
549	3079	2519
550	3085	2514
551	3091	2509
552	3097	2503
553	3103	2498
554	3108	2492
555	3114	2487
556	3120	2482
557	3126	2476
558	3132	2471
559	3138	2466
560	3144	2460
561	3150	2455
562	3156	2449
563	3161	2444
564	3167	2438
565	3174	2433
566	3179	2428
567	3185	2422
568	3191	2417
569	3197	2411
570	3203	2406
571	3209	2401
572	3214	2395
573	3220	2390
574	3226	2384
575	3235	2381
576	3241	2376
577	3247	2371
578	3253	2365
579	3259	2360
580	3266	2355
581	3271	2349
582	3278	2344
583	3283	2339
584	3289	2333
585	3295	2328
586	3301	2322
587	3307	2317
588	3313	2311
589	3318	2306
590	3324	2300
591	3330	2295
592	3336	2289
593	3342	2284
594	3348	2278
595	3353	2273
596	3359	2267
597	3364	2261
