YYYYMMSOON,가락시장 품목코드(5자리),품목(품종)명,거래단위,등급(특 5% 상 35% 중 40% 하 20%),평균가격(원),전순 평균가격(원) PreVious SOON,전달 평균가격(원) PreVious MMonth,전년 평균가격(원) PreVious YeaR,평년 평균가격(원) Common Year SOON,year,soon,date,품목-품종,품목명_x,month,original_day,month_1,month_2,month_3,month_4,month_5,month_6,month_7,month_8,month_9,month_10,month_11,month_12,day_1,day_11,day_21,주산지,지역 이름,순 강수량,순 평균기온,주산지 순 강수량,주산지 순 평균기온,단수,총반입량(kg),년도,품목명_y,생산량(톤),반입량_생산량비
201801상순,21100,배추,10키로망대,상,5419.85714285714,5293.33333333333,5242.125,9213.42857142857,6071.72619047619,2018,상순,2018-01-01,배추,배추,1,1,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,,,,,,,768.0525318691199,15298460.4,2018,배추,2391946,0.006395821812030873
201801중순,21100,배추,10키로망대,상,5319.33333333333,5419.85714285714,5553.22222222222,9083.77777777777,5938.14351851851,2018,중순,2018-01-11,배추,배추,1,11,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,,,,,,,768.0525318691199,14047821.8,2018,배추,2391946,0.005872967784389782
201801하순,21100,배추,10키로망대,상,6734.77777777777,5319.33333333333,5293.33333333333,8292.16666666666,6245.35185185184,2018,하순,2018-01-21,배추,배추,1,21,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,,,1.7906040268456305,0.19189061763319182,,,768.0525318691199,13584056.2,2018,배추,2391946,0.005679081467558213
201802상순,21100,배추,10키로망대,상,8942.22222222222,6734.77777777777,5419.85714285714,9323.0,6413.72023809523,2018,상순,2018-02-01,배추,배추,2,1,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,,,2.0697986577181133,0.18170878459687118,,,768.0525318691199,19202567.4,2018,배추,2391946,0.008028010414950838
201802중순,21100,배추,10키로망대,상,7247.16666666666,8942.22222222222,5319.33333333333,9243.25,7099.14682539682,2018,중순,2018-02-11,배추,배추,2,11,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,,,2.1825503355704594,0.19601806239737268,,,768.0525318691199,12544684.0,2018,배추,2391946,0.005244551507433696
201802하순,21100,배추,10키로망대,상,7890.71428571428,7247.16666666666,6734.77777777777,8866.57142857143,7303.74603174603,2018,하순,2018-02-21,배추,배추,2,21,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,,,3.903355704697975,0.21060880048221814,,,768.0525318691199,13837864.8,2018,배추,2391946,0.005785191137258116
201803상순,21100,배추,10키로망대,상,8168.22222222222,7890.71428571428,8942.22222222222,8641.0,7526.08333333333,2018,상순,2018-03-01,배추,배추,3,1,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,,,7.78657718120804,0.23036622056229894,,,768.0525318691199,17148633.8,2018,배추,2391946,0.007169323136893559
201803중순,21100,배추,10키로망대,상,7796.625,8168.22222222222,7247.16666666666,8090.375,7194.05092592592,2018,중순,2018-03-11,배추,배추,3,11,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,,,10.116778523489916,0.2478007267163893,,,768.0525318691199,17514079.6,2018,배추,2391946,0.007322104930462477
201803하순,21100,배추,10키로망대,상,7996.1,7796.625,7890.71428571428,6777.9,6674.0037037037,2018,하순,2018-03-21,배추,배추,3,21,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,,,10.54765100671139,0.26639380336238,,,768.0525318691199,19127038.4,2018,배추,2391946,0.007996434033209779
201804상순,21100,배추,10키로망대,상,7503.375,7996.1,8168.22222222222,6241.25,6520.00925925926,2018,상순,2018-04-01,배추,배추,4,1,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,,,12.995973154362398,0.2843642611683848,,,768.0525318691199,17868526.8,2018,배추,2391946,0.007470288543303235
201804중순,21100,배추,10키로망대,상,7082.22222222222,7503.375,7796.625,5653.55555555555,6365.14814814814,2018,중순,2018-04-11,배추,배추,4,11,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,,,14.036241610738232,0.3011923870671864,,,768.0525318691199,19098076.4,2018,배추,2391946,0.00798432590033387
201804하순,21100,배추,10키로망대,상,6637.25,7082.22222222222,7996.1,6812.75,6845.54629629629,2018,하순,2018-04-21,배추,배추,4,21,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,,,17.69664429530199,0.3196356855995409,3.7288590604026806,0.3030935001737921,768.0525318691199,16120701.4,2018,배추,2391946,0.006739575809821794
201805상순,21100,배추,10키로망대,상,5589.44444444444,6637.25,7503.375,4340.44444444444,5822.19444444444,2018,상순,2018-05-01,배추,배추,5,1,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,,,20.276510067114067,0.3390342052313883,4.234899328859055,0.32061317677756024,768.0525318691199,20428936.2,2018,배추,2391946,0.00854071797607471
201805중순,21100,배추,10키로망대,상,4656.75,5589.44444444444,7082.22222222222,3352.88888888888,6993.99074074074,2018,중순,2018-05-11,배추,배추,5,11,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,,,23.012080536912727,0.3661301140174379,4.863087248322143,0.3447420634920634,768.0525318691199,16933607.4,2018,배추,2391946,0.0070794271275354875
201805하순,21100,배추,10키로망대,상,3770.7,4656.75,6637.25,3292.44444444444,5554.24074074074,2018,하순,2018-05-21,배추,배추,5,21,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,,,22.985234899328837,0.3965817321080478,4.834899328859056,0.3757763975155278,768.0525318691199,23984545.2,2018,배추,2391946,0.010027210146048448
201806상순,21100,배추,10키로망대,상,3345.125,3770.7,5589.44444444444,3719.0,4441.91203703703,2018,상순,2018-06-01,배추,배추,6,1,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,,,23.174496644295278,0.45911878264819433,,,768.0525318691199,20217417.8,2018,배추,2391946,0.008452288555009185
201806중순,21100,배추,10키로망대,상,4073.44444444444,3345.125,4656.75,3223.125,4604.60185185185,2018,중순,2018-06-11,배추,배추,6,11,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,,,23.558389261744946,0.5166626515699028,,,768.0525318691199,24147058.2,2018,배추,2391946,0.010095151897241828
201806하순,21100,배추,10키로망대,상,4684.0,4073.44444444444,3770.7,3405.88888888888,4714.04629629629,2018,하순,2018-06-21,배추,배추,6,21,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,,,36.81476510067111,0.5854011081667067,,,768.0525318691199,23712677.8,2018,배추,2391946,0.009913550640357266
201807상순,21100,배추,10키로망대,상,5479.25,4684.0,3345.125,4036.125,5034.54166666666,2018,상순,2018-07-01,배추,배추,7,1,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,,,45.178523489932864,0.6252692031586503,,,768.0525318691199,19239756.2,2018,배추,2391946,0.00804355792313037
201807중순,21100,배추,10키로망대,상,7957.0,5479.25,4073.44444444444,8333.0,6220.87962962963,2018,중순,2018-07-11,배추,배추,7,11,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,,,41.5194630872483,0.6800569800569799,,,768.0525318691199,20050351.4,2018,배추,2391946,0.008382443165522967
201807하순,21100,배추,10키로망대,상,11236.3333333333,7957.0,4684.0,12592.3333333333,6986.08148148148,2018,하순,2018-07-21,배추,배추,7,21,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,,,39.520805369127494,0.7149313962873284,,,768.0525318691199,17907881.999999993,2018,배추,2391946,0.0074867417575480355
201808상순,21100,배추,10키로망대,상,10779.125,11236.3333333333,5479.25,11745.375,8457.11309523809,2018,상순,2018-08-01,배추,배추,8,1,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,,,40.40671140939595,0.7491741197324954,,,768.0525318691199,18344071.4,2018,배추,2391946,0.007669099302409
201808중순,21100,배추,10키로망대,상,16234.625,10779.125,7957.0,14710.25,10555.0324074074,2018,중순,2018-08-11,배추,배추,8,11,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,,,39.13020134228186,0.7848828420256991,,,768.0525318691199,15025457.6,2018,배추,2391946,0.006281687630071916
201808하순,21100,배추,10키로망대,상,17582.9,16234.625,11236.3333333333,15073.2,11641.4629629629,2018,하순,2018-08-21,배추,배추,8,21,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,,,87.3677852348993,0.8124876506619244,17.66979865771812,0.796176046176046,768.0525318691199,19584279.6,2018,배추,2391946,0.00818759269649064
201809상순,21100,배추,10키로망대,상,10922.25,17582.9,10779.125,16348.25,11337.4583333333,2018,상순,2018-09-01,배추,배추,9,1,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,,,87.42416107382547,0.8224480399894765,17.68993288590604,0.80752453653217,768.0525318691199,26418842.4,2018,배추,2391946,0.011044915896930784
201809중순,21100,배추,10키로망대,상,9809.88888888888,10922.25,16234.625,14384.5555555555,10195.5343915343,2018,중순,2018-09-11,배추,배추,9,11,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,,,86.41073825503352,0.8317393903167962,,,768.0525318691199,47970833.2,2018,배추,2391946,0.020055148903863215
201809하순,21100,배추,10키로망대,상,7212.4,9809.88888888888,17582.9,12888.4444444444,8667.19576719576,2018,하순,2018-09-21,배추,배추,9,21,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,,,84.60268456375836,0.8315993063892224,,,768.0525318691199,16764519.6,2018,배추,2391946,0.007008736652081611
201810상순,21100,배추,10키로망대,상,6274.66666666666,7212.4,10922.25,14563.4,7084.73611111111,2018,상순,2018-10-01,배추,배추,10,1,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,,,100.92214765100668,0.8187689969604862,20.13154362416107,0.8040564373897708,768.0525318691199,28843702.59999999,2018,배추,2391946,0.012058676324632743
201810중순,21100,배추,10키로망대,상,5449.11111111111,6274.66666666666,9809.88888888888,4193.44444444444,3897.27314814814,2018,중순,2018-10-11,배추,배추,10,11,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,,,100.79731543624158,0.8065159574468085,20.240268456375833,0.7906525573192238,768.0525318691199,26087221.4,2018,배추,2391946,0.010906275225276825
201810하순,21100,배추,10키로망대,상,5499.88888888888,5449.11111111111,7212.4,3432.55555555555,3537.95185185185,2018,하순,2018-10-21,배추,배추,10,21,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,,,100.87919463087245,0.7939779635258358,20.338255033557044,0.7776014109347443,768.0525318691199,28687597.8,2018,배추,2391946,0.011993413647298059
201811상순,21100,배추,10키로망대,상,5468.77777777777,5499.88888888888,6274.66666666666,4279.55555555555,3962.22685185185,2018,상순,2018-11-01,배추,배추,11,1,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,,,89.55704697986573,0.7749338624338624,17.977181208053686,0.7575091575091575,768.0525318691199,34929068.39999999,2018,배추,2391946,0.014602783005970867
201811중순,21100,배추,10키로망대,상,4930.875,5468.77777777777,5449.11111111111,5084.75,4969.13888888889,2018,중순,2018-11-11,배추,배추,11,11,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,,,79.64832214765097,0.7536655905299973,16.393288590604023,0.7369963369963369,768.0525318691199,63443387.2,2018,배추,2391946,0.02652375396434535
201811하순,21100,배추,10키로망대,상,4795.0,4930.875,5499.88888888888,5434.0,5794.5787037037,2018,하순,2018-11-21,배추,배추,11,21,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,,,79.79731543624158,0.7201354679802956,,,768.0525318691199,69152743.8,2018,배추,2391946,0.028910662615293153
201812상순,21100,배추,10키로망대,상,4314.5,4795.0,5468.77777777777,5242.125,4583.59259259259,2018,상순,2018-12-01,배추,배추,12,1,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,,,81.28187919463085,0.6707072730915647,16.71140939597315,0.6430348258706466,768.0525318691199,38970012.6,2018,배추,2391946,0.016292179087654988
201812중순,21100,배추,10키로망대,상,3552.77777777777,4314.5,4930.875,5553.22222222222,4408.24537037037,2018,중순,2018-12-11,배추,배추,12,11,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,,,80.31543624161071,0.6186241938635919,16.093959731543617,0.5789653991092839,768.0525318691199,26395047.4,2018,배추,2391946,0.011034967929878015
201812하순,21100,배추,10키로망대,상,3268.11111111111,3552.77777777777,4795.0,5293.33333333333,4594.45555555555,2018,하순,2018-12-21,배추,배추,12,21,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,,,79.37583892617445,0.5416747431672805,15.978523489932881,0.5034722222222221,768.0525318691199,13355015.2,2018,배추,2391946,0.005583326379441676
201901상순,21100,배추,10키로망대,상,2927.0,3268.11111111111,4314.5,5419.85714285714,4807.20238095238,2019,상순,2019-01-01,배추,배추,1,1,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,,,30.102013422818768,0.4453487541943313,6.092617449664424,0.4045842217484008,719.7836436118745,14428371.8,2019,배추,1859705,0.0077584196418249134
201901중순,21100,배추,10키로망대,상,2823.0,2927.0,3552.77777777777,5319.33333333333,4683.3287037037,2019,중순,2019-01-11,배추,배추,1,11,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,,,26.567785234899304,0.4113482671174979,5.224161073825498,0.37033230558410407,719.7836436118745,13052634.4,2019,배추,1859705,0.007018658550684114
201901하순,21100,배추,10키로망대,상,2783.4,2823.0,3268.11111111111,6734.77777777777,5726.22222222222,2019,하순,2019-01-21,배추,배추,1,21,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,,,25.27114093959729,0.3815077051228654,5.008053691275164,0.3431855500821017,719.7836436118745,20840923.2,2019,배추,1859705,0.011206574806219265
201902상순,21100,배추,10키로망대,상,3234.8,2783.4,2927.0,8942.22222222222,6319.66931216931,2019,상순,2019-02-01,배추,배추,2,1,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,,,24.912751677852327,0.3572104018912529,4.9194630872483165,0.32303732303732297,719.7836436118745,6834528.5,2019,배추,1859705,0.003675060560680323
201902중순,21100,배추,10키로망대,상,2775.11111111111,3234.8,2823.0,7247.16666666666,6433.78571428571,2019,중순,2019-02-11,배추,배추,2,11,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,,,8.280536912751657,0.3179621848739495,1.7959731543624116,0.2898478835978835,719.7836436118745,16781053.279999997,2019,배추,1859705,0.009023502802863894
