YYYYMMSOON,품목코드 ,품목명,품종코드 ,품종명,등급명,유통단계별 무게 ,유통단계별 단위 ,평균가격(원),전순 평균가격(원) PreVious SOON,전달 평균가격(원) PreVious MMonth,전년 평균가격(원) PreVious YeaR,평년 평균가격(원) Common Year SOON
201801상순,241.0,건고추,0.0,화건,상품,kg,30.0,590000.0,0.0,643000.0,286429.0,381666.666666666
201801상순,241.0,건고추,0.0,화건,상품,kg,30.0,590000.0,0.0,643000.0,286429.0,381666.666666666
201801상순,241.0,건고추,0.0,화건,상품,kg,30.0,590000.0,0.0,643000.0,286429.0,381666.666666666
201801상순,241.0,건고추,0.0,화건,상품,kg,30.0,590000.0,0.0,643000.0,286429.0,381666.666666666
201801상순,241.0,건고추,0.0,화건,상품,kg,30.0,590000.0,0.0,643000.0,286429.0,381666.666666666
201801상순,241.0,건고추,0.0,화건,상품,kg,30.0,590000.0,0.0,643000.0,286429.0,381666.666666666
201801상순,241.0,건고추,0.0,화건,상품,kg,30.0,590000.0,0.0,643000.0,286429.0,381666.666666666
201801상순,241.0,건고추,0.0,화건,상품,kg,30.0,590000.0,0.0,643000.0,286429.0,381666.666666666
201801상순,241.0,건고추,0.0,화건,상품,kg,30.0,590000.0,0.0,643000.0,286429.0,381666.666666666
201801상순,241.0,건고추,0.0,화건,상품,kg,30.0,590000.0,0.0,643000.0,286429.0,381666.666666666
201801상순,241.0,건고추,0.0,화건,상품,kg,30.0,590000.0,0.0,643000.0,286429.0,381666.666666666
201801상순,241.0,건고추,0.0,화건,상품,kg,30.0,590000.0,0.0,643000.0,286429.0,381666.666666666
201801상순,241.0,건고추,0.0,화건,상품,kg,30.0,590000.0,0.0,643000.0,286429.0,381666.666666666
201801상순,241.0,건고추,0.0,화건,상품,kg,30.0,590000.0,0.0,643000.0,286429.0,381666.666666666
201801상순,241.0,건고추,0.0,화건,상품,kg,30.0,590000.0,0.0,643000.0,286429.0,381666.666666666
201801상순,241.0,건고추,0.0,화건,상품,kg,30.0,590000.0,0.0,643000.0,286429.0,381666.666666666
201801상순,241.0,건고추,0.0,화건,상품,kg,30.0,590000.0,0.0,643000.0,286429.0,381666.666666666
201801상순,241.0,건고추,0.0,화건,상품,kg,30.0,590000.0,0.0,643000.0,286429.0,381666.666666666
201801상순,241.0,건고추,0.0,화건,상품,kg,30.0,590000.0,0.0,643000.0,286429.0,381666.666666666
201801상순,241.0,건고추,0.0,화건,상품,kg,30.0,590000.0,0.0,643000.0,286429.0,381666.666666666
201801상순,241.0,건고추,0.0,화건,상품,kg,30.0,590000.0,0.0,643000.0,286429.0,381666.666666666
201801상순,241.0,건고추,0.0,화건,상품,kg,30.0,590000.0,0.0,643000.0,286429.0,381666.666666666
201801상순,241.0,건고추,0.0,화건,상품,kg,30.0,590000.0,0.0,643000.0,286429.0,381666.666666666
201801상순,241.0,건고추,0.0,화건,상품,kg,30.0,590000.0,0.0,643000.0,286429.0,381666.666666666
201801상순,241.0,건고추,0.0,화건,상품,kg,30.0,590000.0,0.0,643000.0,286429.0,381666.666666666
201801상순,241.0,건고추,0.0,화건,상품,kg,30.0,590000.0,0.0,643000.0,286429.0,381666.666666666
201801상순,241.0,건고추,0.0,화건,상품,kg,30.0,590000.0,0.0,643000.0,286429.0,381666.666666666
201801중순,241.0,건고추,0.0,화건,상품,kg,30.0,590000.0,0.0,620000.0,285000.0,380809.666666666
201801중순,241.0,건고추,0.0,화건,상품,kg,30.0,590000.0,0.0,620000.0,285000.0,380809.666666666
201801중순,241.0,건고추,0.0,화건,상품,kg,30.0,590000.0,0.0,620000.0,285000.0,380809.666666666
201801중순,241.0,건고추,0.0,화건,상품,kg,30.0,590000.0,0.0,620000.0,285000.0,380809.666666666
201801중순,241.0,건고추,0.0,화건,상품,kg,30.0,590000.0,0.0,620000.0,285000.0,380809.666666666
201801중순,241.0,건고추,0.0,화건,상품,kg,30.0,590000.0,0.0,620000.0,285000.0,380809.666666666
201801중순,241.0,건고추,0.0,화건,상품,kg,30.0,590000.0,0.0,620000.0,285000.0,380809.666666666
201801중순,241.0,건고추,0.0,화건,상품,kg,30.0,590000.0,0.0,620000.0,285000.0,380809.666666666
201801중순,241.0,건고추,0.0,화건,상품,kg,30.0,590000.0,0.0,620000.0,285000.0,380809.666666666
201801중순,241.0,건고추,0.0,화건,상품,kg,30.0,590000.0,0.0,620000.0,285000.0,380809.666666666
201801중순,241.0,건고추,0.0,화건,상품,kg,30.0,590000.0,0.0,620000.0,285000.0,380809.666666666
201801중순,241.0,건고추,0.0,화건,상품,kg,30.0,590000.0,0.0,620000.0,285000.0,380809.666666666
201801중순,241.0,건고추,0.0,화건,상품,kg,30.0,590000.0,0.0,620000.0,285000.0,380809.666666666
201801중순,241.0,건고추,0.0,화건,상품,kg,30.0,590000.0,0.0,620000.0,285000.0,380809.666666666
201801중순,241.0,건고추,0.0,화건,상품,kg,30.0,590000.0,0.0,620000.0,285000.0,380809.666666666
201801중순,241.0,건고추,0.0,화건,상품,kg,30.0,590000.0,0.0,620000.0,285000.0,380809.666666666
201801중순,241.0,건고추,0.0,화건,상품,kg,30.0,590000.0,0.0,620000.0,285000.0,380809.666666666
201801중순,241.0,건고추,0.0,화건,상품,kg,30.0,590000.0,0.0,620000.0,285000.0,380809.666666666
201801중순,241.0,건고추,0.0,화건,상품,kg,30.0,590000.0,0.0,620000.0,285000.0,380809.666666666
201801중순,241.0,건고추,0.0,화건,상품,kg,30.0,590000.0,0.0,620000.0,285000.0,380809.666666666
201801중순,241.0,건고추,0.0,화건,상품,kg,30.0,590000.0,0.0,620000.0,285000.0,380809.666666666
201801중순,241.0,건고추,0.0,화건,상품,kg,30.0,590000.0,0.0,620000.0,285000.0,380809.666666666
201801중순,241.0,건고추,0.0,화건,상품,kg,30.0,590000.0,0.0,620000.0,285000.0,380809.666666666
201801중순,241.0,건고추,0.0,화건,상품,kg,30.0,590000.0,0.0,620000.0,285000.0,380809.666666666
