YYYYMMSOON,가락시장 품목코드(5자리),품목(품종)명,거래단위,등급(특 5% 상 35% 중 40% 하 20%),평균가격(원),전순 평균가격(원) PreVious SOON,전달 평균가격(원) PreVious MMonth,전년 평균가격(원) PreVious YeaR,평년 평균가격(원) Common Year SOON,year,soon,date,품목-품종,품목명_x,month,original_day,month_1,month_2,month_3,month_4,month_5,month_6,month_7,month_8,month_9,month_10,month_11,month_12,day_1,day_11,day_21,순 강수량,순 평균기온,주산지 순 강수량,주산지 순 평균기온,단수,총반입량(kg),년도,품목명_y,생산량(톤),반입량_생산량비
201801상순,24400,양파,1키로,상,1144.42857142857,1123.77777777777,1159.75,1231.28571428571,1149.125,2018,상순,2018-01-01,양파,양파,1,1,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,,,,,575.5795648060549,27125098.8,2018,양파,1520969,0.01783409050414571
201801중순,24400,양파,1키로,상,1041.22222222222,1144.42857142857,1151.0,1196.44444444444,1125.01388888888,2018,중순,2018-01-11,양파,양파,1,11,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,,,,,575.5795648060549,27605160.6,2018,양파,1520969,0.018149719422289344
201801하순,24400,양파,1키로,상,1036.44444444444,1041.22222222222,1123.77777777777,1282.83333333333,1180.73333333333,2018,하순,2018-01-21,양파,양파,1,21,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,1.7906040268456305,0.19189061763319182,,,575.5795648060549,24810440.2,2018,양파,1520969,0.016312258961228007
201802상순,24400,양파,1키로,상,1045.77777777777,1036.44444444444,1144.42857142857,1355.11111111111,1192.2037037037,2018,상순,2018-02-01,양파,양파,2,1,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,2.0697986577181133,0.18170878459687118,,,575.5795648060549,35929696.6,2018,양파,1520969,0.023622898691557818
201802중순,24400,양파,1키로,상,1098.16666666666,1045.77777777777,1041.22222222222,1306.125,1133.85648148148,2018,중순,2018-02-11,양파,양파,2,11,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,2.1825503355704594,0.19601806239737268,,,575.5795648060549,19440149.0,2018,양파,1520969,0.01278142355301127
201802하순,24400,양파,1키로,상,922.142857142857,1098.16666666666,1036.44444444444,1352.0,1227.75396825396,2018,하순,2018-02-21,양파,양파,2,21,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,3.903355704697975,0.21060880048221814,,,575.5795648060549,23656410.8,2018,양파,1520969,0.015553512793488888
201803상순,24400,양파,1키로,상,879.0,922.142857142857,1045.77777777777,1371.44444444444,1242.89814814814,2018,상순,2018-03-01,양파,양파,3,1,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,7.78657718120804,0.23036622056229894,,,575.5795648060549,31643793.0,2018,양파,1520969,0.02080502166710827
201803중순,24400,양파,1키로,상,675.125,879.0,1098.16666666666,1332.25,1173.18518518518,2018,중순,2018-03-11,양파,양파,3,11,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,10.116778523489916,0.2478007267163893,,,575.5795648060549,27209686.8,2018,양파,1520969,0.017889705049872813
201803하순,24400,양파,1키로,상,644.0,675.125,922.142857142857,1617.6,1234.45555555555,2018,하순,2018-03-21,양파,양파,3,21,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,10.54765100671139,0.26639380336238,,,575.5795648060549,40351016.0,2018,양파,1520969,0.026529808299840432
201804상순,24400,양파,1키로,상,647.25,644.0,879.0,1364.75,1276.02777777777,2018,상순,2018-04-01,양파,양파,4,1,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,12.995973154362398,0.2843642611683848,,,575.5795648060549,38756310.0,2018,양파,1520969,0.02548132802180715
