YYYYMMSOON,가락시장 품목코드(5자리),품목(품종)명,거래단위,등급(특 5% 상 35% 중 40% 하 20%),평균가격(원),전순 평균가격(원) PreVious SOON,전달 평균가격(원) PreVious MMonth,전년 평균가격(원) PreVious YeaR,평년 평균가격(원) Common Year SOON,year,soon,date,품목-품종,품목명_x,month,original_day,month_1,month_2,month_3,month_4,month_5,month_6,month_7,month_8,month_9,month_10,month_11,month_12,day_1,day_11,day_21,순 강수량,순 평균기온,주산지 순 강수량,주산지 순 평균기온,단수,총반입량(kg),년도,품목명_y,생산량(톤),반입량_생산량비
201801상순,15205,감자 수미,20키로상자,상,44170.2857142857,43034.7777777777,37812.375,30047.5714285714,24660.0317460317,2018,상순,2018-01-01,감자 수미,감자 수미,1,1,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,,,,,,,,,,
201801중순,15205,감자 수미,20키로상자,상,48283.7777777777,44170.2857142857,45214.0,29333.7777777777,23299.4444444444,2018,중순,2018-01-11,감자 수미,감자 수미,1,11,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,,,,,,,,,,
201801하순,15205,감자 수미,20키로상자,상,50243.0,48283.7777777777,43034.7777777777,32614.8333333333,25218.0074074074,2018,하순,2018-01-21,감자 수미,감자 수미,1,21,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,1.7906040268456305,0.19189061763319182,,,,,,,,
201802상순,15205,감자 수미,20키로상자,상,55380.6666666666,50243.0,44170.2857142857,32342.8888888888,28703.875,2018,상순,2018-02-01,감자 수미,감자 수미,2,1,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,2.0697986577181133,0.18170878459687118,,,,,,,,
201802중순,15205,감자 수미,20키로상자,상,59133.0,55380.6666666666,48283.7777777777,30665.25,27419.8822751322,2018,중순,2018-02-11,감자 수미,감자 수미,2,11,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,2.1825503355704594,0.19601806239737268,,,,,,,,
201802하순,15205,감자 수미,20키로상자,상,60486.7142857142,59133.0,50243.0,30603.4285714285,29378.6666666666,2018,하순,2018-02-21,감자 수미,감자 수미,2,21,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,3.903355704697975,0.21060880048221814,,,,,,,,
201803상순,15205,감자 수미,20키로상자,상,64069.7777777777,60486.7142857142,55380.6666666666,37917.1111111111,29317.5277777777,2018,상순,2018-03-01,감자 수미,감자 수미,3,1,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,7.78657718120804,0.23036622056229894,,,,,,,,
201803중순,15205,감자 수미,20키로상자,상,70821.5,64069.7777777777,59133.0,35058.375,30453.6944444444,2018,중순,2018-03-11,감자 수미,감자 수미,3,11,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,10.116778523489916,0.2478007267163893,,,,,,,,
201803하순,15205,감자 수미,20키로상자,상,92194.7,70821.5,60486.7142857142,36690.6,35062.6,2018,하순,2018-03-21,감자 수미,감자 수미,3,21,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,10.54765100671139,0.26639380336238,,,,,,,,
201804상순,15205,감자 수미,20키로상자,상,115127.75,92194.7,64069.7777777777,37756.5,34148.787037037,2018,상순,2018-04-01,감자 수미,감자 수미,4,1,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,12.995973154362398,0.2843642611683848,,,,,,,,
201804중순,15205,감자 수미,20키로상자,상,109036.555555555,115127.75,70821.5,35393.5555555555,32486.3703703703,2018,중순,2018-04-11,감자 수미,감자 수미,4,11,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,14.036241610738232,0.3011923870671864,,,,,,,,
201804하순,15205,감자 수미,20키로상자,상,98434.25,109036.555555555,92194.7,37668.0,33455.949074074,2018,하순,2018-04-21,감자 수미,감자 수미,4,21,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,17.69664429530199,0.3196356855995409,,,,,,,,
201805상순,15205,감자 수미,20키로상자,상,74557.5555555555,98434.25,115127.75,41846.3333333333,35158.8379629629,2018,상순,2018-05-01,감자 수미,감자 수미,5,1,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,20.276510067114067,0.3390342052313883,,,,,,,,
201805중순,15205,감자 수미,20키로상자,상,50940.125,74557.5555555555,109036.555555555,49525.3333333333,37978.3888888888,2018,중순,2018-05-11,감자 수미,감자 수미,5,11,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,23.012080536912727,0.3661301140174379,,,,,,,,
201805하순,15205,감자 수미,20키로상자,상,41498.0,50940.125,98434.25,34959.7777777777,28350.574074074,2018,하순,2018-05-21,감자 수미,감자 수미,5,21,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,22.985234899328837,0.3965817321080478,,,,,,,,
201806상순,15205,감자 수미,20키로상자,상,25062.25,41498.0,74557.5555555555,28934.0,23804.949074074,2018,상순,2018-06-01,감자 수미,감자 수미,6,1,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,23.174496644295278,0.45911878264819433,,,,,,,,
201806중순,15205,감자 수미,20키로상자,상,23764.6666666666,25062.25,50940.125,23904.625,20516.5509259259,2018,중순,2018-06-11,감자 수미,감자 수미,6,11,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,23.558389261744946,0.5166626515699028,,,,,,,,
201806하순,15205,감자 수미,20키로상자,상,23870.0,23764.6666666666,41498.0,24857.5555555555,17564.2824074074,2018,하순,2018-06-21,감자 수미,감자 수미,6,21,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,36.81476510067111,0.5854011081667067,,,,,,,,
