YYYYMMSOON,가락시장 품목코드(5자리),품목(품종)명,거래단위,등급(특 5% 상 35% 중 40% 하 20%),평균가격(원),전순 평균가격(원) PreVious SOON,전달 평균가격(원) PreVious MMonth,전년 평균가격(원) PreVious YeaR,평년 평균가격(원) Common Year SOON,year,soon,date,품목-품종,품목명_x,month,original_day,month_1,month_2,month_3,month_4,month_5,month_6,month_7,month_8,month_9,month_10,month_11,month_12,day_1,day_11,day_21,순 강수량,순 평균기온,주산지 순 강수량,주산지 순 평균기온,단수,총반입량(kg),년도,품목명_y,생산량(톤),반입량_생산량비
201801상순,23100,무,20키로상자,상,9283.57142857143,,,,,2018,상순,2018-01-01,무,무,1,1,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,,,,,527.4549260873281,25433690.2,2018,무,1234561,0.02060140422384961
201801중순,23100,무,20키로상자,상,9259.88888888888,9283.57142857143,,,,2018,중순,2018-01-11,무,무,1,11,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,,,,,527.4549260873281,22874937.0,2018,무,1234561,0.018528802546006234
201801하순,23100,무,20키로상자,상,10576.1111111111,9259.88888888888,,,,2018,하순,2018-01-21,무,무,1,21,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,1.7906040268456305,0.19189061763319182,,,527.4549260873281,24855571.4,2018,무,1234561,0.020133125378170864
201802상순,23100,무,20키로상자,상,18371.4444444444,10576.1111111111,9283.57142857143,,,2018,상순,2018-02-01,무,무,2,1,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,2.0697986577181133,0.18170878459687118,,,527.4549260873281,31927450.64,2018,무,1234561,0.02586137958351187
201802중순,23100,무,20키로상자,상,19545.6666666666,18371.4444444444,9259.88888888888,,,2018,중순,2018-02-11,무,무,2,11,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,2.1825503355704594,0.19601806239737268,,,527.4549260873281,20478556.4,2018,무,1234561,0.016587723409373856
201802하순,23100,무,20키로상자,상,19226.0,19545.6666666666,10576.1111111111,,,2018,하순,2018-02-21,무,무,2,21,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,3.903355704697975,0.21060880048221814,,,527.4549260873281,17834509.8,2018,무,1234561,0.014446033691328335
201803상순,23100,무,20키로상자,상,23856.3333333333,19226.0,18371.4444444444,,,2018,상순,2018-03-01,무,무,3,1,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,7.78657718120804,0.23036622056229894,,,527.4549260873281,25198205.919999998,2018,무,1234561,0.020410660890794376
201803중순,23100,무,20키로상자,상,19215.125,23856.3333333333,19545.6666666666,,,2018,중순,2018-03-11,무,무,3,11,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,10.116778523489916,0.2478007267163893,,,527.4549260873281,21818048.2,2018,무,1234561,0.017672717832492683
201803하순,23100,무,20키로상자,상,19303.6,19215.125,19226.0,,,2018,하순,2018-03-21,무,무,3,21,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,10.54765100671139,0.26639380336238,,,527.4549260873281,25996808.0,2018,무,1234561,0.02105753219160495
201804상순,23100,무,20키로상자,상,18610.875,19303.6,23856.3333333333,,,2018,상순,2018-04-01,무,무,4,1,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,12.995973154362398,0.2843642611683848,,,527.4549260873281,20955563.4,2018,무,1234561,0.016974101239225926
201804중순,23100,무,20키로상자,상,20006.8888888888,18610.875,19215.125,,,2018,중순,2018-04-11,무,무,4,11,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,14.036241610738232,0.3011923870671864,,,527.4549260873281,22554698.8,2018,무,1234561,0.01826940815399158
201804하순,23100,무,20키로상자,상,23676.5,20006.8888888888,19303.6,,,2018,하순,2018-04-21,무,무,4,21,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,17.69664429530199,0.3196356855995409,3.557046979865768,0.3393772893772893,527.4549260873281,18065466.0,2018,무,1234561,0.014633109259080759
201805상순,23100,무,20키로상자,상,25173.6666666666,23676.5,18610.875,,,2018,상순,2018-05-01,무,무,5,1,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,20.276510067114067,0.3390342052313883,4.08859060402684,0.3603741496598639,527.4549260873281,22869065.4,2018,무,1234561,0.018524046523420063
201805중순,23100,무,20키로상자,상,22677.75,25173.6666666666,20006.8888888888,,,2018,중순,2018-05-11,무,무,5,11,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,23.012080536912727,0.3661301140174379,4.700671140939592,0.3909152313407633,527.4549260873281,19523877.0,2018,무,1234561,0.01581442877265684
201805하순,23100,무,20키로상자,상,13201.0,22677.75,23676.5,,,2018,하순,2018-05-21,무,무,5,21,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,22.985234899328837,0.3965817321080478,4.688590604026841,0.42314425770308123,527.4549260873281,28719620.2,2018,무,1234561,0.02326302240229523
201806상순,23100,무,20키로상자,상,13106.125,13201.0,25173.6666666666,,,2018,상순,2018-06-01,무,무,6,1,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,23.174496644295278,0.45911878264819433,,,527.4549260873281,21688690.6,2018,무,1234561,0.017567937590771132
201806중순,23100,무,20키로상자,상,10809.1111111111,13106.125,22677.75,,,2018,중순,2018-06-11,무,무,6,11,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,23.558389261744946,0.5166626515699028,,,527.4549260873281,24737857.4,2018,무,1234561,0.020037776505170662
201806하순,23100,무,20키로상자,상,11432.2222222222,10809.1111111111,13201.0,,,2018,하순,2018-06-21,무,무,6,21,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,36.81476510067111,0.5854011081667067,,,527.4549260873281,22049415.2,2018,무,1234561,0.01786012615010518
201807상순,23100,무,20키로상자,상,11280.125,11432.2222222222,13106.125,,,2018,상순,2018-07-01,무,무,7,1,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,45.178523489932864,0.6252692031586503,,,527.4549260873281,19550403.2,2018,무,1234561,0.01583591511476549
201807중순,23100,무,20키로상자,상,14501.3333333333,11280.125,10809.1111111111,,,2018,중순,2018-07-11,무,무,7,11,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,41.5194630872483,0.6800569800569799,,,527.4549260873281,21088834.0,2018,무,1234561,0.01708205102866525
201807하순,23100,무,20키로상자,상,20878.8888888888,14501.3333333333,11432.2222222222,,,2018,하순,2018-07-21,무,무,7,21,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,39.520805369127494,0.7149313962873284,,,527.4549260873281,20998124.0,2018,무,1234561,0.017008575517937146
201808상순,23100,무,20키로상자,상,23968.5,20878.8888888888,11280.125,,,2018,상순,2018-08-01,무,무,8,1,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,40.40671140939595,0.7491741197324954,,,527.4549260873281,20984007.0,2018,무,1234561,0.016997140684016424
201808중순,23100,무,20키로상자,상,20641.625,23968.5,14501.3333333333,,,2018,중순,2018-08-11,무,무,8,11,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,39.13020134228186,0.7848828420256991,8.559731543624157,0.7877846790890268,527.4549260873281,20390594.4,2018,무,1234561,0.01651647379108849
201808하순,23100,무,20키로상자,상,27820.6,20641.625,20878.8888888888,,,2018,하순,2018-08-21,무,무,8,21,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,87.3677852348993,0.8124876506619244,19.065771812080534,0.8173105720275532,527.4549260873281,24008275.4,2018,무,1234561,0.01944681178167786
201809상순,23100,무,20키로상자,상,22825.625,27820.6,23968.5,,,2018,상순,2018-09-01,무,무,9,1,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,87.42416107382547,0.8224480399894765,18.754362416107377,0.8282419886193474,527.4549260873281,25577527.2,2018,무,1234561,0.020717912845132802
201809중순,23100,무,20키로상자,상,21872.5555555555,22825.625,20641.625,,,2018,중순,2018-09-11,무,무,9,11,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,86.41073825503352,0.8317393903167962,18.59194630872483,0.837251356238698,527.4549260873281,38244218.4,2018,무,1234561,0.030977990070964495
201809하순,23100,무,20키로상자,상,21683.0,21872.5555555555,27820.6,,,2018,하순,2018-09-21,무,무,9,21,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,84.60268456375836,0.8315993063892224,18.17718120805369,0.8384895359417652,527.4549260873281,17925426.0,2018,무,1234561,0.014519676224990098
