시점,품목명,품종명,등급,거래단위,평년 평균가격(원),평균가격(원),거래금액(도매),거래금액(산지)
201801상순,건고추,화건,상품,30 kg,381666.666666666,590000.0,0.0,0.0
201801중순,건고추,화건,상품,30 kg,380809.666666666,590000.0,0.0,0.0
201801하순,건고추,화건,상품,30 kg,380000.0,590000.0,0.0,0.0
201802상순,건고추,화건,상품,30 kg,380000.0,590000.0,0.0,0.0
201802중순,건고추,화건,상품,30 kg,376666.666666666,590000.0,0.0,0.0
201802하순,건고추,화건,상품,30 kg,376666.666666666,580833.0,0.0,0.0
201803상순,건고추,화건,상품,30 kg,376666.666666666,563333.0,0.0,0.0
201803중순,건고추,화건,상품,30 kg,375208.333333333,575000.0,0.0,0.0
201803하순,건고추,화건,상품,30 kg,372333.333333333,575000.0,0.0,0.0
201804상순,건고추,화건,상품,30 kg,371000.0,575000.0,0.0,0.0
201804중순,건고추,화건,상품,30 kg,368143.0,575000.0,0.0,0.0
201804하순,건고추,화건,상품,30 kg,363762.0,575000.0,0.0,0.0
201805상순,건고추,화건,상품,30 kg,361619.0,575000.0,0.0,0.0
201805중순,건고추,화건,상품,30 kg,359333.333333333,575000.0,0.0,0.0
201805하순,건고추,화건,상품,30 kg,359333.333333333,575000.0,0.0,0.0
201806상순,건고추,화건,상품,30 kg,359666.666666666,591320.0,0.0,0.0
201806중순,건고추,화건,상품,30 kg,362458.333333333,599514.0,0.0,0.0
201806하순,건고추,화건,상품,30 kg,362666.666666666,600000.0,0.0,0.0
201807상순,건고추,화건,상품,30 kg,364333.333333333,600000.0,0.0,0.0
201807중순,건고추,화건,상품,30 kg,366166.666666666,599375.0,0.0,0.0
201807하순,건고추,화건,상품,30 kg,359792.333333333,590943.0,0.0,0.0
201808상순,건고추,화건,상품,30 kg,357631.0,601250.0,0.0,0.0
201808중순,건고추,화건,상품,30 kg,349952.333333333,605000.0,0.0,0.0
201808하순,건고추,화건,상품,30 kg,348927.666666666,600000.0,0.0,0.0
201809상순,건고추,화건,상품,30 kg,405678.666666666,771633.0,0.0,0.0
201809중순,건고추,화건,상품,30 kg,399555.666666666,670800.0,0.0,0.0
201809하순,건고추,화건,상품,30 kg,401381.0,651067.0,0.0,0.0
