,year,month,순,시점,품목명,품종명,거래단위,등급,평년 평균가격(원),평균가격(원),n_holiday,계절,평년 평균가격(원)_whole,거래단위_num,평년 평균가격(원)_local,fill_source,순_num,plot_date
0,2018,01,상순,201801상순,건고추,화건,30 kg,상품,0.639283734220997,0.6513156869216595,2.0,겨울,,30.0,,original,1,2018-01-01
604,2018,01,상순,201801상순,깐마늘(국산),깐마늘(국산),20 kg,상품,0.14391087840805977,0.14391087840805977,2.0,겨울,,20.0,0.0,average,1,2018-01-01
302,2018,01,상순,201801상순,감자,감자 수미,20키로상자,상,0.04130504064789041,0.04836222903013036,2.0,겨울,0.004097511315811657,20.0,0.0,original,1,2018-01-01
755,2018,01,상순,201801상순,무,무,20키로상자,상,0.009824449824444918,0.009824449824444918,2.0,겨울,0.0,20.0,0.0,average,1,2018-01-01
906,2018,01,상순,201801상순,상추,청,100 g,상품,0.0017330451624645985,0.0006076829237907199,2.0,겨울,0.005110434831175143,0.1,0.0,original,1,2018-01-01
1057,2018,01,상순,201801상순,배추,배추,10키로망대,상,0.010170015176109312,0.005556378981279202,2.0,겨울,0.0,10.0,0.0,original,1,2018-01-01
151,2018,01,상순,201801상순,사과,후지,10 개,상품,0.03594784561381558,0.022061185360966237,2.0,겨울,0.008599177423604736,3.0,0.0,original,1,2018-01-01
1208,2018,01,상순,201801상순,양파,양파,1키로,상,0.0019247604919302302,0.0008335059429643535,2.0,겨울,0.0,1.0,,original,1,2018-01-01
1359,2018,01,상순,201801상순,대파,대파(일반),1키로단,상,0.0027135150731867107,0.0014309664255579087,2.0,겨울,0.004939905149534739,1.0,0.0,original,1,2018-01-01
453,2018,01,상순,201801상순,배,신고,10 개,상품,0.05069827091895504,0.030844296317043805,2.0,겨울,0.00787186717309628,5.0,0.0,original,1,2018-01-01
152,2018,01,중순,201801중순,사과,후지,10 개,상품,0.03715048069111866,0.022058976051204927,1.0,겨울,0.007854686339361998,3.0,0.0,original,2,2018-01-02
1209,2018,01,중순,201801중순,양파,양파,1키로,상,0.001884374881937215,0.0007194985455991087,1.0,겨울,0.0,1.0,0.0,original,2,2018-01-02
